we	be
mümkinçilikleriniň	memkenCelikleriniN
peýdalanýarlar	peydolonyorlor
saýlanan	8oylonon
seýrek	8eyrek
sowgatlar	8obXotlor
tarapynda	toropunno
tejribeli	tejribeli
wagtyny	boXtunu
wakalaryň	boqoloruN
ynanyşmak	unonuSmoq
Ýewraziýa	yEbro8iyo
çekeleşikli	CekeleSikli
çykaran	Cuqoron
öndürmäge	EnnermEge
öýjükli	Eyjekle
ýadygärlikler	yodugErlikler
ýeňijisi	yeNiji8i
ýygnamak	yuXnomoq
ýygyndysy	yuXunnu8u
şertnamany	Sertnomonu
Hindistan	hinni88on
Jemgyýetiň	jemXuyetiN
Merw	merb
Nebit	nebit
Prezidentimizi	pre8identimi8i
Tebigy	tebiXu
aralykda	oroluqdo
aýna	oyno
bezegi	be8eXi
bolmajak	bolmojoq
bölek	bElEk
döredilmeginiň	dErEdelmeXiniN
foruma	forumo
galdy	gollu
garşysyna	gorSu8uno
görkezýärler	gErkE8yErler
güne	genE
günäsi	genE8i
haklydyrlar	xoqludurlor
hasyly	xo8ulu
hereketlerini	hereketlerini
kepillendirýär	kepillenniryEr
manatlyk	monotluq
medallara	medolloro
merkezini	merke8ini
nesli	ne8li
saparyna	8oporuno
tarapa	toropo
toparyndan	toporunnon
türki	terke
ulanyp	ulonup
ygtyýarlyklaryny	uXtuyorluqlorunu
çäresiniň	CEre8iniN
GDA	Xdo
Goşmaça	goSmoCo
azatlykdan	o8otluqdon
başlanmagyna	boSlonmoXuno
berijä	berijE
berlende	berlenne
boljakdygyny	boljoqduXunu
depginlerde	depXinlerde
döwürlerde	dEberlErde
düzgünleşdirýän	de8XenlESderyEn
emläginiň	emlEXiniN
federasiýasynyň	federo8iyo8unuN
garşylamak	gorSulomoq
geçildi	geCilli
goýdy	goydu
goşun	goSun
gymmatlyklaryny	gummotluqlorunu
gözelligi	gE8ElleXe
iýun	iyun
konserniniň	qon8erniniN
maksatnamalar	moq8otnomolor
obasynyň	obo8unuN
otagy	otoXu
resminamalarynyň	re8minomolorunuN
suwda	8ubdo
sürýän	8eryEn
taýýarlygy	toyyorluXu
tebigatyň	tebiXotuN
teplisanyň	tepli8onuN
tölemekden	tElEmEkdEn
Ýuridik	yuridik
ýokanç	yoqonC
Adam	odom
Amyderýanyň	omuderyonuN
Azyk	o8uq
Geňeş	geNeS
Hökümetiniň	hEkemEteniN
Içerki	iCerki
alymlary	olumloru
aşyrmakda	oSurmoqdo
aşyrylanda	oSurulonno
bazary	bo8oru
boşadylýar	boSodulyor
dabaranyň	doboronuN
dilini	dilini
dörediler	dErEdeler
düzüldi	de8elle
eserleriniň	e8erleriniN
geçdiler	geCdiler
giňişligine	giNiSliXine
goýlupdyr	goylupdur
habarly	xoborlu
karara	qororo
kilogram	kiloXrom
manatdan	monotdon
meseläni	me8elEni
obýektleri	obyektleri
oturan	oturon
peýdalanylmagy	peydolonulmoXu
saklaýan	8oqloyon
subutnamalar	8ubutnomolor
togtatmak	toXtotmoq
tonnadan	tonnodon
toparymyzyň	toporumu8uN
uludyr	uludur
wakalar	boqolor
çaýdy	Coydu
çözgüdini	CE8Xedene
öýli	Eyli
ýerleşdirilipdir	yerleSdirilipdir
şertnamalarynyň	SertnomolorunuN
Habar	xobor
Harytlary	xorutloru
Prezidentine	pre8identine
Serginiň	8erXiniN
Täjigistan	tEjiXi88on
artmagyna	ortmoXuno
artýan	ortyon
baýramçylyga	boyromCuluXo
belgä	belXE
bilýän	bilyEn
binalarynyň	binolorunuN
buýrugy	buyruXu
düzgünlerini	de8XenlErene
düzümde	de8emnE
edilipdir	edilipdir
esaslandyryjy	e8o8lonnuruju
eýeläp	eyelEp
geçilen	geCilen
gullukçylaryň	gulluqCuloruN
gumanitar	gumonitor
guramaga	guromoXo
hakyny	xoqunu
halkymyza	xolqumu8o
hanym	xonum
hasylyny	xo8ulunu
hytaý	xutoy
häsiýeti	hE8iyeti
ildeşlerimiz	illeSlerimi8
ir	ir
köpeltmek	kEpEltmek
maliýeleşdirmegiň	moliyeleSdirmeXiN
men	men
meýilleşdirilen	meyilleSdirilen
meýilleşdirilýän	meyilleSdirilyEn
möçberine	mECbErenE
namalaryny	nomolorunu
paýy	poyu
peýdalanylýan	peydolonulyon
salgydy	8olXudu
suwa	8ubo
tehnologiýalaryny	tehnologiyolorunu
terjime	terjime
tomaşaçylaryň	tomoSoCuloruN
täsiri	tE8iri
ugruna	uXruno
Ýylyň	yuluN
çekmegi	CekmeXi
ýetmek	yetmek
şekilleri	Sekilleri
şäherjiginde	SEherjiXinne
BMG	bmX
Bulardan	bulordon
Elbetde	elbetde
Gäminiň	gEminiN
Maglumatlary	moXlumotloru
Prokuratura	proquroturo
Ykdysadyýet	uqdu8oduyet
Ylym	ulum
aýratynlyklaryny	oyrotunluqlorunu
barlaglar	borloXlor
barşyna	borSuno
birbada	birbodo
bozulandygy	bo8ulonnuXu
dahylly	doxullu
durmaýan	durmoyon
däplerine	dEplerine
ederis	ederi8
garamagyndaky	goromoXundoqu
gurluşygyň	gurluSuXuN
görkezijiler	gErkE8ejeler
halatlarynda	xolotlorunno
hukugyndan	xuquXunnon
ilat	ilot
kaşaň	qoSoN
mebel	mebel
menziline	men8iline
meýdançalarynda	meydonColorunno
partiýalaryň	portiyoloruN
paçlarynyň	poClorunuN
rowaçlyk	roboCluq
seljermesiniň	8eljerme8iniN
telekeçileriň	telekeCileriN
toparlar	toporlor
tutmaga	tutmoXo
woleýbol	boleybol
zatlaryň	8otloruN
çäklerini	CEklerini
önümçiliginde	EnemCeleXinne
öwrenmäge	EbrEnmEge
ýatyrylan	yoturulon
ýeriň	yeriN
ýetirilmegine	yetirilmeXine
ýolbaşçylaryna	yolboSSuloruno
Birleşmäniň	birleSmEniN
Garaşsyzlygymyzyň	goroS8u8luXumu8uN
Ilki	ilki
Owganystana	obXonu88ono
Raýatlaryň	royotloruN
Taraplaryň	toroploruN
alymlaryň	olumloruN
bagtly	boXtlu
boljakdygyna	boljoqduXuno
deňdir	deNNir
dolandyryşynyň	dolonnuruSunuN
dörediji	dErEdeji
ederler	ederler
edilişine	ediliSine
finalda	finollo
gürrüňi	gerreNe
haklary	xoqloru
häsiýetini	hE8iyetini
kim	kim
mejlise	mejli8e
meýdanlarynyň	meydonlorunuN
möwsüminiň	mEb8emeneN
oturdylan	oturdulon
saklaýar	8oqloyor
talabalaýyk	toloboloyuq
teklipçi	teklipCi
üstünliklerini	e88enleklerini
üýtgetmeleri	eytXetmeleri
şertnamalaryna	Sertnomoloruno
şondan	Sonnon
Adamyň	odomuN
Atamyrat	otomurot
Germaniýa	germoniyo
Pul	pul
Türkmengaz	terkmEnXo8
adamlarynyň	odomlorunuN
almakdan	olmoqdon
alyja	olujo
aşyran	oSuron
belligine	belliXine
binasyna	bino8uno
bozulmalary	bo8ulmoloru
düşen	deSEn
gatynda	gotunno
gelmeýän	gelmeyEn
gelýändigini	gelyEnniXini
goýmagyň	goymoXuN
goşandy	goSonnu
günäkär	genEkEr
güýçlendirmek	geyClennirmek
hasaplaşyklary	xo8oploSuqloru
hiline	hiline
jemgyýetçiliginiň	jemXuyeCCiliXiniN
kesgitleýän	ke8XitleyEn
konstitusion	qon88itu8ion
kämilleşdirmäge	kEmilleSdirmEge
mekdebe	mekdebe
meýdançalary	meydonColoru
müňe	meNE
orunlara	orunloro
orunlaryny	orunlorunu
ozalky	o8olqu
peýdasyna	peydo8uno
senagatynda	8enoXotunno
tapgyr	topXur
tölegli	tElEXle
ukybyny	uqubunu
usullar	u8ullor
öndürmegiň	EnnermEXeN
öri	Ere
ýangyç	yonXuC
ýerüsti	yere88e
ýetdi	yetdi
ýükleri	yeklEre
Aziadanyň	o8iodonuN
Belarusuň	beloru8uN
Demokratik	demoqrotik
Forumyň	forumuN
Geçirilen	geCirilen
Kabul	qobul
Köýtendag	kEytennoX
Türkmenbaşydaky	terkmEnmoSudoqu
artdyrýar	ortduryor
baglaşylýar	boXloSulyor
baýramyny	boyromunu
bütindünýä	betennenyE
depginde	depXinne
depginli	depXinli
dykgatyna	duqXotuno
dökünler	dEkenlEr
döredip	dErEdep
eýeçiligi	eyeCiliXi
galanda	golonno
galdyryjy	golluruju
garaşýar	goroSyor
gatnawlarynyň	gotnoblorunuN
gaýtalanmajak	goytolonmojoq
gidýär	gidyEr
günlük	genlek
hyzmatyny	xu8motunu
häkimliginiň	hEkimliXiniN
institutynda	in88itutunno
jaýyna	joyuno
kg	kX
kitabyna	kitobuno
kreditor	kreditor
mukdary	muqdoru
nygtadylar	nuXtodulor
obalaryň	oboloruN
parahatçylykly	poroxoCCuluqlu
pursatda	pur8otdo
päsgel	pE8Xel
salgytlary	8olXutloru
serişdesiniň	8eriSde8iniN
seçip	8eCip
strategiýasyny	88roteXiyo8unu
suwaryş	8uboruS
suwlary	8ubloru
synlap	8unlop
tabşyryk	tobSuruq
talaplarynyň	toloplorunuN
tanyşdyryş	tonuSduruS
tomaşaçylar	tomoSoCulor
umumymilli	umumumilli
zawodyň	8oboduN
çäklerde	CEklerde
ýygyndysynyň	yuXunnu8unuN
ýyllygynyň	yulluXunuN
Binanyň	binonuN
Geljekde	geljekde
Mikromaliýe	mikromoliye
Notarial	notoriol
aýdymlar	oydumlor
bahasyna	boxo8uno
barlagyň	borloXuN
baýramçylygyň	boyromCuluXuN
bildirilip	billirilip
binýadynyň	binyodunuN
bölekleriniň	bElEklEriniN
dünýäsi	denyE8i
düşünilýär	deSenelyEr
eýelän	eyelEn
görnüşlerine	gErneSlErenE
gözegçiligini	gE8EXCeleXini
habarlary	xoborloru
häsiýetine	hE8iyetine
hödürledi	hEderlEde
hödürlendi	hEderlEnne
hödürleýär	hEderlEyEr
hökmanydyr	hEkmonudur
iberilen	iberilen
iberýär	iberyEr
innowasiýa	innobo8iyo
işlän	iSlEn
jogapkärçiligine	joXopkErCiliXine
kagyzlaryň	qoXu8loruN
kesgitlemäge	ke8XitlemEge
kubogy	quboXu
maslahatlaşmak	mo8loxotloSmoq
metbugat	metbuXot
neşirýat	neSiryot
paýtagtymyz	poytoXtumu8
pullarynyň	pullorunuN
sirk	8irk
tabşyrylan	tobSurulon
talyplarynyň	toluplorunuN
tamamlanmagy	tomomlonmoXu
taslamasyna	to8lomo8uno
tehnika	tehniko
temmi	temmi
ulanylmagyna	ulonulmoXuno
ylalaşyklar	uloloSuqlor
ylalaşyklary	uloloSuqloru
ynandyrdy	unonnurdu
yza	u8o
çemeleşmegiň	CemeleSmeXiN
öwrülip	Ebrelep
üstünlige	e88enleXE
ýetginjekler	yetXinjekler
ýetirijisi	yetiriji8i
ýetirilip	yetirilip
şatlyk	Sotluq
şertnamalar	Sertnomolor
Kanunyna	qonununo
Kodekse	qodek8e
Nusaý	nu8oy
abatlaýyş	obotloyuS
bellenilmedik	bellenilmedik
bildirýär	billiryEr
bilimiň	bilimiN
birleşdirýän	birleSdiryEn
bozulan	bo8ulon
bölümiň	bElemeN
delillendirilen	delillennirilen
ençemesi	enCeme8i
gatnaşyklarynda	gotnoSuqlorunno
gektara	gektoro
giriş	giriS
gowulandyrmaga	gobulonnurmoXo
hossarlyk	xo88orluq
hukugyň	xuquXuN
internet	internet
käýinç	kEyinC
meniň	meniN
milletiň	milletiN
myhmansöýerlik	muxmon8Eyerlik
nyşanynyň	nuSonunuN
obanyň	obonuN
okuwa	oqubo
orunda	orunno
parlamentara	porlomentoro
paýtagtymyzy	poytoXtumu8u
peýdalanýan	peydolonyon
portunyň	portunuN
pugta	puXto
tapgyryna	topXuruno
welaýatlaryndan	beloyotlorunnon
ykdysadyýetimizi	uqdu8oduyetimi8i
ylmynyň	ulmunuN
ýerleşdirildi	yerleSdirilli
ýüklenilýär	yeklEnelyEr
Deslapky	de8lopqu
Döwletiniň	dEblEteneN
Halkymyzyň	xolqumu8uN
amallaryny	omollorunu
aralyk	oroluq
atasynyň	oto8unuN
azyklyk	o8uqluq
aýy	oyu
baglary	boXloru
birmeňzeş	birmeN8eS
bäsleşdiler	bE8leSdiler
böleklerini	bElEklErini
daş	doS
desgalarynda	de8Xolorunno
diňlenildi	diNlenilli
erkekler	erkekler
esaslyk	e8o8luq
gaýtaryp	goytorup
goşulýan	goSulyon
görlüşi	gErleSe
hasaplanýan	xo8oplonyon
haýyşnamanyň	xoyuSnomonuN
hiliniň	hiliniN
hyzmatyň	xu8motuN
hödürlemek	hEderlEmEk
islegine	i8leXine
maşgalanyň	moSXolonuN
mekdepler	mekdepler
myhmany	muxmonu
möhümdigine	mEhemneXene
nazarda	no8ordo
netijede	netijede
oktýabrynda	oqtyobrunno
oturdyldy	oturdullu
owazy	obo8u
raýatynyň	royotunuN
saklaýjy	8oqloyju
salamlaşyp	8olomloSup
sebitleriniň	8ebitleriniN
sungatyň	8unXotuN
sözi	8E8e
wepaly	bepolu
wezipelere	be8ipelere
Özara	E8oro
Ýaşulular	yoSululor
çykyşyny	CuquSunu
ölçegleri	ElCEXlEri
üçüsi	eCe8e
ýazgysy	yo8Xu8u
ýaşajyk	yoSojuq
ýüküň	yekeN
şertnamalaýyn	Sertnomoloyun
Aşgabatdaky	oSXobotdoqu
Bäsleşige	bE8leSiXe
Gatnaşyjy	gotnoSuju
Hökümetara	hEkemEtoro
Mejlisde	mejli88e
Serkerdebaşysy	8erkerdeboSu8u
Tutuş	tutuS
abatlamak	obotlomoq
artmagy	ortmoXu
azaltmak	o8oltmoq
belarus	beloru8
bellenip	bellenip
bezegine	be8eXine
bolandygy	bolonnuXu
bolman	bolmon
dabaralaryna	doboroloruno
dillerinde	dillerinne
edýändigi	edyEnniXi
ekologik	ekologik
etdiriler	etdiriler
eýran	eyron
garamagyň	goromoXuN
garanyňda	goronuNNo
gelmek	gelmek
goldawyna	gollobuno
goýup	goyup
gullukçylary	gulluqCuloru
gurluş	gurluS
gurnaldy	gurnollu
gurşawyň	gurSobuN
gutarnykly	gutornuqlu
hökman	hEkmon
inçe	inCe
jemgyýet	jemXuyet
kanagatlandyrmak	qonoXotlonnurmoq
kararlary	qororloru
kassa	qo88o
kyn	qun
köpdür	kEpder
meýdançasy	meydonCo8u
mugallymçylyk	muXollumCuluq
myhmanlara	muxmonloro
möhletleýin	mEhlEtlEyin
onlarçasy	onlorCo8u
prokurora	proquroro
raýatlara	royotloro
sahypalarynda	8oxupolorunno
sambo	8ommo
sanawyny	8onobunu
sebitleriň	8ebitleriN
tabşyryldy	tobSurullu
ulgamdaky	ulXomnoqu
çözgüdine	CE8XedenE
çözgüdiň	CE8XedeN
üçden	eCdEn
üçindir	eCennir
ýokarlanmagyna	yoqorlonmoXuno
şertlendirýär	SertlenniryEr
şäherlerinde	SEherlerinne
Gün	gen
Mejlisi	mejli8i
Oýunlaryň	oyunloruN
Türkmenhimiýa	terkmEnhemiyo
ada	odo
birleşmesi	birleSme8i
bolmaga	bolmoXo
boşatdy	boSotdu
daşamagyň	doSomoXuN
diwersifikasiýa	diber8ifiko8iyo
duşuşygynda	duSuSuXunno
döwürlerden	dEberlErden
düşdi	deSde
ekinleriniň	ekinleriniN
elektroenergetika	elektroenerXetiko
esaslanan	e8o8lonon
etraplarynda	etroplorunno
forumy	forumu
galyndylary	golunnuloru
gelýärler	gelyErler
gerekli	gerekli
geçelgelerini	geCelXelerini
geçirijisi	geCiriji8i
girdejiler	girdejiler
guraly	gurolu
gurnalan	gurnolon
gözellik	gE8Ellek
haýwanlaryň	xoybonloruN
hyzmatynyň	xu8motunuN
köpýyllyk	kEpyulluq
ministriniň	mini88riniN
mümkinçiliklerine	memkenCeliklerine
namalarynda	nomolorunno
nemes	neme8
partiýanyň	portiyonuN
sekuntda	8ekuntdo
tamamlamak	tomomlomoq
telekeçileriniň	telekeCileriniN
ulgama	ulXomo
ulgamlar	ulXomlor
umumybilim	umumubilim
wagtdan	boXtdon
wezipelerine	be8ipelerine
ykdysadyýetini	uqdu8oduyetini
ynsan	un8on
zeper	8eper
Öri	Ere
çeşmeleriniň	CeSmeleriniN
çykyşlaryny	CuquSlorunu
çäresini	CEre8ini
öýleriň	EyleriN
üstünlikleriniň	e88enlekleriniN
ýörişiň	yEreSiN
şatlykly	Sotluqlu
Atçylyk	oCCuluq
Bellige	belliXe
Däp	dEp
Maslahat	mo8loxot
Muhammet	muxommet
Pursatdan	pur8otdon
Türkmenpatent	terkmEnpotent
Welaýat	beloyot
amatlyklary	omotluqloru
açdy	oCdu
açylyşy	oCuluSu
aşyrylmagyna	oSurulmoXuno
baky	boqu
bellenilmegi	bellenilmeXi
dalaşgärler	doloSXErler
daşamakda	doSomoqdo
duýulýar	duyulyor
düşündiriş	deSennereS
enjam	enjom
gadagandyr	godoXonnur
gatnaşyk	gotnoSuq
gatnaşýanlaryň	gotnoSyonloruN
goldaýar	golloyor
goşýar	goSyor
gulluklarynyň	gulluqlorunuN
gullukçylar	gulluqCulor
gymmatlygy	gummotluXu
hasaplanylýan	xo8oplonulyon
hünäri	henEri
işjeňleşdirmäge	iSSeNleSdirmEge
kanunçylygyň	qonunCuluXuN
kärdeşler	kErdeSler
muzdsuz	mu888u8
nesil	ne8il
orunlarynyň	orunlorunuN
otagly	otoXlu
pikiri	pikiri
raýatlaryna	royotloruno
satmak	8otmoq
satuw	8otub
syýasatynda	8uyo8otunno
taekwondo	toekbonno
tapgyrlaýyn	topXurloyun
tehnologiki	tehnologiki
ulgamlaryň	ulXomloruN
utgaşykly	utXoSuqlu
wagtlap	boXtlop
ygtyýarlyk	uXtuyorluq
yklym	uqlum
ylalaşyklaryň	uloloSuqloruN
Öňde	ENNE
çykarylýan	Cuqorulyon
çykdajy	Cuqdoju
çägindäki	CEXindEki
ömür	Emer
özbek	E8bEk
üpjünçiligini	epjenCeleXini
ýörelgesine	yErElXE8ine
ýörişi	yEreSi
ýüzmek	ye8mEk
Aşraf	oSrof
Dini	dini
Haryt	xorut
Hünär	henEr
Kararyna	qororuno
Kodeks	qodek8
Tokaý	toqoy
Ymamnazar	umomno8or
abat	obot
aýdylýar	oydulyor
aňrybaş	oNruboS
bazarlarynda	bo8orlorunno
başy	boSu
bendinde	benninne
berkidilen	berkidilen
bäsleşikleriň	bE8leSikleriN
daşynda	doSunno
dilleri	dilleri
düýbi	deybi
düşünje	deSenjE
goralmagy	gorolmoXu
goşandyny	goSonnunu
goşýarlar	goSyorlor
gämileriniň	gEmileriniN
görnüşlerinde	gErneSlErenne
hereketine	hereketine
iberen	iberen
ini	ini
iýul	iyul
kärendesine	kErenne8ine
köplügi	kEplege
lizing	li8inX
maksatlaryny	moq8otlorunu
maslahatlaryň	mo8loxotloruN
meýilnamasyny	meyilnomo8unu
mümkinçiligine	memkenCeliXine
nusgalyk	nu8Xoluq
opera	opero
paýtagtyň	poytoXtuN
puşmana	puSmono
resmileşdirmek	re8mileSdirmek
saparyň	8oporuN
serişdesini	8eriSde8ini
sowgatlary	8obXotloru
söwdanyň	8EbdonuN
sözler	8E8lEr
tamamlady	tomomlodu
tassyklanylýan	to88uqlonulyon
taý	toy
tejribesine	tejribe8ine
tölegiň	tElEXeN
ulanylan	ulonulon
ussatlyklaryny	u88otluqlorunu
wagta	boXto
wakalara	boqoloro
wekilhanalaryň	bekilxonoloruN
zenan	8enon
önümçiligine	EnemCeleXine
öňümizde	ENeme88E
ýörelgeleriniň	yErElXEleriniN
ýörelgesini	yErElXE8ini
Arkadag	orqodoX
Azerbaýjanyň	o8erboyjonuN
Başga	boSXo
Daşky	doSqu
Kärdeşler	kErdeSler
Ses	8e8
alnyşy	olnuSu
asyrda	o8urdo
aýan	oyon
aýdymy	oydumu
aşyrmagy	oSurmoXu
baglanyşdyrýar	boXlonuSduryor
barlagyny	borloXunu
barmagyň	bormoXuN
bileleşigi	bileleSiXi
bolýarlar	bolyorlor
borçnamalaryny	borCnomolorunu
bäsleşiginiň	bE8leSiXiniN
bölmek	bElmEk
dokuz	doqu8
dolanyşyga	dolonuSuXo
dollaryna	dolloruno
döwletlerden	dEblEtlErden
düzümlerini	de8emlErene
edilenden	edilennen
ekiş	ekiS
enjamlaryny	enjomlorunu
getirýän	getiryEn
girmegi	girmeXi
goranmak	goronmoq
goýýan	goyyon
görelde	gErEllE
gözelligini	gE8ElleXeni
heniz	heni8
herekete	herekete
irki	irki
isleglerini	i8leXlerini
jezany	je8onu
kanunlaryň	qonunloruN
kesgitnamasy	ke8Xitnomo8u
kitaplary	kitoploru
kärhanalarda	kErxonolordo
kölüniň	kEleneN
netijenamasy	netijenomo8u
oýnalýan	oynolyon
ruhubelentligiň	ruxubelentliXiN
salşyklary	8olSuqloru
saýlawlara	8oylobloro
sebäbi	8ebEbi
tagallasy	toXollo8u
talaplaryň	toloploruN
tanslar	ton8lor
tapyp	topup
tehnikalar	tehnikolor
tutan	tuton
tölenilmegi	tElEnelmeXi
ukyplydyr	uqupludur
wekillerine	bekillerine
zalyna	8oluno
çykyşlarynda	CuquSlorunno
çäkli	CEkli
çäksiz	CEk8i8
öýleri	Eyleri
ýa	yo
ýagdaýdyr	yoXdoydur
ýerlere	yerlere
şoňa	SoNo
şäherçesiniň	SEherCe8iniN
Bitaraplygy	bitoropluXu
Döwrebap	dEbrEbop
Goranmak	goronmoq
Gündogaryň	gennoXoruN
Inçhon	inCxon
Mejlis	mejli8
Myhmanlar	muxmonlor
Taryhy	toruxu
Türkmenhowaýollary	terkmEnxoboyolloru
arbitraž	orbitroZ
artistleri	orti88leri
artistleriniň	orti88leriniN
awgustynda	obXu88unno
awiasiýasynyň	obio8iyo8unuN
awtoulagy	obtouloXu
baran	boron
baryldy	borullu
bazarynyň	bo8orunuN
baýdaklary	boydoqloru
baýlygy	boyluXu
başlaýar	boSloyor
başyndan	boSunnon
bolýandygyny	bolyonnuXunu
buhgalterçilik	buxXolterCilik
desgalarda	de8Xolordo
deňeşdireniňde	deNeSdireniNNe
dürs	der8
edil	edil
enjamy	enjomu
finala	finolo
gaýra	goyro
geljeginiň	geljeXiniN
gerimini	gerimini
goly	golu
gurlupdyr	gurlupdur
gämisiniň	gEmi8iniN
gördüler	gErdelEr
görýärler	gEryErler
halklarymyzyň	xolklorumu8uN
iýunynda	iyununno
işgärlerini	iSXErlerini
keselleri	ke8elleri
kodeksine	qodek8ine
meşgullanmaga	meSXullonmoXo
ministrligine	mini88rliXine
okaýan	oqoyon
Ýol	yol
ählisinde	Ehli8inne
çagyrylan	CoXurulon
çagyrýar	CoXuryor
çekilmegi	CekilmeXi
ösdürilmegini	E88erelmEXeni
öweziniň	EbE8eniN
ýapylyş	yopuluS
ýörelgesi	yErElXE8i
şahadatnamasy	Soxodotnomo8u
şertlendirilendir	Sertlennirilennir
Awtogeniý	obtogeniy
Dabaraly	doborolu
Dokma	doqmo
Erkin	erkin
Giňişleýin	giNiSleyin
Gyrgyz	gurXu8
Gyrgyzystanyň	gurXu8u88onuN
Kiçi	kiCi
Müşderi	meSdEre
Tatarystan	totoru88on
bildirilýär	billirilyEr
birlikleriniň	birlikleriniN
bolçulygyny	bolCuluXunu
bölünýär	bElenyEr
döredilipdir	dErEdelipdir
döredilmegini	dErEdelmeXini
düşýän	deSyEn
gatnatmakda	gotnotmoqdo
gazylyp	go8ulup
hasabyny	xo8obunu
instituty	in88itutu
işgärlere	iSXErlere
kerweni	kerbeni
maglumatlara	moXlumotloro
müňlerçesi	meNlErCe8i
nyşanyny	nuSonunu
ot	ot
paýtagtyna	poytoXtuno
saklanmalydygyny	8oqlonmoluduXunu
sebiti	8ebiti
seredildi	8eredilli
seredilýän	8eredilyEn
tamamlanyp	tomomlonup
tanyşdylar	tonuSdulor
tanyşdyrýar	tonuSduryor
taraplary	toroploru
taýýarlamakda	toyyorlomoqdo
töwereginde	tEbErEXenne
türgenlerimiziň	terXEnlerimi8iN
ussatlygyna	u88otluXuno
wagtyndan	boXtunnon
zolagyny	8oloXunu
Çaga	CoXo
çäkleriniň	CEkleriniN
çözgüdiniň	CE8XedeneN
öndüriji	Ennereje
üstündäki	e88endEki
ýanwarda	yonbordo
ýetirýärler	yetiryErler
ýylsaýyn	yul8oyun
ýöredişe	yErEdeSe
Şir	Sir
Şondan	Sonnon
Bileleşiginiň	bileleSiXiniN
Döwletara	dEblEtoro
Gruziýanyň	Xru8iyonuN
Guramaçylyk	guromoCuluq
Işiň	iSiN
Jemagat	jemoXot
Paýdarlar	poydorlor
Toparyň	toporuN
Täjigistanyň	tEjiXi88onuN
Türkmeniň	terkmEneN
adatdan	odotdon
alyşmalar	oluSmolor
arzanyň	or8onuN
açylyp	oCulup
baýraklary	boyroqloru
bildirýändigini	billiryEnniXini
bildirýärler	billiryErler
binýat	binyot
bäsleşiklere	bE8leSiklere
deňziň	deN8iN
dikeldiş	dikelliS
düzümler	de8emlEr
düşýär	deSyEr
edaralarda	edorolordo
edebi	edebi
etmegine	etmeXine
etraplaryň	etroploruN
forumynyň	forumunuN
gatnaşygy	gotnoSuXu
geçirijiniň	geCirijiniN
goýýar	goyyor
güman	gemon
gününi	genene
harytlara	xorutloro
kitabynyň	kitobunuN
maksatnamany	moq8otnomonu
mugallymlar	muXollumlor
netijenama	netijenomo
neşe	neSe
obasynda	obo8unno
ornaşdyrmaga	ornoSdurmoXo
peýdalanmagy	peydolonmoXu
puluna	puluno
resmileşdirilen	re8mileSdirilen
resminamalaryna	re8minomoloruno
ruhuny	ruxunu
sebäpler	8ebEpler
sergisiniň	8erXi8iniN
tapawutlanan	topobutlonon
tapawutlandy	topobutlonnu
tizlikli	ti8likli
topragyň	toproXuN
tutulypdyr	tutulupdur
umyt	umut
uniwersitetinde	uniber8itetinne
usullarynyň	u8ullorunuN
yz	u8
zeleliň	8eleliN
ösdüriljekdigine	E88ereljEkdiXine
öwreniş	EbrEneS
ýagty	yoXtu
ýerlerine	yerlerine
ýetirmekde	yetirmekde
ýeňşi	yeNSi
ýokarlandyrmagyň	yoqorlonnurmoXuN
ýöretmek	yErEtmEk
ýüki	yeke
Şanly	Sonlu
şekili	Sekili
şekillendiriş	SekillenniriS
şular	Sulor
Ajaýyp	ojoyup
Arza	or8o
Gahryman	goxrumon
Geleşikleriň	geleSikleriN
Mähriban	mEhribon
Suwdan	8ubdon
Söhbetdeşligiň	8EhbEtdESleXiN
Türkiýeden	terkeyeden
alnandygy	olnonnuXu
alnyş	olnuS
aw	ob
awgust	obXu88
başlangyçlar	boSlonXuClor
bergidar	berXidor
bilimleri	bilimleri
dabarasynda	doboro8unno
desgasy	de8Xo8u
döredijiligiň	dErEdejiliXiN
döredilip	dErEdelip
düzdi	de88e
düzgünleriniň	de8XenlEreneN
edinýär	edinyEr
garaýar	goroyor
gaýdýan	goydyon
geljegine	geljeXine
gondy	gonnu
goýberen	goyberen
gurluşyny	gurluSunu
guşlaryň	guSloruN
gyzlaryň	gu8loruN
gören	gErEn
günbatar	genmotor
halatlar	xolotlor
halka	xolqo
jümmüşinden	jemmeSennEn
kliniki	kliniki
maksadynda	moq8odunno
mawy	mobu
menzilinden	men8ilinnen
möhümdigi	mEhemneXe
nukdaýnazardan	nuqdoyno8ordon
näçe	nECe
oktýabr	oqtyobr
pata	poto
peýdalanyjylaryň	peydolonujuloruN
pudakda	pudoqdo
resminamany	re8minomonu
saýlamak	8oylomoq
sekunt	8ekunt
suwuny	8ubunu
synçylar	8unCulor
tehnikalaryny	tehnikolorunu
Älem	Elem
Ýaşlar	yoSlor
Ýurduň	yurduN
ösmegini	E8mEXene
öýüň	EyeN
üýtgewsiz	eytXEb8i8
ýaz	yo8
ýaşan	yoSon
ýerleşdirilýär	yerleSdirilyEr
ýetirmekden	yetirmekden
Birža	birZo
Döwletiň	dEblEteN
Eziz	e8i8
Federal	federol
Gözegçilik	gE8EXCelek
Liderleri	liderleri
Lukmançylyk	luqmonCuluq
Migrasiýa	miXro8iyo
Oýlap	oylop
