'll	l 3l
cobweb	kobwEb
cobwebbed	kobwEbd
cobwebby	kobwibi
cobwebs	kobwEbz
coca	k3uka
cocaine	k3kein k3ukein
coccus	kok3s
coccyx	kokiks
cochineal	kotSini3l
cochlea	koklia
cochlear	kotSli3
cock	kok
cockamamie	kokamEmi
cockatiel	kokatil
cockatiels	kokatilz
cockatoo	kokatu
cockatoos	kokatuz
cockatrice	kokEtris
cocked	kokt
cocker	koka
cockerel	kok3r3l
cockerels	kok3r3lz
cockers	kok3z
cockeyed	kokid
cockfight	kokfait
cockfighting	kokfaitiN
cockier	kokia
cockily	kokili
cockiness	kokin3s
cocking	kokiN
cockle	kok3l
cockles	kok3lz
cockleshell	kokliSEl
cockleshells	kokliSElz
cockney	kokni
cockneys	kokniz
cockpit	kokpit
cockpits	kokpits
cockroach	kokr3utS kokr3utS
cockroaches	kokr3utSiz
cocks	koks
cockscomb	koksk3um
cockscombs	koksk3umz
cockspur	kokspo
cocksucker	koksoka
cocksuckers	koksok3z
cocksure	kokSo
cockswain	kokswein
cocktail	kokteil kokteil
cocktails	kokteilz
cockup	kokop
cockups	kokops
cocky	koki
coco	k3uk3u
cocoa	k3uk3u
cocoanut	kok3unot
cocoanuts	kok3unots
cocoas	k3uk3uz
coconut	k3uk3not k3uk3nat
coconuts	k3uk3nots
cocoon	k3kun
cocooned	k3kund
cocooning	k3kuniN
cocoons	k3kunz
cocos	k3uk3uz
cocotte	kokot
cod	kod
coda	k3uda
codas	k3ud3z
codding	kodiN
coddle	kod3l
coddled	kod3ld
coddler	kodla
coddles	kod3lz
coddling	kodliN
code	k3ud
codebreaker	k3udbreika
coded	k3udid
codeine	k3udain
codename	k3udneim
codenamed	k3udneimd
coder	k3uda
coders	k3ud3z
codes	k3udz
codeword	k3udw3d
codewords	k3udw3dz
codex	k3udEks
codfish	kodfiS
codger	kodZa
codgers	kodZ3z
codices	kodisiz
codicil	kodisil
codicils	kodisilz
codification	kodifikeiS3n
codified	k3udifaid
codify	k3udifai
codifying	k3udifaiiN
coding	k3udiN
codling	kodliN
codon	kodon
codpiece	kodpis
codpieces	kodpisiz
cods	kodz
codswallop	kodswol3p
coed	k3uEd
coefficient	k3uifiS3nt
coefficients	k3uifiS3nts
coeliac	siliEk
coerce	k3u3s
coerced	k3u3st k3u3st
coercing	k3u3siN
coercion	k3u3S3n
coercive	k3u3siv
coexist	k3uEgzist
coexisted	k3uEgzistid
coexistence	k3uEgzist3ns
coexisting	k3uEgzistiN
coff	kof
coffee	kofi
coffeemaker	kofimeika
coffeepot	kofipot
coffees	kofiz
coffer	kofa
cofferdam	kof3dEm
coffers	kof3z
coffin	kofin
coffins	kofinz
cog	kog kog
cogent	k3udZ3nt
cogently	k3udZ3ntli
cogitate	kodZiteit
cogitates	kodZiteits
cogitating	kodZiteitiN
cogitation	kodZiteiS3n
cogitations	kodZiteiS3nz
cognac	konyEk
cognacs	konyEks
cognisance	kognis3ns
cognisant	kognis3nt
cognition	kogniS3n
cognitive	kognitiv kognitiv
cognitively	kognitivli
cognoscenti	kogn3sEnti
cogs	kogz
cogwheel	kogwil
cohabit	k3uhEbit
cohabitation	k3uhEbiteiS3n
cohabited	k3uhEbitid
cohabiting	k3uhEbitiN
cohen	k3u3n
cohere	k3uhi3
coherence	k3uhi3r3ns
coherent	k3uhi3r3nt k3uhi3r3nt
coherently	k3uhi3r3ntli
coheres	k3uhi3z
cohesion	k3uhiZ3n
cohesive	k3uhisiv
cohesively	k3uhisivli
cohesiveness	k3uhisivn3s
cohort	k3uhot
cohorts	k3uhots
coif	koif
coiffed	koift
coiffeur	koif3
coiffure	koifyo
coiffured	koifyod
coil	koil
coiled	koild
coiling	koiliN
coils	koilz
coin	koin
coinage	koinidZ
coincide	k3uinsaid k3uinsaid
coincided	k3uinsaidid
coincidence	k3uinsidins k3uinsid3ns
coincidences	k3uinsid3nsiz
coincident	k3uinsid3nt
coincidental	k3uinsidEnt3l
coincidentally	k3uinsidEnt3li
coincides	k3uinsaidz k3uinsaidz
coinciding	k3uinsaidiN
coined	koind
coining	koiniN
coins	koinz
coir	kwo
coital	koit3l
coition	koiS3n
coitus	koit3s
coke	k3uk
coked	k3ukt
cokes	k3uks
coking	k3ukiN
cola	k3ula
colander	kol3nda
colanders	kol3nd3z
colas	k3ul3z
colateral	kolEt3r3l k3lEt3r3l
colcannon	kolkEn3n
colchester	k3ultSist3
colchicum	koltSik3m
cold	k3uld
colder	k3ulda k3uld3
coldest	k3uld3st
coldfield	k3uldfild
coldly	k3uldli
coldness	k3uldn3s
colds	k3uldz
cole	k3ul
colectomy	k3lEkt3mi
coleman	k3ulm3n
colerne	kal3n
coles	k3ulz
coleslaw	k3ulslo
coleus	k3uli3s
coley	k3uli
colic	kolik
colicky	koliki
colin	kolin
coliseum	kol3si3m
colitis	kolaitis k3laitis
collaborate	k3lEb3reit
collaborated	k3lEb3reitid
collaborates	k3lEb3reits
collaborating	k3lEb3reitiN
collaboration	k3lEb3reiS3n
collaborationist	k3lEb3reiS3nist
collaborations	k3lEb3reiS3nz
collaborative	k3lEbr3tiv k3lEb3r3tiv
collaboratively	k3lEbr3tivli
collaborator	k3lEboreita
collaborators	k3lEboreit3z
collage	koloZ
collagen	koleidZ3n
collages	koloZiz
collapse	k3lEps
collapsed	k3lEpsd
collapses	k3lEpsiz
collapsible	k3lEps3b3l
collapsing	k3lEpsiN
collar	kol3 kola
collarbone	kol3b3un
collarbones	kol3b3unz
collard	kolod
collards	kolodz
collared	kol3d
collaring	kol3riN
collarless	kol3l3s
collars	kol3z
collate	k3leit
collated	k3leitid
collateral	k3lEt3r3l
collates	k3leits
collating	k3leitiN
collation	k3leiS3n
collations	k3leiS3nz
colleague	kolig kolig
colleagues	koligz koligz
collect	k3lEkt
collectable	k3lEkt3b3l
collectables	k3lEkt3b3lz k3lEktib3lz
collected	k3lEktid
collectible	k3lEkt3b3l
collectibles	k3lEkt3b3lz
collecting	k3lEktiN
collection	k3lEkS3n
collections	k3lEkS3nz
collective	k3lEktiv
collectively	k3lEktivli
collectiveness	k3lEktivn3s
collectives	k3lEktivz
collectivisation	k3lEktivaizeiS3n
collectivised	k3lEktivaizd
collectivism	k3lEktiviz3m
collectivist	k3lEktivist
collectivity	k3liktiviti
collector	k3lEkt3 k3lEkta
collectors	k3lEkt3z
colleen	k3lin
colleens	k3linz
college	kolidZ
colleges	kolidZiz
collegial	k3lidZ3l
collegiate	k3lidZi3t
collet	kolit
collets	kolits
collide	k3laid
collided	k3laidid
collider	k3laida
colliders	k3laid3z
collides	k3laidz
colliding	k3laidiN
collie	koli
collier	kolia
collieries	koli3riz
colliers	koli3z
colliery	koli3ri
collies	koliz
collins	kolinz
collision	k3liZ3n
collisions	k3liZ3nz
collodion	k3l3udi3n
colloid	koloid
colloidal	koloid3l
colloids	koloidz
collop	kol3p
colloquial	k3l3ukwi3l
colloquialism	k3l3ukwi3liz3m
colloquialisms	k3l3ukwi3liz3mz
colloquially	k3l3ukwi3li
collude	k3lud
colluded	k3ludid
colluder	k3luda
colludes	k3ludz
colluding	k3ludiN
collusion	k3luZ3n
collusive	k3lusiv
colly	koli
collywobbles	koliwob3lz
colobus	kolob3s
cologne	k3l3un
colombia	k3lombi3
colon	k3ul3n
colonel	k3n3l
colonels	k3n3lz
colones	k3ul3nz
colonial	k3l3uni3l
colonialism	k3l3uni3liz3m
colonialist	k3l3uni3list
colonialists	k3l3uni3lists
colonially	k3l3uni3li
colonials	k3l3uni3lz
colonic	k3lonik
colonies	kol3niz kol3niz
colonisation	kol3naizeiS3n
colonise	kol3naiz
colonised	kol3naizd
coloniser	kol3naiza
colonisers	kol3naiz3z
colonises	kol3naiziz
colonising	kol3naiziN
colonist	kol3nist
colonists	kol3nists
colonnade	kol3neid
colonnaded	kol3neidid
colonnades	kol3neidz
colons	k3ul3nz
colony	kol3ni
colophon	kolof3n
color	kal3
colorado	kol3rod3u
colorant	kol3r3nt
colorants	kol3r3nts
coloration	kol3reiS3n
coloratura	kol3rEtS3ra
colored	kol3d kal3d
colors	kol3z kal3z
colossal	k3los3l
colossally	k3los3li
colosseum	kol3si3m
colossi	k3losi
colossus	k3los3s
colostomy	k3lost3mi
colostrum	kolostr3m
colour	kola kal3
colourants	kol3r3nts
colouration	kol3reiS3n
colourblind	kol3blaind
coloured	kol3d kal3d
coloureds	kol3dz
colourful	kol3f3l kal3f3l
colourfully	kol3f3li
colourfulness	kol3f3ln3s
colouring	kol3riN
colourings	kol3riNz
colourised	kol3raizd
colourist	kol3rist
colourists	kol3rists
colourless	kol3l3s
colours	kol3z kal3z
colourway	kol3wei
colourways	kol3weiz
cols	kolz
colt	k3ult
coltish	k3ultiS
coltishness	k3ultiSn3s
colts	k3ults
columbia	k3lambi3
columbine	kol3mbain
columbines	kol3mbainz
columbus	k3lamb3s
column	kol3m kolom
columnar	kol3mno
columned	kolomd
columnist	kol3mnist
columnists	kol3mnists kol3mnists
columns	kol3mz kolomz
colza	kolza
com	kom
coma	k3uma k3um3
comas	k3um3z
comatose	k3umat3uz
comb	k3um
combat	kombEt k3mbEt
combatant	kombEt3nt
combatants	kombEt3nts
combated	kombEtid
combating	kombEtiN
combative	komb3tiv komb3tiv
combativeness	komb3tivn3s
combatting	kombEtiN
combe	k3mE
combed	k3umd
combination	kombineiS3n
combinations	kombineiS3nz
combine	kombain k3mbain
combined	k3mbaind
combines	k3mbainz kombainz
combing	k3umiN
combings	k3umiNz
combining	k3mbainiN
combo	komb3u
combos	komb3uz
combs	k3umz
combust	k3mbost
combusted	k3mbostid
combustible	k3mbost3b3l
combusting	k3mbostiN
combustion	k3mbostS3n
combusts	k3mbosts
come	kom kam
comeback	kombEk
comebacks	kombEks
comedian	k3midi3n
comedians	k3midi3nz
comedic	k3midik
comedienne	k3midiEn
comediennes	k3midiEnz
comedies	kom3diz
comedown	k3mEdaun
comedy	kom3di
comeliness	komlin3s
comely	komli
comer	koma
comers	kom3z
comes	komz kamz
comestibles	k3mEst3b3lz
comet	komit
cometary	k3mEt3ri
cometh	kam38
comets	komits
comeuppance	komop3ns
comfier	komfia
comfiest	komfi3st
comfit	komfit
comfort	komf3t kamf3t
comfortable	kamft3b3l kamf3t3b3l komft3b3l
comfortableness	komft3b3ln3s
comfortably	komft3bli kamft3bli
comforted	komf3tid
comforter	komf3ta
comforters	komf3t3z
comforting	komf3tiN
comfortingly	komf3tiNli
comfortless	komf3tl3s
comforts	komf3ts
comfrey	komfri
comfy	kamfi komfi
comic	komik
comical	komik3l
comically	komikli
comics	komiks
coming	kamiN komiN
comings	komiNz
comma	koma kom3
command	k3mond
commandant	komondEnt
commanded	k3mondid
commandeer	komondi3
commandeered	komondi3d
commandeering	komondi3riN
commandeers	komondi3z
commander	k3mond3 k3monda
commanders	k3mond3z
commanding	k3mondiN
commandment	k3mondm3nt
commandments	k3mondm3nts
commando	k3mEnd3u
commandoes	k3mEnd3uz
commandos	k3mEnd3uz
commands	k3mondz
commas	kom3z
commemorate	k3mEm3reit
commemorated	k3mEm3reitid
commemorates	k3mEm3reits
commemorating	k3mEm3reitiN
commemoration	k3mEm3reiS3n
commemorations	k3mEm3reiS3nz
commemorative	k3mEmr3tiv
commence	k3mEns
commenced	k3mEnst
commencement	k3mEnsm3nt
commences	k3mEnsiz
commencing	k3mEnsiN
commend	k3mEnd
commendable	k3mEnd3b3l
commendably	k3mEnd3bli
commendation	kom3ndeiS3n
commendations	kom3ndeiS3nz
commended	k3mEndid
commending	k3mEndiN
commends	k3mEndz
commensurate	k3mEns3r3t
commensurately	k3mEns3r3tli
comment	komEnt
commentaries	kom3ntriz
commentary	kom3nt3ri kom3ntri kom3ntri
commentate	kom3nteit
commentated	kom3nteitid
commentates	kom3nteits
commentating	kom3nteitiN
commentator	kom3nteita kom3nteit3
commentators	kom3nteit3z
commented	komEntid
commenting	komEntiN
comments	komEnts
commerce	kom3s
commercial	k3m3S3l
commercialisation	k3m3S3laizeiS3n
commercialise	k3m3S3laiz
commercialised	k3m3S3laizd
commercialising	k3m3S3laiziN
commercialism	k3m3S3liz3m
commercially	k3m3S3li
commercials	k3m3S3lz
commie	komi
commies	k3miz
comminute	k3minyut
comminuted	k3minyutid
commiserate	k3mis3reit
commiserated	k3mis3reitid
commiserating	k3mis3reitiN
commiseration	k3mis3reiS3n
commiserations	k3mis3reiS3nz
commissar	k3miso
commissariat	komise3riEt
commissars	k3misoz
commissary	k3mis3ri
commission	k3miS3n
commissionaire	k3miS3ne3
commissionaires	k3miS3ne3z
commissioned	k3miS3nd
commissioner	k3miS3n3 k3miS3na
commissioners	k3miS3n3z
commissioning	k3miS3niN
commissions	k3miS3nz
commit	k3mit
commitment	k3mitm3nt
commitments	k3mitm3nts
commits	k3mits
committal	k3mit3l
committed	k3mitid
committee	k3miti
committees	k3mitiz
committing	k3mitiN
commode	k3m3ud
commodes	k3m3udz
commodification	k3modifikeiS3n
commodify	k3modifai
commodious	k3m3udi3s
commodities	k3moditiz
commodity	k3moditi
commodore	kom3do
commodores	kom3doz
common	kom3n
commonalities	kom3nElitiz
commonality	kom3nEliti
commonalty	kom3n3lti
commoner	kom3na
commoners	kom3n3z
commonest	kom3n3st
commonly	kom3nli
commonness	kom3nn3s
commonplace	kom3npleis
commons	kom3nz
commonsense	kom3nsEns
commonwealth	kom3nwEl8
commonwealths	kom3nwEl8s
commotion	k3m3uS3n
commotions	k3m3uS3nz
communal	k3myun3l
communality	k3myunEliti
communally	k3myun3li
communed	komyund
communicable	k3myunik3b3l
communicant	k3myunik3nt
communicants	k3myunik3nts
communicate	k3myunikeit
communicated	k3myunikeitid
communicates	k3myunikeits
communicating	k3myunikeitiN
communication	k3myunikeiS3n
communications	k3myunikeiS3nz
communicative	k3myunik3tiv k3myunik3tiv
communicator	k3myunikeita
communicators	k3myunikeit3z
communing	komyuniN
communion	k3myuni3n k3myuny3n
communions	k3myuni3nz
communique	k3myunikei
communiques	k3myunikeis
communism	komyuniz3m komyuniz3m
communist	komyunist komyunist
communists	komyunists komyunists
communitarian	k3myunite3ri3n
communitarianism	k3myunite3ri3niz3m
communities	k3myunitiz k3myunitiz
community	k3myuniti k3myuniti
commutable	k3myut3b3l
commutation	komyuteiS3n
commute	k3myut
commuted	k3myutid
commuter	k3myuta
commuters	k3myut3z
commutes	k3myuts
commuting	k3myutiN
comp	komp
compact	k3mpEkt kompEkt
compacted	k3mpEktid
compacter	k3mpEkta
compacting	k3mpEktiN
compaction	k3mpEkS3n
compactly	k3mpEktli
compactness	k3mpEktn3s
compactor	k3mpEkta
compactors	k3mpEkt3z
compadre	k3mpEda
compagnie	k3mpEgni
companies	komp3niz kamp3niz
companion	k3mpEny3n k3mpEni3n
companionable	k3mpEni3n3b3l
companionably	k3mpEni3n3bli
companionate	k3mpEni3neit
companions	k3mpEni3nz k3mpEny3nz
companionship	k3mpEni3nSip
company	komp3ni kamp3ni
compaq	kompEk
comparable	komp3r3b3l
comparably	komp3r3bli
comparative	k3mpEr3tiv k3mpEr3tiv
comparatively	k3mpEr3tivli k3mpEr3tivli
comparatives	k3mpEr3tivz
comparator	k3mpEreita
comparators	k3mpEreit3z
compare	k3mpe3 k3mpE3
compared	k3mpe3d k3mpE3d
compares	k3mpe3z
comparing	k3mpE3riN k3mpe3riN
comparison	k3mpEris3n
comparisons	k3mpEris3nz
compartment	k3mpotm3nt
compartmentalisation	kompotmEnt3laizeiS3n
compartmentalise	kompotmEnt3laiz
compartmentalised	kompotmEnt3laizd
compartmentalising	kompotmEnt3laiziN
compartments	k3mpotm3nts
compass	komp3s kamp3s
compassed	komp3st
compasses	komp3siz
compassion	k3mpES3n
compassionate	k3mpES3n3t
compassionately	k3mpES3n3tli
compatibility	k3mpEtibiliti
compatible	k3mpEtib3l k3mpEt3b3l
compatriot	k3mpEtri3t
compatriots	k3mpEtri3ts
comped	kompt
compel	k3mpEl
compelled	k3mpEld
compelling	k3mpEliN
compellingly	k3mpEliNli
compels	k3mpElz
compendia	k3mpEndi3
compendious	k3mpEndi3s
compendium	k3mpEndi3m
compendiums	k3mpEndi3mz
compensate	komp3nseit
compensated	komp3nseitid
compensates	komp3nseits
compensating	komp3nseitiN
compensation	komp3nseiS3n
compensations	komp3nseiS3nz
compensator	komp3nseita
compensatory	komp3ns3t3ri
compete	k3mpit
competed	k3mpitid
competence	kompit3ns
competences	kompit3nsiz
competencies	kompit3nsiz
competency	kompit3nsi
competent	kompit3nt
competently	kompit3ntli
competes	k3mpits
competing	k3mpitiN
competition	kompitiS3n komp3tiS3n
competitions	komp3tiS3nz kompitiS3nz
competitive	k3mpEtitiv k3mpEtitiv
competitively	k3mpEtitivli
competitiveness	k3mpEtitivn3s
competitor	k3mpEtita k3mpEtit3
competitors	k3mpEtit3z
compilation	kompileiS3n
compilations	kompileiS3nz
compile	k3mpail
compiled	k3mpaild
compiler	k3mpaila k3mpail3
compilers	k3mpail3z
compiles	k3mpailz
compiling	k3mpailiN
comping	kompiN
complacence	k3mpleis3ns
complacency	k3mpleisnsi
complacent	k3mpleis3nt
complacently	k3mpleis3ntli
complain	k3mplein
complainant	k3mplein3nt
complainants	k3mplein3nts
complained	k3mpleind
complainer	k3mpleina
complainers	k3mplein3z
complaining	k3mpleiniN
complains	k3mpleinz
complaint	k3mpleint
complaints	k3mpleints
compleat	k3mplit
complement	komplim3nt
complementarity	komplim3ntEriti
complementary	komplimEnt3ri
complemented	komplim3ntid
complementing	komplim3ntiN
complements	komplim3nts
complete	k3mplit
completed	k3mplitid
completely	k3mplitli
completeness	k3mplitn3s
completer	k3mplEta
completes	k3mplits
completing	k3mplitiN
completion	k3mpliS3n
completions	k3mpliS3nz
complex	k3mplEks komplEks
complexes	komplEksiz
complexion	k3mplEkS3n
complexions	k3mplEkS3nz
complexities	k3mplEksitiz
complexity	k3mplEksiti
compliance	k3mplai3ns
compliant	k3mplai3nt
compliantly	k3mplai3ntli
complicate	komplikeit
complicated	komplikeitid
complicatedly	komplikeitidli
complicates	komplikeits
complicating	komplikeitiN
complication	komplikeiS3n
complications	komplikeiS3nz
complicit	k3mplisit
complicity	k3mplisiti
complied	k3mplaid
complies	k3mplaiz
compliment	komplim3nt komplimEnt
complimentary	komplimEnt3ri
complimented	komplim3ntid
complimenting	komplim3ntiN
compline	k3mplain
complot	k3mplot
comply	k3mplai
complying	k3mplaiiN
compo	k3mp3u
component	k3mp3un3nt
components	k3mp3un3nts
comport	k3mpot
comportment	k3mpotm3nt
comports	k3mpots
compose	k3mp3uz
composed	k3mp3uzd
composer	k3mp3uza k3mp3uz3
composers	k3mp3uz3z
composes	k3mp3uziz
composing	k3mp3uziN
composite	komp3zait komp3zit komp3sit
composites	komp3sits
composition	komp3ziS3n
compositional	komp3ziS3n3l
compositions	komp3ziS3nz
compositor	komp3sita
compositors	komp3sit3z
compost	kompost
composted	kompostid
composting	kompostiN
composts	komposts
composure	k3mp3uZa
compote	k3mp3ut
compotes	k3mp3uts
compound	k3mpaund kompaund
compounded	kompaundid
compounding	kompaundiN
compounds	kompaundz k3mpaundz
comprehend	komprihEnd
comprehended	komprihEndid
comprehending	komprihEndiN
comprehends	komprihEndz
comprehensible	komprihEns3b3l
comprehensibly	komprihEns3bli
comprehension	komprihEnS3n
comprehensive	komprihEnsiv
comprehensively	komprihEnsivli
comprehensiveness	komprihEnsivn3s
comprehensives	komprihEnsivz
compressed	k3mprEst
compressing	k3mprEsiN
compression	k3mprES3n
compressions	k3mprES3nz
compressive	k3mprEsiv
compressor	k3mprEsa
compressors	k3mprEs3z
comprise	k3mpraiz
comprised	k3mpraizd
comprises	k3mpraiziz
comprising	k3mpraiziN
compromise	kompr3maiz
compromised	kompr3maizd
compromiser	kompr3maiza
compromises	kompr3maiziz
compromising	kompr3maiziN
comps	komps
comptroller	komtr3ula
compulsion	k3mpolS3n
compulsions	k3mpolS3nz
compulsive	k3mpolsiv
compulsively	k3mpolsivli
compulsorily	k3mpols3r3li
compulsory	k3mpals3ri k3mpols3ri
compunction	k3mpoNkS3n
compunctious	k3mpoNkS3s
computable	k3mpyut3b3l
computation	kompyuteiS3n kompyuteiS3n
computational	kompyuteiS3n3l kompyuteiS3n3l
computations	kompyuteiS3nz
compute	k3mpyut
computed	k3mpyutid
computer	k3mpyut3 k3mpyuta
computerisation	k3mpyut3raizeiS3n
computerise	k3mpyut3raiz
computerised	k3mpyut3raizd
computerising	k3mpyut3raiziN
computers	k3mpyut3z
computes	k3mpyuts
computing	k3mpyutiN
comrade	komreid komreid komrid
comradely	komreidli
comradery	komreid3ri
comrades	komreidz
comradeship	komreidSip
con	kon
concatenate	konkEtineit
concatenated	k3nkEt3neitid
concatenates	k3nkEt3neits
concatenating	k3nkEt3neitiN
concatenation	k3nkEt3neiS3n
concave	konkeiv
conceal	k3nsil
concealed	k3nsild
concealer	k3nsila
concealing	k3nsiliN
concealment	k3nsilm3nt
conceals	k3nsilz
concede	k3nsid
conceded	k3nsidid
concedes	k3nsidz
conceding	k3nsidiN
conceit	k3nsit
conceited	k3nsitid
conceits	k3nsits
conceivable	k3nsiv3b3l
conceivably	k3nsiv3bli
conceive	k3nsiv
conceived	k3nsivd
conceives	k3nsivz
conceiving	k3nsiviN
concentrate	kons3ntreit
concentrated	kons3ntreitid
concentrates	kons3ntreits
concentrating	kons3ntreitiN
concentration	kons3ntreiS3n
concentrations	kons3ntreiS3nz
concentric	k3nsEntrik
concentrically	k3nsEntrikli
concept	konsEpt
conception	k3nsEpS3n
conceptions	k3nsEpS3nz
concepts	konsEpts
conceptual	k3nsEptSu3l k3nsEptSu3l
conceptualisation	k3nsEptSu3laizeiS3n
conceptualise	k3nsEptSu3laiz
conceptualising	k3nsEptSu3laiziN
conceptualism	k3nsEptSu3liz3m
conceptually	k3nsEptSu3li
concern	k3ns3n
concerned	k3ns3nd
concerning	k3ns3niN
concerns	k3ns3nz
concert	k3ns3t kons3t
concerted	k3ns3tid
concerti	k3ns3ti
concertina	kons3tina
concertinaed	kons3tin3d
concertinas	kons3tin3z
concerting	k3ns3tiN
concertino	kons3tin3u
concertmaster	k3ns3tmosta
concerto	k3ntSe3t3u
concertos	k3ntSe3t3uz
concerts	k3ns3ts kons3ts
concession	k3nsES3n
concessionary	k3nsES3n3ri
concessions	k3nsES3nz
conch	kontS
concha	k3ntSE
conches	kontSiz
conchie	k3ntSai
conchology	k3nkol3dZi
concierge	konsie3Z
concierges	konsie3Ziz
conciliate	k3nsilieit
conciliation	k3nsilieiS3n
conciliator	k3nsilieita
conciliatory	k3nsili3t3ri
concise	k3nsais
concisely	k3nsaisli
concision	k3nsiZ3n
conclave	konkleiv
conclude	k3nklud
concluded	k3nkludid
concludes	k3nkludz
concluding	k3nkludiN
conclusion	k3nkluZ3n
conclusions	k3nkluZ3nz
conclusive	k3nklusiv
conclusively	k3nklusivli
concoct	k3nkokt
concocted	k3nkoktid
concocter	k3nkokta
concocting	k3nkoktiN
concoction	k3nkokS3n
concoctions	k3nkokS3nz
concocts	k3nkokts
concomitant	k3nkomit3nt
concord	koNkod k3nkod
concordance	k3nkod3ns
concordat	k3nkodEt
concourse	konkos
concourses	konkosiz
concrete	k3Nkrit koNkrit
concreted	koNkritid
concretely	koNkritli
concreteness	koNkritn3s
concreting	koNkritiN
concretion	koNkrES3n
concretions	koNkrES3nz
concubine	k3nkyubain
concubines	k3nkyubainz
concupiscence	konkyupis3ns
concupiscent	konkyupis3nt
concur	k3nk3
concurred	k3nk3d
concurrence	k3nkor3ns
concurrent	k3nkor3nt
concurrently	k3nkor3ntli
concurring	k3nk3riN
concurs	k3nk3z
concuss	k3nkos
concussed	k3nkost
concussion	k3nkoS3n
concussions	k3nkoS3nz
concussive	k3nkosiv
condemn	k3ndEm
condemnation	kond3mneiS3n kondimneiS3n
