we 	w i
dalaşgäriň	d o l o S g r i e  a
daşaýjy	d o S a hy~
eýerip	e e r i p
geler	g e l e r
gelmelidir	g e l m e l i d i r
gerim	g e r i m
gözbaş	g o z b o S
işjeňleşdirmek	i S i n l e S d i r w i t a
kesilenler	k e s i l 3 n l e r
kuwwatynyň	k u w w a t 5 a
maddalarynda	l y e z i cy~ nd~ a
mümkinçilikleriniň	m m 3 3 5 i p e i l i k l e r i n i a
peýdalanýarlar	p e d a l a n a l a r
saýlanan	s a l a n a n
seýrek	s e r e k
sowgatlar	s o w a L a r
tarapynda	t a r a py~ nd~ a
tejribeli	t a  r i b e l i
wagtyny	w a g T n
wakalaryň	w a k a l a cy~ a
ynanyşmak	y n a 5 S
Ýewraziýa	e w r i  a
çekeleşikli	e k e l e S i k l i
çykaran	y k a r a
öndürmäge	n d 3 r m 3 g e
öýjükli	o j 3 k l i
ýadygärlikler	a o g r i e l i k l e r
ýeňijisi	a g a i j i s i
ýygnamak	y g n a m a k
ýygyndysy	y Z ndy$
şertnamany	S e r t n 5
Hindistan	i n d i s t a n
Jemgyýetiň	e m Z  a
Merw	e r
Nebit	e b i t
Prezidentimizi	r a  d e n t i m i z i
Tebigy	E b 3 gy~
aralykda	a r a ly~ k d a
aýna	a n a
bezegi	b e z e g i
bolmajak	b o l C i
bölek	b u w o r a
döredilmeginiň	d a r e d i l a w a n i n i a
foruma	f o r u m a
galdy	g a l d
garşysyna	g a r S
görkezýärler	g a r k e z r i e l e r
güne	N n e
günäsi	g i 3 s i
haklydyrlar	h a k ly~ o l a r
hasyly	h a s 3 kw~ a
hereketlerini	h e r e k e t l e r i n i
kepillendirýär	k e p i l l e n d i r 3 r
manatlyk	m a n a t ly~
medallara	m e d a ly~ a r a
merkezini	m e r k e z i n i
nesli	n e s l i
saparyna	s a p a r
tarapa	t a r a p a
toparyndan	t o p a hy~ nd~ a n
türki	m a n t r k i
ulanyp	u l a 5 p
ygtyýarlyklaryny	y g Th~ a r ly~ k l o ry~ n
çäresiniň	3 r e s i n i a
Goşmaça	o S a
azatlykdan	t r o t ly~ k d a n
başlanmagyna	b a S  m y 3 n a
berijä	b E E
berlende	b E l e n d e
boljakdygyny	b o l n i 5 o Z n
depginlerde	d e p g i n l e r d e
döwürlerde	d k 3 l e r d e
düzgünleşdirýän	d 3 z N n l e S d i r 3 n
emläginiň	e m l 3 g i n i a
federasiýasynyň	f e d e r a s i i S k 5 a
garşylamak	g a r S y l a m a k
geçildi	g  i l d i
goýdy	g o t a
goşun	g o S u n
gymmatlyklaryny	gy~ m m a t ly~ k l o hy~ n
gözelligi	g o 8 ly~ i g i
iýun	i u n
konserniniň	q o n i k s E r n i n i a
maksatnamalar	k s a t n 3 m a l a r
obasynyň	o b a s 3 n 3 a
otagy	o t a j
resminamalarynyň	r e s m i n o m o l o cy~ 5 a
suwda	s u w d a
sürýän	s 3 r 3 n
taýýarlygy	t a a r ly~ gy~
tebigatyň	th~ E b 3 g a t a
teplisanyň	t e p l i s a 5 a
tölemekden	h a l e m e k d e n
Ýuridik	u r i d i k
ýokanç	r a
Adam	d a m
Amyderýanyň	m 3 8 e r a 5 a
Azyk	z k
Geňeş	g a e S
Hökümetiniň	k m 3 e t i n i a
Içerki	e r
alymlary	a l i m
aşyrmakda	o S r m a k d a
aşyrylanda	o S y cy~ l a n d a
bazary	b a z a r
boşadylýar	b o S a o l a r
dabaranyň	d a b a r a 5 a
dilini	d i l i n i
dörediler	d a r e d i l e r
düzüldi	d 3 z 3 l d i
eserleriniň	e s E r l e r i n i a
geçdiler	g  d i l e r
giňişligine	g i a i S l i g i n e
goýlupdyr	g o n o z o r
habarly	h a b a E kw~ a
karara	k a r a r a
kilogram	k i l o g r a m
manatdan	m a n a t d a n
meseläni	m e s a i l 3 n i
obýektleri	o b Nw~ L e r i
oturan	o t u r a
peýdalanylmagy	p e d a l a 5 l m o g
saklaýan	s a q
subutnamalar	s u b u t n a m a l a r
togtatmak	t o x t a t
tonnadan	t o n 3 s 3 r 3
toparymyzyň	t o p i i m u z  y a
uludyr	b u k i d 3 e r a
wakalar	w a k a l a r
çaýdy	a t a
çözgüdini	o z N d i n i
öýli	o l i
ýerleşdirilipdir	r xy~ E kw~ e S d i r i l i p d i r
şertnamalarynyň	S e r t n o m o l o cy~ 5 a
Habar	a b a r
Harytlary	a r y tL~ a X n a
Prezidentine	r a  d e n t i n e
Serginiň	e r g i n i a
Täjigistan	3 i g i s t a n
artmagyna	i t m y 3 n a
artýan	i t
baýramçylyga	b a r a m y ly~ g a
belgä	b e l g
bilýän	b i l 3 n
binalarynyň	b i n a l a cy~ 5 a
buýrugy	b u r u g
düzgünlerini	d 3 z N n l e r i n i
düzümde	d 3 z 3 l a b
edilipdir	e d i l i p d i r
esaslandyryjy	e s a s l a n dy~ cy~ hy~
eýeläp	e  3 p
geçilen	g  i l e n
gullukçylaryň	g u L u k u y o hy~ n
gumanitar	g u m a n i t a r
guramaga	g u r a m a g a
hakyny	h a k n
halkymyza	h a l k a n i m c a
hanym	h a n g m
hasylyny	h a s 3 ly~ n
hytaý	h i t a
häsiýeti	h a e S i e t i
ildeşlerimiz	i l 7 e S l e r i m i z
ir	i r
köpeltmek	k o p e l t w i t a
maliýeleşdirmegiň	m a l i e l e S dy~ s a y m 3 i a
men	m e n
meýilleşdirilen	m e i l l e S d i r i l e n
meýilleşdirilýän	m e i l l e S d i r i l 3 n
möçberine	h w a k i n e
namalaryny	n a m a l a hy~ n
paýy	p a y
peýdalanylýan	p e d a l a 5 l
salgydy	s a l Z t a
suwa	s u w a
tehnologiýalaryny	t e h n o l o g i a l a hy~ n
terjime	t E r j i m e
tomaşaçylaryň	t o m o S a u y o ry~ a
täsiri	t a e S i r i
ugruna	t u g r u n a
Ýylyň	y ly~ a
çekmegi	e k m E g i
ýetmek	e t w i t a
şekilleri	S e k i l l e r i
şäherjiginde	S 3 i* j E g i d e
Bulardan	b e r d a n
Elbetde	l t d e
Gäminiň	3 m i n i a
Maglumatlary	y h a r a
Prokuratura	r o k u r a t u r a
Ykdysadyýet	k o sw~ o e t
Ylym	ly~ m
aýratynlyklaryny	a r a ty~ 3 n ly~ k l o hy~ n
barlaglar	b a r g a b o l a r
barşyna	b a r S
birbada	b 3 r b a d a
bozulandygy	b o z u l a n dy~ gy~
dahylly	d a h y L
durmaýan	d u r
däplerine	d 3 p l e r i n e
ederis	e d i n i s
garamagyndaky	g a r a m a x y a h k
gurluşygyň	g u r l u S y Z a
görkezijiler	g a r k e z i j i l e r
halatlarynda	h o l o tw~  i nd~ a
hukugyndan	h u k o Z nd~ a n
ilat	i l a t
kaşaň	k a S a a
mebel	m e b e l
menziline	m e n z i l i n e
meýdançalarynda	m e d a a l a cy~ nd~ a
partiýalaryň	p e r t i a l a hy~ a
paçlarynyň	p a  i 5 a
rowaçlyk	r o w a ly~
seljermesiniň	s e l x e r y a h i a
telekeçileriň	t e l e k e* i l e r i a
toparlar	t o p a l a r
tutmaga	t u t m a g a
woleýbol	w o l e b o l
zatlaryň	z a tL~ a X hy~ a
çäklerini	3 k l e r i n i
önümçiliginde	n m 3 i l i g i d e
öwrenmäge	k r e n m 3 g e
ýatyrylan	a Th~ ry~ c
ýeriň	e r i a
ýetirilmegine	e t i r i l a w a n i n e
ýolbaşçylaryna	o l b o S u y o cy~ n a
Birleşmäniň	i r l e S m 3 n i a
Garaşsyzlygymyzyň	a r a S s u z  ly~ Z my~ i n z y a
Ilki	l k i
Owganystana	w g a 5 s t a n a
Raýatlaryň	a a tL~ a X cy~ n
Taraplaryň	a r a p l a y i hy~ a
alymlaryň	a l i m l E ry~ a
bagtly	b o g L
boljakdygyna	b o l n i 5 o Z n a
deňdir	d e N d i r
dolandyryşynyň	t o r a n dy~ hy~ S y 5 a
dörediji	d a r e d i h i
ederler	e d i n l e r
edilişine	e d i l i S i n e
finalda	f i n a l d a
gürrüňi	N r 3 a i
haklary	h a q
häsiýetini	h a e S i e t i n i
kim	k i m
mejlise	m e h l i s e
meýdanlarynyň	m e d a  i 5 a
möwsüminiň	m k s 3 m i n i a
oturdylan	o t u r o c
saklaýar	s a q  a r
talabalaýyk	t a l a b a l a y
teklipçi	t e k 3 l i p i i
üstünliklerini	3 s t i l i k l e r i n i
üýtgetmeleri	3 t g e t m e l e r i
şertnamalaryna	S e r t n o m o l o cy~ n a
şondan	S o n d a n
Adamyň	d a m a
Atamyrat	t a m r a t
Germaniýa	e r m a n i a
Pul	u l
Türkmengaz	3 r k m a t i
adamlarynyň	a d a m l E cy~ 5 a
almakdan	a l m o k d a n
alyja	t a ly~ j a
aşyran	o S r i
belligine	b e l l i g i n e
binasyna	b i n a s 3 n a
bozulmalary	b o z u l m o l o r
düşen	d 3 S e n
gatynda	g a t nd~ a
gelmeýän	g e l d 3 n
gelýändigini	g e l 3 nd~ i g i n i
goýmagyň	g o Z a
goşandy	g o S a n dy~
günäkär	g i 3 k a r
güýçlendirmek	N l e n d i r w i t a
hasaplaşyklary	h a s a p l o S a q
hiline	h i l i n e
jemgyýetçiliginiň	j e m Z e t i l i g i n i a
kesgitleýän	k e s g i L e 3 n
konstitusion	q o n i k s t i t u s i o n
kämilleşdirmäge	k 3 m i l l e S d i r m 3 g e
mekdebe	k d e b e
meýdançalary	m e d a a l a r
müňe	m 3 a e
orunlara	u r u n l a r a
orunlaryny	u r u l i
ozalky	o z a l k a n
peýdasyna	p e d a s 3 n a
senagatynda	s e n a g a t nd~ a
tapgyr	t a p Z r
tölegli	h a l e g l i
ukybyny	u k a*
usullar	u s u y a r
öndürmegiň	n d 3 s a y m 3 i a
öri	o r i
ýangyç	a N y
ýerüsti	e r 3 s t i
ýetdi	e t d i
ýükleri	3 k l e r i
Aziadanyň	z i a d a 5 a
Belarusuň	u l u m a d u s u a
Demokratik	e m o k r a t i k
Forumyň	u r u m a
Geçirilen	 i r i l e n
Kabul	a b u l
Köýtendag	o t e n d a g
Türkmenbaşydaky	3 r k m E n b o S i 8 a k
artdyrýar	i t o r a r
baglaşylýar	b o g l o S u y a r
baýramyny	b a r a m 3 n
bütindünýä	b i a S i
depginde	d e p i nd~ e
depginli	d e p g i n l i
dykgatyna	o k g a t 3 n a
dökünler	d k i l e r
döredip	d a r e l
eýeçiligi	e  i l i g i
galanda	g a l a n d a
galdyryjy	g a u l d u z ry~ hy~
garaşýar	g a r a S a r
gatnawlarynyň	g a t n 3  i 5 a
gaýtalanmajak	g a t a l a n C i
gidýär	g i d 3 r
günlük	g i 3 3
hyzmatyny	h u z  ty~ n
häkimliginiň	h 3 k i m l i g i n i a
institutynda	s i p o ty~ nd~ a
jaýyna	y a y n a
kg	k
kitabyna	k i t 3 by~ n a
kreditor	k r E d i t o r
mukdary	m u k d a r
nygtadylar	5 g t a o l a r
obalaryň	o b a l a ry~ n
parahatçylykly	p a r a h a t y ly~ k kw~ a
pursatda	p u r s a t d a
päsgel	p a e S N g E l
salgytlary	s a l Z tL~ a X n a
serişdesiniň	s e r i S b a h i a
seçip	s  i p
strategiýasyny	s t r a t e g i a s 3 n
suwaryş	s u w a hy~ S
suwlary	s u w
synlap	s  a p
tabşyryk	t a b S y ry~ k
talaplarynyň	t a l a p l a y i ry~ 5 a
tanyşdyryş	t a 5 S o cy~ S
tomaşaçylar	t o m o S a y l a r
umumymilli	u m u m m i l l i
zawodyň	z a w o d u z a
çäklerde	3 k l e r d e
ýygyndysynyň	y Z ndy$ y 5 a
ýyllygynyň	y u l ly~ Z 5 a
Binanyň	i n a 5 a
Geljekde	e l x e k d e
Mikromaliýe	i k u m o l i e
Notarial	o t a r i a l
aýdymlar	a o m l a r
bahasyna	b a h a s 3 n a
barlagyň	b a X l u y 3 a
baýramçylygyň	b a r a m y ly~ Z a
bildirilip	b i l d i r i l i p
binýadynyň	b i t t a o 5 a
bölekleriniň	b u w o l e k l e r i n i a
dünýäsi	d i 3 s i
düşünilýär	d 3 S i i l 3 r
eýelän	e  3 n
görnüşlerine	g a r tn~ 3 S l e r i n e
gözegçiligini	g o z e g i l i g i n i
habarlary	h a b a l a r
häsiýetine	h a e S i e t i n e
hödürledi	h o p d 3 l e d i
hödürlendi	h o p d 3 l e n d i
hödürleýär	h o p d 3 l e 3 r
hökmanydyr	h k 5 o r
iberilen	i b e r e l e n
iberýär	i b e r 3 r
innowasiýa	i n n o w a s i a
işlän	i S  3 n
jogapkärçiligine	j o x a p k 3 r i l i g i n e
kagyzlaryň	k a x y a z l a hy~ n
kesgitlemäge	k e s g i L e m 3 g e
kubogy	k u b o Z
maslahatlaşmak	s l a h a t l o S
metbugat	m e t j a t
neşirýat	n e S i r a t
paýtagtymyz	p a t o x ty~ m u z
pullarynyň	p u y a cy~ 5 a
sirk	s i r
tabşyrylan	t a b S y cy~ c
talyplarynyň	t t a ly~ p l a n i n ry~ 5 n
tamamlanmagy	t o m o m a nz~ gy~
taslamasyna	t a l a m a s 3 n a
tehnika	t e h n i k a
temmi	t e m m i
ulanylmagyna	u l a 5 l m y 3 n a
ylalaşyklar	y l o l o S a q
ylalaşyklary	y l o l o S a q
ynandyrdy	y n a n dy~ o dy~
yza	y c a
çemeleşmegiň	e m e l e S a w a n i a
öwrülip	k a s l i p
üstünlige	3 s t i l i g e
ýetginjekler	e t g r o n o x e k l e r
ýetirijisi	e t i r i j i s i
ýetirilip	e t i r i l i p
şatlyk	S a t ly~
şertnamalar	S e r t n a m a l a r
Kanunyna	n u y n a
Kodekse	o d e k s e
Nusaý	u s a
abatlaýyş	a b " 3 tL~ a X y S
bellenilmedik	b e l l e n i l m e d i k
bildirýär	b i l d i r 3 r
bilimiň	b i l i m i a
birleşdirýän	b 3 r l e S d i r 3 n
bozulan	b o z u l a n
bölümiň	b u w o l 3 m i a
delillendirilen	d e l i l l e n d i r i l e n
ençemesi	e n e m e s i
gatnaşyklarynda	g a t n 3 S a q  i nd~ a
gektara	g e k t a r a
giriş	g i r i S
gowulandyrmaga	g o w u l a n dy~ r m a g a
hossarlyk	h o s s e r ly~
hukugyň	h u k o Z a
internet	i n t E r n
käýinç	k a i n
meniň	m E n i a
milletiň	m i l l  a
myhmansöýerlik	m 3 t s o r xy~ E kw~ i k
nyşanynyň	5 S a 5 5 a
obanyň	o b a 5 a
okuwa	o k u w a
orunda	u r u n d a
parlamentara	p a l a m e n t a r a
paýtagtymyzy	p a t o x ty~ my~ i n z
peýdalanýan	p e d a l a n
portunyň	p o r t u 5 a
pugta	p e r a
tapgyryna	t a p Z hy~ n a
welaýatlaryndan	w e l a a tL~ a X hy~ nd~ a n
ykdysadyýetimizi	y k o sw~ o  m i z i
ylmynyň	y l m 3 n 3 a
ýerleşdirildi	r xy~ E kw~ e S d i r i l d i
ýüklenilýär	3 k l e n i l 3 r
Deslapky	e s  p ky~
Döwletiniň	k l e t i n i a
Halkymyzyň	a l i m u z  y a
amallaryny	o m o l
aralyk	a r a ly~
atasynyň	a t a s 3 n 3 a
azyklyk	a z a q ly~
aýy	a y
baglary	b o g
birmeňzeş	b 3 r m i n z e S
bäsleşdiler	b 3 w t a S d i l e r
böleklerini	b u w o l e k l e r i n i
daş	d o S
desgalarynda	d e s g a l a cy~ nd~ a
diňlenildi	d i a l e n i l d i
erkekler	e r k e k l e r
esaslyk	e s a s ly~
gaýtaryp	g a t a hy~ p
goşulýan	g o S b
görlüşi	g a r 3 3 S i
hasaplanýan	h a s a p a nz~
haýyşnamanyň	h a y S 5 a
hiliniň	h i l i n i a
hyzmatyň	h u z  Th~ n
hödürlemek	h o p d 3 l E m E k
islegine	i w t a g i n e
maşgalanyň	m o S g a l a 5 a
mekdepler	k d 3 p l e r
myhmany	m 3 t
möhümdigine	h w a t a 7 i m y a N i n e
nazarda	n a z a r d a
netijede	n e t i j E d e
oktýabrynda	o a b hy~ nd~ a
oturdyldy	o t u r o u l d u z
owazy	o w a z
raýatynyň	r a a T 5 a
saklaýjy	s a q  hy~
salamlaşyp	y u r i l o S y p
sebitleriniň	s e  L e r i n i a
sungatyň	s u N a T n
sözi	s o
wepaly	w e p a l u k
wezipelere	e z i  p e l e r e
Özara	z a r a
Ýaşulular	o S u l u l a r
çykyşyny	y ky~ S
ölçegleri	o l g l e r i
üçüsi	3 3 s i
ýazgysy	l Z s
ýaşajyk	o S w
ýüküň	3 g u a
şertnamalaýyn	S e r t n o m o l o y n
Aşgabatdaky	S g a b a t d a k
Bäsleşige	3 w t a S i g e
Gatnaşyjy	a t n 3 S i L
Hökümetara	k m 3 e t a r a
Mejlisde	j l i s d e
Serkerdebaşysy	e r k e r d e b o S
Tutuş	u t u S
abatlamak	a b " 3 L a m a k
artmagy	i t gy~
azaltmak	t r o l t
belarus	b e l a r u s
bellenip	b e l l e n i p
bezegine	b e z e g i n e
bolandygy	b o r a n dy~ gy~
bolman	b o l 3 m
dabaralaryna	d a b a r 3 l 3 cy~ n a
dillerinde	d i l l e r i d e
edýändigi	p i e d a* d d i g i 7
ekologik	e k o l o g i k
etdiriler	e t d i r i l e r
eýran	e r i
garamagyň	g a r a m a x y a a
garanyňda	g a r a 5 a d a
gelmek	g e l w i t a
goldawyna	g o l d a w 3 n a
goýup	g o u p
gullukçylary	g u L u k y
gurluş	g u r % S
gurnaldy	g u r n a l d
gurşawyň	g u r S a w 3 a
gutarnykly	g u t a r 5 k kw~ a
hökman	h k m a n
inçe	i n e
jemgyýet	j e m Z e t
kanagatlandyrmak	k a n a g a t l a n dy~ r m a k
kararlary	k a r a r
kassa	k a s a
kyn	ky~ n
köpdür	k o p d a r
meýdançasy	m e d a a s
mugallymçylyk	m u g a ly~ i m y ly~
myhmanlara	m 3 t l a r a
möhletleýin	h w a L e t l e i n
onlarçasy	o  a s
prokurora	p r o k u r o r a
raýatlara	r a a L a r a
sahypalarynda	s a h 3 p a l a cy~ nd~ a
sambo	s a m b o
sanawyny	s a n a w 3 n
sebitleriň	s e  L e r i a
tabşyryldy	t a b S y ry~ u l d u z
ulgamdaky	u l g a m d a k
çözgüdine	o z N d i n e
çözgüdiň	o z gw~ dy~ a
üçden	3 d e n
üçindir	3 i d i r
ýokarlanmagyna	k a d a nz~ m y 3 n a
şertlendirýär	S e r L e n d i r 3 r
şäherlerinde	S 3 i* l e r i d e
Gün	o N
Mejlisi	j l i s i
Oýunlaryň	u l i  i a
Türkmenhimiýa	3 r k m E n i m i a
ada	a d a
birleşmesi	b 3 r l e S m e s i
bolmaga	b o l 3 m a g a
boşatdy	b o S a t t a
daşamagyň	d o S a m a x y a a
diwersifikasiýa	d i w e r s i f i k a s i a
duşuşygynda	d u S u S y Z nd~ a
döwürlerden	d k 3 l e r d e n
düşdi	d 3 S d i
ekinleriniň	r l e r i n i a
elektroenergetika	e l e k tr~ u 3 n e r g e t i k a
esaslanan	e s a s l a n a n
etraplarynda	a t 3 r a p l a y i hy~ nd~ a
forumy	f o r u m
galyndylary	g a ly~ ndy$
gelýärler	g e l r i e l e r
gerekli	g e r e k l i
geçelgelerini	g   g e l e r i n i
geçirijisi	g  i r i j i s i
girdejiler	g i r d e h a i l e r
guraly	g u r a l u k
gurnalan	g u r n a l a n
gözellik	g o 8 ly~ i k
haýwanlaryň	h a w a  i a
hyzmatynyň	h u z  Th~ 5 n
köpýyllyk	k o p y u l ly~
ministriniň	m i n i u z i n i a
mümkinçiliklerine	m m 3 3 5 i p e i l i k l e r i n e
namalarynda	n a m a l a hy~ nd~ a
nemes	n e 8 i m 3 s
partiýanyň	p e r t i a 5 a
sekuntda	s e k u n t d a
tamamlamak	t o m o m l a m a k
telekeçileriniň	t e l e k e* i l e r i n i a
ulgama	u l g a m a
ulgamlar	u l g a m l a r
umumybilim	u m u m a* i l i m
wagtdan	w a g t d a n
wezipelerine	e z i  p e l e r i n e
ykdysadyýetini	y k o sw~ o e t i n i
ynsan	y s a n
zeper	z e p e r
Öri	r i
çeşmeleriniň	e S m e l e r i n i a
çykyşlaryny	y ky~ S
çäresini	3 r e s i n i
öýleriň	o l e r i a
üstünlikleriniň	3 s t i l i k l e r i n i a
ýörişiň	a r i S i a
şatlykly	S a t ly~ k kw~ a
Atçylyk	t y ly~
Bellige	e ly~ i g e
Däp	3 p
Maslahat	a s l a h a t
Muhammet	a a m e
Pursatdan	u r s a t d a n
Türkmenpatent	3 r k m E n p a t e n t
Welaýat	e l a a t
amatlyklary	a m a t ly~ k
açdy	a t a
açylyşy	a y ly~ S
aşyrylmagyna	o S y hy~ l m y 3 n a
baky	b a k
bellenilmegi	b e l l e n i l m E g i
dalaşgärler	d o l o S g r i e l e r
daşamakda	d o S w d a
duýulýar	d u b a r
düşündiriş	d 3 S 3 nd~ i r i S
enjam	e n j a m
gadagandyr	g a d a g a nd~ e r a
gatnaşyk	g a t n 3 S k
gatnaşýanlaryň	g a t n 3 S a*  i a
goldaýar	g o l d a a r
goşýar	g o S a r
gulluklarynyň	g u L u k l o hy~ 5 a
gullukçylar	g u L u k y l a r
gymmatlygy	gy~ m m a t ly~ gy~
hasaplanylýan	h a s a p l a 5 l
hünäri	h i r i e
işjeňleşdirmäge	i S i n l e S d i r m 3 g e
kanunçylygyň	k a n u n y ly~ Z a
kärdeşler	k a r d e S l e r
muzdsuz	m u z j u
nesil	n e s i l
orunlarynyň	u r u l i  i 5 a
otagly	o t o x kw~ a
pikiri	p i k i r i
raýatlaryna	r a a tL~ a X hy~ n a
satmak	s a t
satuw	s a t u w o n
syýasatynda	s i m a s a t nd~ a
taekwondo	t a e k w o n d o
tapgyrlaýyn	t a p Z l a y n
tehnologiki	t e h n o l o g i k i
ulgamlaryň	u l g a m l E hy~ a
utgaşykly	u t gh~ u o S a q kw~ a
wagtlap	w a g L a p
ygtyýarlyk	y g Th~ a r ly~
yklym	y k ly~ m
ylalaşyklaryň	y l o l o S a q  i a
Öňde	a d e
çykarylýan	k  cy~ l
çykdajy	a q d a
çägindäki	3 g i d 3 k i
ömür	o m a r
özbek	o z k
üpjünçiligini	3 ph~ i i l i g i n i
ýörelgesine	a r e l g 3 s i n e
ýörişi	a r i S i
ýüzmek	3 z w i t a
Aşraf	S r a f
Dini	i n i
Haryt	a r y
Hünär	i 3 r
Kararyna	a r a r
Kodeks	o d e k
Tokaý	o k a
Ymamnazar	m a m l a r
abat	a b a t
aýdylýar	a o l a r
aňrybaş	a n cy~ b o S
bazarlarynda	b a z a l a cy~ nd~ a
başy	b o S
bendinde	b e n d i d e
berkidilen	k d i l e n
bäsleşikleriň	b 3 w t a S i k l e r i a
daşynda	d o S y nd~ a
dilleri	d i l l e r i
düýbi	d 3 b i
düşünje	d 3 S i e
goralmagy	g o r a l m o g
goşandyny	g o S a n dy~ n
goşýarlar	g o S a l a r
gämileriniň	g 3 m i l e r i n i a
görnüşlerinde	g a r tn~ 3 S l e r i d e
hereketine	h e r e k e t i n e
iberen	i b e r e n
ini	i n i
iýul	i u l
kärendesine	k 3 r e n d e s i n e
köplügi	k o p l a n 3 g i
lizing	l i 5
maksatlaryny	k sw~ tL~ a X n a
maslahatlaryň	s l a h a tL~ a X hy~ a
meýilnamasyny	m e i l n a m a s 3 n
mümkinçiligine	m m 3 3 5 i p e i l i g i n e
nusgalyk	n u s g a ly~
opera	o p e r a
paýtagtyň	p a t o x ty~ a
puşmana	p u S m a n a
resmileşdirmek	r e s m i l e S d i r w i t a
saparyň	s a p a cy~ n
serişdesini	s e r i S d e s i n i
sowgatlary	s o w a tL~ a X n a
söwdanyň	s k d a 5 a
sözler	s o 3 z l e r
tamamlady	t o m o m l a d
tassyklanylýan	t a s a k l a 5 l
taý	t a
tejribesine	t a  r i b e s i n e
tölegiň	h a l e g i a
ulanylan	u l a 5 c
ussatlyklaryny	u s s a t ly~ k l o cy~ n
wagta	w a g t a
wakalara	w a k a l a r a
wekilhanalaryň	w e k i l a n a l a cy~ n
zenan	z e n a n
önümçiligine	n m 3 i l i g i n e
öňümizde	o a 3 m i z d a e
ýörelgeleriniň	a r e l g e l e r i n i a
ýörelgesini	a r e l g 3 s i n i
Arkadag	r k a d a g
Azerbaýjanyň	z e r b a j a 5 a
Başga	o S g a
Daşky	o S ky~
Kärdeşler	r i e d e S l e r
Ses	m 3 s
alnyşy	a l 5 S
asyrda	a s 3 r d a
aýan	a
aýdymy	a o m
aşyrmagy	o S r gy~
baglanyşdyrýar	b o g l a 5 S o r a r
barlagyny	b a X l u y 3 n
barmagyň	b a r m a x y a a
bileleşigi	b i l e l e S i g i
bolýarlar	b o l a l a r
borçnamalaryny	b o r n o m o l o cy~ n
bäsleşiginiň	b 3 w t a S i g i n i a
bölmek	b u w o l w i t a
dokuz	d o k u
dolanyşyga	t o r a 5 S y g a
dollaryna	t o r u hy~ n a
döwletlerden	d k l   d e n
düzümlerini	d 3 z 3 m l e r i n i
edilenden	e d i l e n d e n
ekiş	r S
enjamlaryny	e n c a m o
getirýän	g e t i r 3 n
girmegi	g i r m E g i
goranmak	g o r a n m a k
goýýan	g o
görelde	g a r e l d e
gözelligini	g o 8 ly~ i g i n i
heniz	h e n i z
herekete	h e r e k e t e
irki	i r k i
isleglerini	i w t a L e r i n i
jezany	h e z a n
kanunlaryň	k a n u l i  i a
kesgitnamasy	k e s g i t n a m a k
kitaplary	k i t 3 p
kärhanalarda	k a r a n a l a r d a
kölüniň	k o l i i a
netijenamasy	n e t i j E n a m a k
oýnalýan	o n a l
ruhubelentligiň	r u h u b e l e n t l i g i a
salşyklary	s a l S a q
saýlawlara	s a l a L w a r a
sebäbi	s e b 3 b i
tagallasy	t a g a ly~ a
talaplaryň	t a l a p l a y i cy~ n
tanslar	t a n w a r
tapyp	t a p 3 p
tehnikalar	t e h n i k a l a r
tutan	t u t a n
tölenilmegi	h a l e n i l m E g i
ukyplydyr	u k 3 p ly~ o r
wekillerine	w e k i l l e r i n e
zalyna	z a ly~ n a
çykyşlarynda	y ky~ S  i nd~ a
çäkli	3 k l i
çäksiz	3 k i t e
öýleri	o l e r i
ýa	a
ýagdaýdyr	a g d a o r
ýerlere	r xy~ E kw~ e r e
şoňa	S o a a
şäherçesiniň	S 3 i* y a h i a
