di	d i
Old	l
Partidonan	i t i d o n a n
Rosel	o s e l
Sagrado	a g r a d o
Seguro	e g u r o
Sharina	h a r i n a
Simar	i m a r
Simplemente	i m p l E m E n t e
Situacion	i t u a i o n
Smart	m a* r
Soca	o k a
Solange	o r a n g e
Spaans	p a n
Subway	u b w a y
Surinam	u r i n a m
Takelwagen	a k e l w a g 3 n
Tipline	i p l i n e
Tisa	i s a
Toets	o e c
Tour	o u r
Truck	r u C a
Tuitt	k i t
Turista	u r i s t a
Web	e
Wega	e g a
Williams	i ly~ i m
Yuda	u d a
abilidad	a b i l i d a d
academia	a c a d 7 e m i a
account	a k k o u n t
acercamento	a C E r k a m e n t o
aclaracion	a k l a r a i o n
actor	a k t o r
afortunadamente	a h t u n a d a m e n t e
agricultornan	y i cy~ u l t o r n a n
alcance	a l 5 u k u n C i e
aliado	a l i a d o
all	o l
anochinan	a n o C i n a n
atmosfera	a t n o S f e r a
atracador	a t r a c a d 7 o r
babuca	b a b u k a
batata	b a t a t a
blvd	b l a d
bolo	b o l o
cabando	k a b a n d o
candidata	k a nd~ i d a t a
ceramento	C E r a m e n t o
chofer	C o f e r
cinema	i n i m a
colorido	k o l o r i d o
compasion	k o mp~ a s i o n
compensacion	k o m p e sh~ 3 i o n
comprencion	k o m p m i n C i w o n
comprendibel	k o m p r e n d i b e l
concurso	r o n k u r s o
contactonan	r o n t a  t o n a n
contradeci	r o n tr~ a d e k i
creciendo	k r E C y e n d o
crecimento	k r E c i n e n e n t o
cueste	kw~ e s t e
decora	d e k o r a
deporta	d e p o r t e
desayuno	d e s a y u n o
deteccion	d e t e k i o n
diesdos	d i e s d o s
digno	d i g i E 5 o
disciplinario	d i S e p l i n a r i o
disertacion	d i s E r t a i o n
dolornan	d o l o r n a n
eigenlijk	e i g 3 n l i j
empresarionan	3 mp~ r e s a r i o n a n
encarecidamente	e n k a r E c i d a m e n t e
encaso	e n k a s o
entrenamento	e n t r e n a m e n t o
erornan	a ph~ n a n
error	e r o r
especienan	e s p E kh~ a m e* i e n a n
espectaculo	e s p E kh~ a m e* t a  l o
etica	e t i k a
eventualmente	p i r 3 n t u a l m e n t e
extendi	e S i
fasenan	f a s e n a n
fracasa	f r a k a s a
frecuencia	f r e kw~ e n C i w a
gasoline	g a s o l i n e
gewoon	g e o n
gigante	g i g a n t e
grill	g r i l
hincamento	h i n k a m e n t o
hole	h o l e
horibel	h o r i b e l
hungando	h u N a n d o
identificacion	d e n t i f i k a i o n
ingles	i N l e
intencional	i n t e n C i w o n a l
intension	i n t e ns~ i o n
interupcion	i n t E a m i o n
jeans	h e a*
juffrouw	x u f r o u n a
kWh	k
licencia	l i k i n C i w a
logo	l o g o
mandatorio	m a nd~ a t o r i o
materno	m a t E r n o
merca	m e r k a
mokete	m o k e t e
moviendo	m o v i e n d o
nister	n i S th~ E r
nuebe	n u e b e
nunka	n u n
pacient	p a k
pasco	p a s k o
periodismo	p e r i o d i s m o
podernan	w a b E a n a n
policlinica	p o l i k l i n i k a
pompstation	p o m p s t a t i o n 3
profesionalismo	p r o f i S i o n a l i s m o
prohimo	p r o h i m o
promesanan	p r o m e s a n a n
propaga	p r o p a g a
proposicionnan	p r o p o s i i o* n a n
psycologo	p s S e k o l o g o
puntre	p u n t r e
quadracer	k 7 t a d r a C e r i t
rapidez	r a  d e z
recomendabel	r E c o m e n d a b e l
recordatorio	r E c o r d a t o r i o
recreacion	r E c r e a i o n
refinancia	r e f i n a n C i w a
restructuracion	r e s t r u k t u r a i o n
revista	r E i s t a
revolver	r E f o l v e r i
riguroso	r i g u r o s o
salanan	s a l a n a n
saliente	s a l i e n t e
scarsedad	s k a g i s 3 d a d
secretario	s e k r e t a r i o
shete	S e t e
speech	s p e n
splike	s p l i k e
sufrimento	s u f l i m e n t o
susto	s u s t o
telefonico	t e l e f o n i k o
tercera	t E r u r a
toke	t o k e
traductor	tr~ a d u k t o r
trampa	tr~ a m p a
transaccionnan	i t r i s a k i o* n a n
transmicion	i t r i s C u w C i w r o n
tripulante	t r e p u l a n t e
tuberia	t u b e r i a
tucson	t u k o*
tèst	t 3 7 s d a
urgentemente	u r g 3 n t E m E n t e
videoclip	v i d e o k l i p
visa	v i s a
Academia	k a d e m i a
Action	k t i o n 3
Agricultura	g r i k u l t u r a
Andicuri	n t i k u r i
Antiyas	t i y a s
Apenas	p e n 3 s
Apple	p p l e
Baho	a h o
Bienestar	i e n e s t a r
Black	l a k
Cabana	a b a n a
Cafe	a f e
Cambionan	a m b i o n a n
Choudhry	h o u d r
Cien	i e n
Compara	p a r a
Consul	o* s u l
Copa	o p a
Corporate	u r p o r a t e
Cuminsando	m i s a n d o
Dabian	a b i a n
Department	a p i t m E n t
Depresion	a p r e s i o n
Fatima	a t i m a
Fitch	i t
Fuerte	u e r t e
Gaalen	a l e n
Glenda	l e n d a
Grant	r a nt~
Growell	r o w e l o
Hulp	u l p
Imeldahof	m e l d a h
Impact	p a k s
India	n t i a
Infantil	n f a nt~ i l
Interest	t e r e s
James	a m e
Jet	e t
Kamp	a m p
Kendrick	i cy~
Kids	d
Laboratorio	a b o r a t o r i o
Mantene	a n t e n e
Mayor	a y o r
Miguel	i g
Moderna	o d E a n a
Montaña	o* t a 5 a
Montenegro	o t e n e g r o
Motibo	o t i b o
Nes	m 3 s
Nuhad	a h a
Oost	o s
Open	p e n
POREDmep	m e p
Palace	a l a k e
Papilon	a p i l o n
Paula	a u l a
Pedro	p i e d r o
Piscadonan	i s k a d o n a n
Prison	r i S o n
Progreso	r o g o r e s o
Public	u b l i k
Richardson	i C a r j u n
Rosario	o s a r i o
Rumbastraat	u mb~ a s t r a t
Sagicor	y i k o r
Sostenible	o s t e d i b o l e
Special	p e k i a l
Stadhuis	t a d w i s
Tera	e r a
Terminal	e r m i n a l
Texier	" i e r
Trabao	r a b a o
Traimerdia	r a i * d i a
Unavez	n a b e z
Vondellaan	d e y a
Walk	a l
Week	e k "
absolutamente	a b " s o l u t a m e n t e
aconseha	a k o s e h a
ader	a d e r
adresa	a d r e s a
afirma	a f i r m a
agresor	y r e s o r
aparatonan	a p a r a t o n a n
artikel	i t i k e l
auspicio	a u s p i i o
bacteria	b a k t E r i a
baseball	b a s e b o l
binidero	b i n i d e r o
bisindario	b i s i n d a r a o
body	b o t a
boost	b o s i r
bosonan	b o s o n a n
burocracia	b u r o k r a c i a
camaranan	k a m a r a n a n
caracterisa	k a r a k t E r i s a
caracteristicanan	k a r a k t E r i s t i k a n a n
caravana	k a r a v a n a
checklist	C e k k 3 l i p s d a
ciclo	C i w C i l o
circumstancia	l r u m s t a n C i w a
civico	i v i k o
clapchi	k l a p C i
clinico	k l i n i k o
cocolishi	k o k o l i S i
combate	k o mb~ a t e
comodo	k o m o t o
compensa	k o m p e s a
competitivo	k o m p e t i t i b o
complicacionnan	k o m p l i k a i o* n a n
compornde	k o m p o r nd~ e
comunismo	k o m u n i S m o
condicionan	r o n d i k i o n a n
conducta	r o n d u k t a
congreso	k o N r e s o
consistente	k o ns~ i s t e n t e
cualnan	k u a l
cuartal	k u a r t a l
cuidador	k u i d a d o r
cyclista	ky~ k l i s t a
d	d
dañonan	d a 5 o n a n
debilita	d e b i l i t a
deleita	d e l e i t a
desigualdad	d e s i g w E l d a N a d
desmantela	d e s t e l a
deze	d e z e
discucion	d i s k u k i o n
dive	d i v E
ecosistema	e k o s i s t e m a
educacional	e d u k a c i o n a l
enfaticamente	e n f a t i k a m e n t e
engrandece	g r a n d e k e
entusiasma	e n t u s i a s m a
epicentro	a p C " e l e n t r o
excelencia	" s e l e n C i w a
explosivo	" p l a n u k u b o
festivo	f e S t i b o
file	b i l e
free	f r e
front	f r o n s
frontliners	f r o n t l i n e r
fructifero	f r u k ty~ f e r o
greppel	g r e p p e l
hasiendo	h a s i e n d o
heridanan	h e r i d a n a n
hobby	h o b b i e
imparcial	i m p i r i a l
inauguracion	i n a u g u r a i o n
indicadornan	i n d i k a d o r n a n
indirectamente	i n d i r E C t a m e n t e
inspecciona	s p E kh~ a m e* i o n a
interumpi	i n t E r u m p i
inventario	i n f e n t a r i o
invisibel	i n i s i b e l
joyas	j o y a s
kaba	k a b a
komo	k o m o
lastimamente	l a s t i m a m e n t e
logistica	l o g i S t i k a
logistico	l o g i S t  o
maestra	m a e s t r a
mancha	m a n C a
manifestacionnan	n i f e s t a k i o n n a n
manifiesto	n i f i e s t o
minuutnan	m i n u t n a n
misterio	m i s t E r i o
mondmasker	m o n d a s k a r
moringa	m o r i Ng~ a
multiple	l t e p l e
natacion	n a t a i o n
neglisha	n e g l i S a
nervioso	n e r i o s o
notando	n o t t a n d o
obligatoriamente	o b l a i g a t o r e a m e n t e
off	o f
opinionnan	o p i n i o n n a n
oponentenan	o p o n e n t e n a n
oportuno	L o k t u n o
organisacionan	u r g a n i s a k i o n a n
pacifico	p a k   o
pagara	p a g a r a
parkeo	p i 7 o
patientnan	p a t i E n t n a n
pedofilnan	p e 8 r o f u k a C n a n
perdiendo	p e r d i e n d o
pianan	p y a n a n
pico	p i k o
pilarnan	p i l a r n a n
plaats	p l a y i a c
probecho	p l o b e T h o
procesverbaal	p r o k e s e r b a l
proclama	p r o k l a m a
pura	p i r a
puro	p u r o
reactivacion	r e a k t i v a i o n
recobra	r E c o b r a
recompensa	r E c o m p e s a
reenforsa	h r e n h s a
reglamentonan	r e g l a m e n t o n a n
rekesito	r e k e s i t o
remarcabel	r E m a r k a b e l
responsabilisa	r e s p o i r a r u w i l i s a
restante	r e s t a n t e
restonan	r e s t o n a n
retene	r e t e n e
selecciona	s e l e k i o n a
short	S o r
sintonisa	s i n t o n i s a
slow	s l o
speedboat	s p e u t o n a a t
sunu	s u n u
supla	s u p l a
taira	t a i r a
tardando	t a r d a n d o
taskforce	t a s k h r e
tecnica	t e k n i k a
thee	3 th~ i
tilda	t i l d a
tragedia	tr~ a g e d i a
tribi	t r i b i
unilateralmente	u n i l a t e r a l m e n t e
util	u t i l
validez	v a l i d e z
variacion	v a r i a i o n
venezolano	f e n e z o r a n o
vitamina	v i t a m 3 n a
windshield	w i d S i e l
yuinan	y u i n a n
Abraham	b r a h a m
Acaso	k a s o
Andre	n d r e
Andrew	n d r E f
Animal	n i m a l
AruBIG	r u
Banconan	5 u k a o n a n
Benchi	i n C i h
Bill	i l
Bisiñanan	i s i 5 a
Bloomberg	l o m b a rx~
Board	o a r d
Calidad	a l i d a d
Cannabis	a n n a b i s
Caribisch	a r i b i S
Carolina	a r o l i n a
Comerciantenan	e r i a n t e n a n
Comite	o m i t e
Compania	p a n i a
Computer	i m p u t e r
Cuna	u n a
Dado	y i
Dengue	g w e
Dijkhoff	g i y o f
Douaneronan	o u a n e r o n a n
Droga	r o g a
Duarte	u a r t e
Elements	l E m E nt~ u
Emanstraat	s t r a t
Encuanto	n kw~ a n t o
Escolar	s k o l a r
Financia	s a m a i a
Fontein	o t a i n
Frances	r a n C i m 3 s
Frere	r e r e
Futura	u t u r a
Garcia	a r i a
Garden	a r d e n
Gemeente	e m e n t e
Gradus	r a d u s
Great	r e a t
Halloween	o l  w e n
High	i t
Iglesia	g l e s i a
Integriteit	t e g r i t a i
Jeep	e 3 p
Jucuri	u k u r i
Kerstboomlandia	e r Sx~ b o m l a n d i a
Kisas	i s a s
Kralendijk	r a l e n d i j
Kwartaal	w a r t a l
LaSorte	a o r t e
Lanta	a n t a
Little	i t
Mabon	a b o n
Mall	o l
Marchena	r x e n a
Mercado	i l a y
Molina	o l i n a
Movimiento	o v i m i e n t o
Muher	u h e r
Number	u mb~ e r
Nunes	u n i
Paramedico	a r a m e d i k o
Pashentnan	a s u N t n a n
Patrick	a t i cy~
Pelican	e l i k a n
Percura	e r k u r a
Peterson	e t e r o*
Presente	r e s e n t e
Preto	r e t o
Problemanan	r o b l 3 m a n a
RAiZ	i
Red	3 d
Relacionista	e l a c i o n i S th~ a
Ruso	u s o
Samenscholingsverbod	a m e s C o l i N s e r b o d
Sostenemi	o s t i n i m i
Speransa	p e r i s a
Testnan	e s t n a n
Thomas	h o m a s
Tico	i S
Turibana	u r b a n a
Wak	a k
Winklaar	m l a r
Zoom	o m
adaptacionnan	a d a p t a i o* n a n
annual	a n a l
aplauso	a p l a y i u s o
argumentonan	a r g u m e n t o n a n
aruba	a r u b a
autismo	a u t i s m o
auxiliar	 i l i a r
beyesa	b e y 3 s a
bieuw	a w e n
bisabo	b i s a b o
budget	b u d k
buelta	b u e l t a
cadenanan	k a d e n a n a n
camanan	k a m a n a
careteranan	k a r e t e r a n a n
centenares	C E n t e n a r e
chat	C a t
ciruhano	l a
clasico	k l a s i k o
clip	k l i p
conrector	r o n r E C t o r
controle	r o n t r o l e
cordialidad	k o r dy~ a l i d a d
coremento	k o r E m E n t o
correcto	k o r e k t o
database	d a t a b a s e
debit	d e b i t
decoracion	d e k o r a i o n
decreta	d e 7 r e t a
derota	d e r o t a
discrepancia	d i s k r e p a n C i a
discrimina	d i s k l i m i n a
dispensacion	d i 8 p e n e ty~ sw~ i o n
do	d o
domino	b i*
donacionnan	d o n a g a o* n a n
economianan	e k o n o m i a n a n
elo	e l o
embahada	e m b a h a d a
emplea	3 mp~ l e a
encabesa	e n k a b e s a
encuestanan	e n kw~ e s t a n a n
endemico	e n d e m i  o
enfermero	e n f e r m e r o
envolvimento	e n v o l g o y e n t o
equiponan	e k i p o n a n
estafa	e s t a f a n a
evidente	p i r i d e n t e
exigiendo	" i g i e n d o
experencianan	" p e r e n C i w a n a n
fantasma	f a nt~ a s m a
favor	f a v o r
formato	f o r m a t o
formulanan	f o r m u l a n a n
friu	f r i u
ganado	g a n a d o
gigantesco	g i g a nt~ L w E  o
good	g o d
gracia	b o ch~ i a
grato	g r a t o
habitat	h a b i t a t
haf	h a f
hanja	h a n j a
huiswerk	w i S w e r
ilegalidad	i l a  l i d a d
individualmente	i n d i v i d u a l m e n t e
informal	i n f o r m a l
iniciativanan	i n i C y a t i v a n a n
input	i n p u t
insigur	s i g u r
insiguridad	s i g u r i d a d
institucionnan	s t i t u i o* n a n
instructor	s t r u k t o r
interaccion	i n t E r a k i o n
international	i n t E r n a t i o n a l
ja	y a
karentena	k a r e n t e n a
klasse	k l a s s e
laborando	l a b o r a n d o
lantamento	l a nt~ a e n t o
legitimo	l E g i t i m o
lineanan	l i n e a n a n
liñanan	l i 5 a
lobby	l o b b i e
mala	m a l a
marcanan	m a* r k a n a n
market	m a* r k e t
masal	m a s a l
medicamento	m e d i k a m e n t o
menornan	m E n o r n a n
mensualmente	m E n s u a l m e n t e
mini	m i n i
mobil	m o b i l
mortalidad	m o r t a l i d a d
movimento	m o v i m e n t o
natal	n a t a l
navega	n a b e g a
neishi	n e i S i
network	n e t w o r
nr	n r
observacionnan	o b e r v a i o* n a n
omo	o m o
onderwijs	d i n w i j
parecido	p e r E c i d o
patruyahe	p a t r u y a e
pena	p e n a
perhudicando	p e r u d i k a n d o
pleita	p l e i t a
poko	p o k o
porshento	p o r S e n t o
precisamente	p r E c i s a m i n t e
premie	p r e m i e
procedimento	p r o k  m e n t o
profila	p r o f i l a
prominente	p r o m i n e n t e
proteina	p r o t e i n a
protestanan	p r o t e s t a n a n
rabo	r a b o
raiz	r a i z
rating	r a t i N
recicla	r E c i k l a
recuerdo	r e kw~ e r d o
refleho	r e f l e h o
regionnan	r e g i o n n a n
regulacionnan	r e g u l a k a i o n n a n
rek	r E k
renovacion	r e n o w a i o n
responsabilidadnan	r e s p o i r a r u w i l i d a d n a n
rutina	r u t i n a
samenscholingsverbod	s a m i Th~ C o l i N s e r b o d
sanea	s a n e a
scogi	s k o g i
sende	s e n d e
service	s e r v i k e
skol	s k i
soborno	s o b o r n o
sobrepasa	s o b r e p a s a
soledad	s o l e d a d
sondea	s o n d e a
statuto	s t a t u t o
stem	s t e m
suv	s u
tabel	t a b e l
tenso	t e s o
tipico	C o* a* o
toxico	t o n  o
viahero	v i a h e r o
vigilando	v i g i l a n d o
wave	w a b e
whatsapp	wh~ E a c a p p
yudabo	y u d a b o
yui	y u i
Armando	r m a n d o
Asia	s i a
BaluArte	a l u r t e
Biemans	i e
Bingo	i Ng~ o
Boliviastraat	o l i v i a s t r a t
Boston	o s t o n
Britanico	r i t a n i k o
Brown	r o w n
Buena	u e n a
Café	a f e
Cali	a l i
Candela	a n d e l a
Casibari	a s i bh~ a r i
Centre	e n t r e
Chef	h e f
Chief	hy~ e f
Cierto	i e r t o
Colony	o l o n
Consensus	o* s u s
Constantemente	o s t a n t E m E n t e
Contabilidad	o* t a b i l i d a d
Corupcion	u r b i o n
Cumbre	u mb~ r e
Dentista	e n t i s t a
Dump	u m p a
Economische	r o n o m i s C e
Entrega	t r e g a
Ernesto	r n e s t o
Eugene	t u g e n e
Faro	a r o
Financien	i n a n C y e n
Frido	r i d o
Futbol	u t b o l
Gezaghebber	e c a G b a s k
Goedhoop	o e d o o p
Gumbs	u mb~
Heights	e i t
Helpdesk	e l p b u r
Higiena	i g i e n a
Inn	n n
Insurance	s u r a n C i e
Irani	r a n i
Jairzinho	a i r 5 h o
Jordan	u r d a n
Jorge	u r g e
Koningstraat	q o n i N s t r a t
Korps	u r p
Legislation	g i s l a t i o n 3
Lidernan	d E a n a n
Life	f e
Medical	e d i k a l
Meiveld	a i  E l d u r
Mimi	i m i
Minimarket	i n i m a r k e t
Naturalisacion	a t u r a l i s a k i o n
Night	i t
Nort	u r
Odillia	d i l l i a
Olsen	l e n
Patruyanan	a t r u y a n a n
Pereira	e r e i r a
Pesca	e s k a
Pesei	e s e i
Poets	o e c
Port	u r
Preguntanan	r e g u n t a n a n
Prinses	r i n e
Probablemente	r o b a b l E m E n t e
Program	r o g r a m
Psicologo	s i k o l o g o
Realidad	e a l i d a d
Registracion	g i s t r a i o n
Rene	e n e
Rep	3 p
Reposicionando	a p o s i i o n a n d o
Rodenburg	o d e nb~ u r
Rolando	o l a n d o
Ruyter	u 3 t e r
Schloss	C l o s
Scientology	C y e n t o l o Z
Sustainable	u s t a i n a b l e
Tapaboca	a p a b o k a
Telecomunicacion	e l e k o m u n i C i i o n
Teller	e l l e r
Temporada	e m p o r a d a
Trafico	r a f i k o
Traveler	r a v e l e r
Uzi	z i
Villas	i l l a
Virgin	i r g i n
Vitamina	i t a m 3 n a
Zeewijk	e w i j
agencianan	y i n C i w a n a n
agradable	a g r a d a b l e
ambicioso	a m b i i o s o
anota	a n o t a
argumenta	a r g u m e nt~ a
asfalt	a s f a l t a s
asientonan	a s e i n t o n a n
asocia	a s o* k i a
awenochi	a w e n o C i
balanza	b a l a n c a
bariga	b a r i g a
baña	b a 5 a
beschikking	b e s C i k i N
bloki	b l o k i
briya	b r i y a
bulando	b u l a d o
bulto	b u l t o
business	s i n e s
cahanan	k a h a n a n
cantidadnan	k a n t i d a d n a n
caranan	k a r a n a n
caritativo	k a r i t a t i b o
carteranan	k i t E r a n a n
carton	k i t o n
casamento	k a s a m i n t o
casualidad	k a s u a l i d a d
catolico	k a t o l i k o
cedula	C E d u l a
charlanan	C a l a n a n
cierre	C y e r
comandante	k o m a n d a n t e
combustible	k o m b u s t i b l e
comestibles	k o m e s t i b l e
comisionnan	k o m i s i o n n a n
compilacion	k o m p i l a i o n
componentenan	k o m p o n e n t e n a n
concientisa	r o n C y e n t i s a
constant	k o s t a nt~
constructivo	k o s t r u k t i b o
contrata	r o n tr~ a t a
coperacion	k o p e r a i o n
crash	k r a S
credit	k r e d i t
creencia	k h r e n C i w a
cultiva	k u l t i v a
cup	k u p
custumbernan	k u s t u* b E a n a n
deliberadamente	d e l i b e r a d a m e n t e
demonstra	d e m o* s t r a
descansa	d e s k a s a
desinfectante	d e s i n f k t a n t e
dibiaha	d i b i a h a
dibo	d i b o
dictatorial	d i k t a t o r i a l
dimension	d i * ns~ i o n
dividendo	d i v i d e n d o
double	t o u b l e
edadnan	e d a d n a n
eficaz	e f i C i
embahador	e m b a h a d o r
emision	e m i s i o n
entregamento	e n t r e g a m e n t o
entregando	e n t r e g a n d o
entrena	e n t r e n a
envelope	e n v e l o v e l o p e
evacua	p i r a g u a
exclusivamente	" k l u s i w a* m e n t e
excluyendo	" k l u y e n d o
experienciando	" p e r i n C i w a n d o
facultad	f a k u l t a d
fake	f a k e
favorito	f a v o r i t o
felis	f e l i s
filosofia	b i l o s o f i a
findishi	f i n d i S i
florece	f l o r e k e
formalmente	f o r m a l m e n t e
foyeto	f o e t o
give	g i v E
grandura	g r a d u r a
hancho	h a n C i o 7
hera	h e r a
hobencita	h o b i n C i w a
hospeda	h o s p e d a
hulp	h u l p
hòmber	h o mb~ e r
ilegalmente	i l a  l m e n t e
iluminacion	i l u m i n a g a o n
impeachment	i m p e a C m E n t
implementando	i m p l E m E n t a n d o
imposible	i m p o s i b l e
impresionante	i m p r e s i o n a n t e
impulso	i m p u l s o
indicenan	i n d i C E n a n
informenan	i n h m E n a n
ingresonan	i N X i e s o n a n
innecesariamente	i n d e* k a* b e s a r i a m e n t e
inspector	s p E kh~ a m e* t o r
integra	i n t e g r a
intensidad	i n t e s i d a d
invadi	i n v a d i
jet	h e t
lancer	l a n C E r
landsverordening	l a n d s e r o r d e n i N
loteria	l o t e r i a
mascotanan	s k o t a n a n
mencion	m E n C i w o n
mentornan	m e n t o r n a n
mexicano	m e S i k a
ministerionan	m i n i S t E r i o n a n
miyonario	m i o n a r i o
mondmask	m o n d a s k
motorcycle	m u t u r Ty~ k l e
municipio	m u n i C i p i o i
nubia	n u b i a
onderzoek	d i n t k
opositornan	o p o s i t o r n a n
optimalisa	a t i m a l i s a
opvang	o p v a N
pakiko	k i k o
piedad	p i e d a d
plantamento	p l a a nt~ a e n t o
poesia	p o e s i a
porcierto	p o r i e r t o
positivamente	p o s i t i v a m e n t e
prestigioso	p r e s t i g i o s o
print	p r i nt~
propagacion	p r o p a g a i o n
radical	r a d i k a l
rebelde	r e b e l d e
rectifica	r E c   k a
recuri	r E C u r i
referencia	r e f e r e n C i w a
refinerianan	r e f i n e r i a n a n
rehabilita	r e h a b i l i t a
remedia	r E m E d i a
reportahe	r e p o r t a e
resolvi	r e s o l w i
sacamento	s a k a m e n t o
sancionnan	s a* i o* n a n
satelite	s a t e l i t e
scirbi	s l b i
sentra	s e n t r a
sexualmente	s e m a l m e n t e
share	S a r e
sindicalista	s i n d i k a l i s t a
sintie	s i n t i e
snacks	s n a k k
socialista	s o k i a l i s t a
solidarismo	s o l i d a r i s m o
sondeo	s o n d e o
sonrisa	s o n r i s a
speculacion	s p e k u l a k a i o n
splicando	s p l i k a n d o
stagna	s t a j
stakeholdernan	s t a k e h o l d E a n a n
suceso	s u s e s o
support	s u p p o r
suspension	s u 8 p e n e ty~ s i o n
tanta	t a n t a
tatanan	t a t a n a n
telefonicamente	t e l e f o n i k a m e n t e
tellernan	t E l l E a n a n
temporadanan	t e m p o r a d a n a n
tokante	t o k a n t e
tools	t o L
torneo	t o r S o
tos	t o s
tot	t o t
touch	t o u C
transcuri	i t r i s k u r i
transitorio	i t r i s i t o r i o
transmission	i t r i s m i s s i o n
u	u
use	u s e
vangrail	v a n g r a i l
violento	v i o l e n t o
visible	v i s i b l e
west	w e s
winstbelasting	% s t b e l a s t i N
Accent	kh~
Administracion	d m i n i s t r a i o n
All	l o
Antillas	t e l l a
Arubadag	r u b a d a g
Arubig	r u b i g
Autobus	u t o b u s
Awa	w a
Bachelor	a g l o r
Ben	e n
Benjamin	e n c a m i n
Beverage	e e r a g e
Birgen	i r g 3 n
British	r i t i S
Cabesante	a b e s a n t e
Chikungunya	h i k u N u 5 a
Chile	h i l e N
Choller	h o l l e r
Cientificonan	i e n t i f i k o n a n
Clinton	l i n t o n
Coca	o k a
Comerciante	e r i a n t e
Complex	i m p l E 7
Concierto	o C y e r t o
Condé	d e
Conhuntamente	o h u n t a m e n t e
Conservation	o* s e r v a t i o n 3
Cruises	r u z o s
Decision	e T i s i o n
Dor	o r
Dorp	u r p
Doño	w o
Eduardo	d u a r d o
Ehecutivo	h e k u t i b o
Embahada	b a h a d a
Entrevista	t r e i s t a
Envez	n p e m u
Eric	r i k
Financial	s a m a i a l
Financiamento	s a m a e a m e n t o
Financieel	s a m a i e l
Flora	l o r a
Frontera	r o n t E r a
Gina	i n a
Goeloe	o e l u d
Grace	r a k e
Guillermo	u i l e r m o
Gusto	u s t o
Hoek	o k
Hong	o N
Hooyboer	o a* o e r
Horeca	o r e k a
Hub	u b
Idioma	d i o m a
Iniciativa	n i C y a t i v a
Interior	t E r i o r
Jade	a d e
Jetblue	e t bl~ a
Kas	a s
Korpschef	u r p S E f
Lab	a b "
Las	a s
Lighthouse	i t  o u s e
Lisette	i s e t
Marine	a r i n e
Marquez	a r k a
Martinez	i t i n e z
Meteorologico	e t e o r o l o g i k o
MiSVb	i
Migracion	i b o ch~ i o n
Milio	i l i o
Mira	i r a
Monarch	o n a dy~ o
Movies	o v i e
Music	u s i k
Myron	y r o n
Nast	s d a
Nederlandse	p i e d r xy~ E kw~ a nd~ s e
Network	e t w o r
Nightclub	i t  k l u b "
Orde	r d e
Orlando	r l a n d o
Pacifico	a k   o
Paraguana	a r a g u a n a
Paris	a r i s
Participacion	i t i k i p a k i o n
Pasa	a s a
Pecho	e T h o
Pelea	e l e a
Penha	n h a
Petronia	a t 3 r o n i y a
Plus	l u s
Posiblemente	o s i b l E m E n t e
Positivo	o s i t i b o
Programa	r o g r a m a
Project	t o n o x e k s
Pronk	r o n
Punta	u n t a
Quality	u a ty~ e
Quant	u a nt~
Rampen	a m p e n
Rapportnan	a p p o r t n a n
Rescue	e s k u e
Rodriguez	o d r i g e z
Sacrificio	a k  i o
Scan	k a n
Seis	e i s
Seyo	e y o
South	o u c
Surnam	u r n a m
Theater	h e a t e r
Thru	h r u
Travel	r a v e l
Wernet	E r n
Wil	i l
Wilhelminastraat	i l h e l m i n a s t r a t
abilidadnan	a b i l i d a d n a n
aceptacion	a k e p t a i o n
acreditacion	a k r e d i t a i o n
adecuadamente	a d e kw~ a d a m e n t e
agilisa	y i l i s a
ahustacion	a h u s t a k i o n
alentador	a l e n t a d o r
analiza	a n a l i c a
ancianonan	5 u k a i a n o n a n
anhela	a n e l a
artesania	i t e s a n i a
asbesto	a s b e s t o
asegura	a s e g u r a
asesina	a s e s i n a
ataka	a t a k a
auditoria	a u d i t o r i a
averigua	E b e r i g u a
bakinan	b a k i n a n
bandanan	b a n d a n a n
barancanan	b a r 3 n k a n a n
batayon	b a t a y u n
beleid	b e l e i d
beyeza	b e y e r a
bisami	b i s a m i
brabo	b r a b o
bruin	b r u i n
buffer	f f e r
campa	k a m p a
cantantenan	k a nt~ a n t e n a n
cashi	k a S i
categorisa	k a t e g o r i s a
censo	C E s o
censura	C E s u r a
ciclon	C i w C i l o n
cobrando	k o b r a n d o
comunitario	k o m u n i t a r i o
conceptonan	r o n C i e p t o n a n
concretisa	r o n C i r e t i s a
conocir	r o n o k i r
contempla	r o n t 3 mp~ l a
conteniendo	r o n e n d o
contractonan	r o n tr~ a k t o n a n
corantnan	k o r a nt~ n a n
coro	k o r o
cumbini	k u mb~ i n i
daggeldvergoeding	d a x g e l d e r g o i N
dental	d e n t a l
depresivo	d e p r e s i b o
desconecta	d e s k o n e k t a
difamacion	d i f a m a c i o n
directivanan	d i r E C t i v a n a n
disco	d i s k o
distingui	d i s t i N gw~ i s
districtonan	d i s t r i C t o n a n
disturbio	d i s t u r b i E o
diversidad	d i e r i d a d
diverso	d i e r s o
divorcio	d i v o r i o
donante	d o n a n t e
dosnan	d o s n a n
edicionnan	p i e d w C i w r o* n a n
educador	e d u k a d o r
elegi	e l e g i
emocionnan	e m o i o* n a n
enrikece	e n X i t t a u 8 o k a
er	e r
erfpacht	e r f p a X t
eventual	p i r 3 n t u a l
evitando	p i r i t a n d o
