ve 	v e
höyük	h o p m v 3
ilgisiz	i l g i s i z
inanılıyor	n  l 3 k n i o z i
inorganik	i n o r g a n i k
insanlı	s a* l 3 k
isimlendirilmiştir	i s i m l e n d i r i l m i S t i r
izotop	i z o t o p
içeriğin	i e r i X i n
işletmelerin	i S l e t m e l e r i n
işletmeye	i S l e t m e y e
kamerası	k a m E r a s k
karşılayacak	k a r S u l a y a k a k
karşılaşmayı	k a r S u l o S m a y u
kazanmışlardır	k t a ly~ o m u S  d 3 r
kendimi	k e n d i m i
kirlilik	l l i l i k
konulmuş	q o n u l m u S
kurumudur	k u r u m u d u r
kuvvetleriyle	k u b e L e r i y l e
kuşatması	k u S a t s k
köpekleri	k o p e k l e r i
köylüleri	k o u y k e l e r i
kılmıştır	k u l m u S t u r
laboratuvarında	l a b o r a t u b a r u nd~ a
mezarının	m e z a r u n  n
mikroskobik	7 r o s k o b i k
odasının	o d a s u n  n
olunur	o l u n u r
ormana	o r m a n a
ortakları	u r t a q  k
parlamenter	p a l a m e n t e r
parlamentoya	p a l a m e n t o y a
partizan	p e r t i n d r o
piskopos	p i s k o p o s
radyal	r a d y a l
ragbi	r a g b i
rakamına	r a k a m u n a
rakiplerini	r a k i p l e r i n i
resmedilmiştir	r e s m e d i l m i S t i r
ruhlar	r u L a r
rütbesiyle	r i b e s i y l e
sanatçılara	s a n a t u l a r a
savaşını	s a v a S u n
savaşır	s a v a S u r
sebebini	s e b e b i n i
servisleri	s e r i s l e r i
seslendirildi	s e s l e n d i r i l d i
seyircilerin	s e y i r i l e r i n
sunucuları	s u n u k u l a r k
sürdürürken	s 3 o 3 a s r k e n
tanıtır	t o n  t u r
tarihçilerin	t a r i h i l e r i n
tartışmaların	t a r t u S b o i 3 n
tepkime	t e p k i m e
terhis	t E r i r i s
transkripsiyon	i t r i s k r i p s i y o n
turbo	t u r b o
unutulmaz	u n u t u l m o
uygulamasına	u y g u l a m a k u n a
vadinin	v a d i n i n
valiliği	v a l i l i X i
verildiğinde	e r e l d i X i d e
verilmemiştir	e r e l y o g o S t i r
veteriner	f e t e r i n 3 q
yasalara	y a s a l a r a
yasasına	y a s a s u n a
yerleştirilmesi	y e r l e S t i r i l m e s i
yöneliktir	y 3 n e l i k m 3 t i r
yönelimi	y 3 n e l i m i
yönlendirir	y 3 l e n d i r i r
yörüngede	y 3 a s N e d e
yörüngesinde	y 3 a s 3 s i n d e
yükümlü	y 3 k 3 m 3 3
yükün	y 3 k o N
yüzeyler	y 3 z e y l e r
çalışmalardan	o l u S b o i d a n
çalışmasıdır	o l u S s u d 3 r
çarpması	a r p s k
çevirdiği	e i o n X i
çimento	i m e n t o
çıkacağı	u a q a C e o X k
öneriler	n e r e l e r
önerilir	n e r i l i r
Alevi	l e v i
Animasyon	n i m e a o n
Dalga	a l g a
Devletinin	p i r l e t i n i n
Di	i
Division	i v i s i o n
Duvar	u w a r
Düğün	3 X o N
Edmund	d nd~
Esad	s a d
Fevzi	p i r
Gecenin	e T E n i n
Gelibolu	e l i b o l u
Golf	o l f
Gustav	u s t a
Güvenliği	3 f e n l i X i
Habsburg	a j
Haç	a
Kalkolitik	a l k o l i t i k
Karmaşık	a r m o S u
Kemer	E m E r
Korint	u r i nt~
Kömür	o m a r
Lorentz	o r e c
Musevi	u s p i r i
Nijerya	g i y E a y a
Ocağı	k a X k
Patrik	a t r i k
Roland	o l a n d i g
Satış	a t u S
Shakespeare	h a k e 8 p e n e a r e
Slovakya	l o v a k a
System	y s t e m
Sıcaklık	u k a k l 3 k
Tan	a n
Trafik	r a f i k
Venüs	e n 3
Wang	a N
Wars	a r
Yıllarca	u l l a r k a
Zayıf	a y u f
akı	a k k
akışına	a k u S u n a
algılanan	a l k u l a n a n
alınmasının	o l u n s u n  n
anlaşarak	a n l o S a r a
arabasına	a r a b a s u n a
arazisinin	a r a a i n i n
aygıtı	a y g u t k
ayrılığı	a y r u l u X k
ayırarak	a y u r a r a
açıktı	a u k
açılardan	a u l a r d a n
bastı	b a s t k
batısına	b a t u s u n a
belleğe	b e l l e X e
bezi	b e z i
birleşiminden	b 3 r l e S i m i n d e n
blog	b l u
büyüklükteki	b u m v 3 k 3 3 k t e k i
ceket	C E k E m E
civar	i v a r
denildi	d e n i l d i
derinlikte	d e r i n l i k t e
derneği	d E a n 3 X i
değerlendirilmiştir	d e X r xy~ E kw~ e n d i r i l m i S t i r
dikkatlice	d i k k a L i k e
dolaşır	d o l o S u r
durma	d u r m a
durmadan	d u r m a d a n
dönemlerden	d 3 e m l e r d e n
dönüştürme	d 3 3 S t 3 o m e 7
düzenlendiği	d 3 z e n l e n d i X i
düşünüldü	d 3 S i l d 3
elemanlarının	e l e  u n  n
eleyerek	e l e y e r e k
esnaf	e s n a f
eşik	e S i k
faydası	f a y d a s k
gayriresmî	g a 3 r i r e s m e N
gelse	g e l s e
gerçekliğin	g e r e k l i X i n
getirdikleri	g e t e o n l e r i
geçirmez	g  i r m e z
görevlere	g a r E f l e r e
gösterip	g o s t E r i p
hayvanlardan	h a y v a n  d a n
hayırsever	h a y u r s v e r i
hesaplamalar	h e s a p l o m o L a r
heteroseksüel	h e t e r o s e k s 3
hizmetçi	h i z m e t i
hızından	h u s  u nd~ a n
hızıyla	h u s  u y l a
ifadenin	f a d e n i n
ilişkilerinde	i l i S k i l e r i d e
ilkesine	a l k e s i n e
imkânları	i m k 3  k
isme	i s m e
isteksiz	i s t a k i t e
işaretli	i S a r e
kabin	k a b i n
kaleler	k a l e l e r
kapanır	k a p a n  r
kapatma	k a p a t m a n
kaplanmış	k a p a nz~ m u S
kategorisine	k a t e g o r i s i n e
kedisi	k e d i s i
kentleri	k e nt~ l e r i
kesinlik	k e s i n b u C o
kimseler	k i m e l e r
kolon	k o l o n
konağı	q o n i k o X k
konularına	q o n u l a r u n a
kölelerin	k o l e l e r i n
kültürlerde	k 3 l t 3 l e r d e
kırma	k u r m a
kıtlık	k u L u
kıvılcım	k u v u l k u m
lekeler	l E k E m E l e r
limana	l i m a n a
maliyetinin	m a l i y e t i n i n
masaya	m a s a y a
masrafları	s r a f  k
mesafeyi	m e s a f e y i
meslektaşları	S r a  t a S  k
mezarlığı	m e z a X l u x X k
muharebenin	m u h a r e b e n i n
mürekkep	m 3 r e k k 3 p
numarayı	n u m a r a y u
ofisleri	o f i w t a r i
olanaklı	o r a n a k l 3 k
organizma	u r g a n i z m a
organizmalar	u r g a n i z b e r m a l a r
organizmaların	u r g a n i z b o i 3 n
ormanlarla	o r m a n l a l a
otomobilin	k o t o m o b i l i n
oynadılar	o y n a d 3 l a r
oysa	o y s a
paniğe	p a n i X e
paylaşmak	p a y l o S
perdeye	p e r d e y e
performansının	p e r h s u n  n
personelin	p e r s o n e l i n
popülasyon	p o p 3 p i S k o n
potansiyeline	p o t a s i y e l i n e
projelerde	p t o n o x e l e r d e
sakladığı	s a q  a d 3 X k
sanık	s a n
savaşından	s a v a S u nd~ a n
sayfaları	s a y f a l a r k
sayılarının	s a y u l a r u n  n
saçlarını	s a  u n
sektörün	s e h a r o N
semti	s e m t i
silahsız	s i l a 7 s u z
solar	s o l a r
sürecinden	s 3 r E c i n d e n
süresinde	s 3 r e s i n d e
sürmesi	s 3 s a y m 3 s i
sürümünün	s 3 r m 3 i o N
takipçisi	t a k i p i s i
tasarrufu	t a s e r u w u
tasarımın	t a s e r u m 3 n
taşıdığını	t o S u d 3 X u n
taşıyarak	t o S u y a r a
terapi	t e r a p i
tiyatronun	i y a t r o n u n
ulaşamadı	u l o S a m a d 3
ulaşmıştı	u l o S m u S t k
unsurlarını	u n s u r  u n
uyandırdı	u y a n d 3 r d 3
uyarıcı	u y a r u k k
uğraşmak	u X r o S
veto	f e t o
vicdan	v i k d a n
yakınları	y a k u l i  k
yamacında	y a m a k u nd~ a
yapmaz	y a p
yaralanma	y a r a l a n m a
yardımcılığına	y a r d 3 l u l u X u n a
yardımda	y a r d 3 m d a
yasaya	y a s a y a
yaygındı	y a y g u n d 3
yenilenen	y e n i l 3 n e n
yetiştirmiştir	y e t i S t i r m i S t i r
yetkin	y e t k i n
yolcuların	y o l k u l a r 3 n
yöneticilerinin	y 3 n e t i i l e r i n i n
yüzüğü	y 3 z 3 X 3
yığın	y 3 X 3 n
çekilmesine	r l S i n e
çiftlikte	i f i L i k t e
çiftçilik	i f i t i l i k
çizimi	i z i m i
çıkarılabilir	u k a r u l a b i l i r
çırak	u r a
örgü	o r g u
örgüte	o r g i
ülkelerindeki	l k e l e r i n d e k i
ünitesi	i i t e s i
üniversitesidir	i Ng~ e r e n i t e u k a i d i r
üreticisidir	3 r e t i k i s i d i r
İdil	d i l
İsmini	s m i n i
şirketinden	S i r k e t i n d e n
Abdülhamid	b d l a m i d
Aliyev	l i y e v
Amerikalıların	m e r i k o l u l a r 3 n
Atilla	t i l l a
Bakanlık	a k a n l 3 k
Beyliği	b l i X i
Beyoğlu	e y o X l u
Birimi	i r i m i
Broadway	r o a d w a y
Burton	u r t o n
Bölgesinde	o l g 3 s i n d e
Bölgeye	o l g e y e
Cape	a p e
Dayanışma	a y a n  S m a
Döneminde	n e m i n d e
Enstitüsünde	s i p 3 s 3 nd~ e
Hanı	n
Helena	e l e n a
Isı	s k
Joey	N
Karbon	a r b o n
Köse	o s e
Kürtlerin	3 r L e r i n
Kırgızistan	u rx~ u s  s t a n
Manhattan	a n a t t a n
Mağara	o X a r a
Milo	i l o
Müzede	3 z e d e
Note	o t e
Ortaköy	r t e y a m a k
Portakal	u r t a k a l
Pozitif	o z i t i f
Satın	a t 3 n
Service	e r v i k e
So	o
Sydney	y d n i
Vahşi	a h S i
Yahudilik	a h u d i l i k
Yaylası	a y l a s k
Yolculuk	o l k u l u g i t
adalarda	a d a l a r d a
adasına	a d a s u n a
alttaki	a l t a k i
andırır	a n d 3 r u r
aracıdır	a r a k u d 3 r
avantajları	a b a nt~ a  k
başarmıştı	b o S a r m u S t k
başlığıyla	b o S l 3 k X u y l a
belediyeye	b e l e d i y e y e
benimsenmiştir	b e n i m w o m i S t i r
bileşikleri	b i l e S i k l e r i
biti	b i t i
bitince	b i t i n k e
bozdu	b o z d u
buharlı	b u a X l u k
bulunmaya	b u l u n m a y a
büyümesine	b u m v 3 S i n e
cezaları	C E z a l a r k
cisimleri	i b u p l e r i
dağılımını	d o X u l u m u n
dengesiz	d e N e s i z
denklemler	d e Nkw$ l e m l e r
derler	d e r l e r
değiş	d e X i S
değişmesine	d e X i S S i n e
dinlenen	d i n l e n e n
dizisine	d i a i n e
dizüstü	d i z 3 s t u*
dozda	d o z d a
duyusal	d u y u s a l
düzlemi	d 3 z l e m i
edildiğinden	e d i l d i X i n d e n
elendiler	e l e nd~ i l e r
enstitü	e n s i p 3
esaslı	e s a s l 3 k
eserine	e s e r i n e
eskiye	e s k i y e
etkinliklerine	e t k i n l i k l e r i n e
eylül	b l l
festivalde	f e S t i v a l d e
gazeteciler	g a z e t e i l e r
genlerin	g e n l e r i n
granit	g r a n i t
görevlidir	g a r E f l i d i r
güneyine	N n e y i n e
hastalara	h a s t a l a r a
hizmetin	h i z m e t i n
ilacı	i l a k k
imam	i m a m
inci	m a i
insandan	s e z i
işlek	i S r a
kalanların	k a l a n  3 n
kaldırıldığı	k a l d 3 r u l d u X k
kaplanmıştır	k a p a nz~ m u S t u r
karışan	k a r u S
karşılanır	k a r S u l o n  r
kategorize	k a t e g o r i z e
kesimindeki	k e s i m i n d e k i
kilometredir	k i l 3 e t r e d i r
kiraz	k i r a z
kitlelere	k i t l e l e r e
kişiliğini	k i S i l i X i n i
kolordu	k o l o r d u
konulur	q o n u l u r
kralının	k r o l u n  n
krem	k r E m o 7
krize	k r i z e
kurulum	k u r u l u m
köylerine	k o " a s a i n e
limit	l i m i t
listeler	l i s t e l e r
listeleri	l i s t e l e r i
mahallesine	m a h a l l e s i n e
mahkemenin	m a k E m E n i n
malzemelerden	m a l 8 m e l e r d e n
mevkii	m e b k i
mezrası	m e z r a s k
müzakerelere	m 3 z a k e r e l e r e
olmasın	o l s 3 n
ortamdan	u r t a m d a n
oturup	o t u r u p
parazit	p a r a z i t
parlaklığı	p a l a k l 3 k X k
planında	p l a y i n  nd~ a
problemlerin	p l o b l a e m l e r i n
profil	p r o f i l
projesinde	p t o n o x e s i n d e
proteini	p r o t e i n i
rakiplerine	r a k i p l e r i n e
resimlerinde	r E b u p l e r i d e
rolde	r o l d e
rollerini	r o l l e r i n i
sahadan	s a h a d a n
sanayinin	s a n a y i n i n
savunucuları	s a b u n u k u l a r k
sağdan	s o X d a n
sağlandığı	s o X l a n d 3 X k
senato	s e n a t o
sentez	s e n t e z
serveti	s e r b e t i
sevinci	s e v i n k i
seviyelerinde	s e v i y e l e r i d e
sit	s i t
suni	s u n i
sürülmüş	s 3 r l m 3 S
talimat	t a l i m a t
tarımda	t a l u m d a
ufaklı	u f a k l 3 k
uzatıldı	u z a t u l d u
vermeleri	e r m e l e r i
yakaladığı	y a k a l a d 3 X k
yapılarını	y a p u l a r u n
yararlanmak	y a r a r a nz~
yardımları	y a r d 3 m  k
yasaklanmış	y a s a q  m u S
yayımlandığı	y a y u m l a n d 3 X k
yaşamları	y o S a m  k
yenmeyi	e m e y i
yerleşimde	y e r l e S i m d e
yetkilisi	y e t k i l i s i
Ülkü	l k 3
Üye	y e
çalgılar	a l k u l a r
çatışmanın	a t u S m o n  n
çevresinden	u s r e s i n d e n
ögeleri	o g e l e r i
ölmesine	o l S i n e
ölçeği	o l e X i
önlenmesi	n l e n m e s i
öğrenmesi	o X r e n m e s i
öğrenmiş	o X r e n m i S
ünite	i i t e
üzeredir	3 z e r e d i r
Şarkıda	a r k u d a
Age	g e
Alpha	l p a
Bakanlığına	a k a n l 3 k X u n a
Bangladeş	a N l a d e S
Baykal	a y k a l
Binlerce	i n l E r e
Budizm	u d i z m
Cafer	a f e r
Capital	a p i t a l
Geçiş	 i S
Hazırlık	a z u X l u x
Kepler	a p l e r
Kızlar	u s  l a r
Lüksemburg	3 k e m b u l
Mansur	s u r
Marina	a r i n a
Massachusetts	n i a C u s t z u
Men	e n
Molly	o L
Monica	q o n i k a
Moğolistan	o X o l i s t a n
Nilüfer	i l 3 f e r
Page	a g a
Phillips	h i l l i p
Plastik	l a s t i k
Pontus	o t u s
Portekizce	u r d u i z j e
Sabri	a b " r i
Saf	a f
Sigorta	l i m t a
Sport	p o r
Stalingrad	t a l i N X i a d
Sıradan	u r a d a n
Sırasıyla	u r a s u y l a
Taburu	a b u r u
Uzman	z m a n
Venedikliler	e n e d i k l i l e r
Vikipedi	i k i p e d i
Viktor	i k t o r
Voldemort	o l d e m o r
Yurdu	u r d u
Yüzme	3 z m e
adımını	a d 3 m u n
alınırsa	o l u n  s a
artırma	i t u r m a
ayaklar	a y a q
ayrılıkçı	a y r u l u k k
azledildi	a z l e d i l d i
baharında	b a h a r e u nd~ a
bakterilerin	b a k t E r e l e r i n
bakılarak	b a k u l a r a
barınma	b a r u n m a
basketbolcu	b a s k a C b o l k u
basınca	b a s u C a
bayağı	b a y o X k
başlamasını	b a S  s u n
beklentisi	b e k l e n t i s i
bildirmektedir	b i l d i r k  r
bileşenlerin	b i l e S e n l e r i n
bilinmekte	b i l i n k
binalarda	b i n a l a r d a
bireye	b 3 r e y e
birimlerine	b i r i m l e r i n e
bâzı	b o N z k
civarına	i v a r u n a
denecek	d e n i C E k
deyimi	d e y i m i
değiştirilen	d e X i S t i r i l e n
diler	d i l e r
dilindeki	d i l i n d e k i
dinine	d i n i n e
dininin	d i n i n i n
disiplinli	d i s i p l i n l i
dolayısı	d o l a y u s k
doğrular	d o X r u l a r
doğruluğunu	d o X r u l u X u n u
ebedi	e b e d i
eczacılık	e T z a k u l u
elektro	e l e k t r o
engellendi	g e l l e n d i
enkaz	a n y o
etrafta	a t 3 r a f t a
eğrisi	e X r i s i
feet	f e t
fena	f e n a
firmaların	f E i r m a l a r 3 n
folklor	f o l k o r
fotoğrafçılık	f o  X r a f u l u
gelenekler	g e l e n e k l e r
geliştirmeyi	g e l i S t e s a y m 3 i
gerçekçilik	g e r Nw~ i l i k
geçebilir	g  e b i l i r
görmesini	g a r S i n i
görmüştü	g a r m 3 S t u*
görünüş	g a r i 3 S
görüşmesi	g a r 3 S m e s i
gösterici	g o s t E r i C i
gövdenin	g o v d e n i n
gücünde	N k 3 nd~ e
haftalar	a f t a l a r
hasarlı	h a s a X l u k
haziran	t r o n d i r i
hazırlanırken	t r o n d u l o n  r k e n
hükümler	t a 7 i k 3 m l e r
ihale	i h a l e
ikincilik	i k i n k i l i k
ilaçları	i l a  k
ilkeler	a l k e l e r
inandığını	i n a n d 3 X u n
isimlendirilir	i s i m l e n d i r i l i r
işlemek	i S l E m E k
kaldırılmasını	k a l d 3 r u l s u n
kaldırılır	k a l d 3 r u l u r
kazanın	k a r o n  n
kazanırlar	k a r o n  l a r
kaçarlar	k a a l a r
kelimelerinden	k e l i m e l e r i n d e n
kilometrekare	k i l 3 e t r e k a r e
kirliliği	l l i l i X i
komutu	k o m u t u
kurbanların	k u r b a n  3 n
kurulacak	k u r u l a k a a k
lisesi	l i s e s i
maddedir	d e d i r
makamları	m a k a m  k
malın	m o l u n
maymun	m a i m u n
mensuptur	m E n s u p t u r
mücevher	m i k a r e b u r
mühendisler	m 3 h e n w r a r
müzikte	m 3 z i k t e
niçin	n i i n
okumuş	o k u m u S
optimize	a t i m i z e
oranlarını	o r a n  u n
oylarını	o y  u n
parçalarına	p i a l a r u n a
pazarda	p a z a r d a
pozisyona	p o a o n a
prodüktörlüğünü	p r o t 3 h a r 3 3 X i 3
seminerler	s e m i n e r l e r
seyirciler	s e y i r i l e r
sezonlarında	s e z o n l a r u nd~ a
standartlar	s t a n L a r
sözlerin	s o 3 z l e r i n
sözlerinde	s o 3 z l e r i d e
sürümde	s 3 a s l a b
sıcaklığına	s u k a k l 3 k X u n a
sıfatı	s u b o t k
tablosunda	t a b l o s u n d a
takımdır	t a k u m d 3 r
takımlara	t a k u m l a r a
tanımlı	t o n  m l 3 k
tecrübesi	t e k a s b e s i
tedaviye	t e d a v i y e
tepeden	t e p e d e n
tepesine	t e p e s i n e
tutuklanması	t u t u k a nz~ s k
tüysüz	m a n t y s 3
uluslu	u l u s l u
uyaran	u y a r a
uzattı	u z a t k
uçucu	u h u
vardılar	v a r d 3 l a r
vaziyette	v a  e t
videosunda	v i d e o s u n d a
yanları	y a n  k
yapılabilecek	y a p u l a b i l e k k
yapıldıktan	y a p u l d u a
yapılmadan	y a p u l d a n
yararı	y a r a r k
yardımını	y a r d 3 m u n
yarışlarında	y a r u S  u nd~ a
yarışmalarında	y a r u S b o i u nd~ a
yatağında	y a t o X u nd~ a
yayınların	y a y u l i  3 n
yaşının	y o S u n  n
yeteneğinin	y e t e n e X i n i n
yetiştirdiği	y e t i S t 3 r d i X i
yokluğu	y o k l u X u
yolculuğuna	y o l k u l u X u n a
yürürlükte	y 3 a s r 3 3
zekası	z e k a s k
zombi	m a q 3 b i
Çakır	a k u r
Çocukların	o k u k  3 n
çağrılan	o X r u l a n
çivi	i v i
çizgisinin	i z g i s i n i n
çıkartılmıştır	u i t u l m u S t u r
örneğinde	a r tn~ e X i d e
öğrencilerinden	o X m i n C i i l e r i n d e n
ücretleri	i k a r r e t l e r i
İşlem	S l 3 m
Şimdiki	i m d i k i
Şişli	i S
şampiyonasında	S a m p i y o n a s u nd~ a
şeması	S e m a s k
Adem	d E* m
Akın	k 3 n
Ağız	X u z
Band	a n d
Batıda	a t u d a
Bolivya	o l i v y a
Burnu	u r tn~ a
Bütçe	i e
Cadı	a d 3
Cenazesi	e n a z e s i
Cerrahi	e r a h i
Channel	h a n
Direniş	i r e n i S
Enstitü	s i p 3
Eylem	y l 3 m
Gilbert	i l k
Gri	r i
Güncel	i k
Güven	3 b e n
Kangal	a N a l
Kenneth	3 n
Kura	u r a
Kısacası	u s a k a s k
Mesleki	e w t a
Metropoliten	a t 3 r o p o r i t e n
Orkestra	r k e s t r a
Rita	i t a
Servis	e r v i s
Sezen	d e n
Taliban	a l i b a n
Tekstil	e k s t i l
Tenis	e n i s
Town	a u n
Tugay	t u g a y
Wagner	y n 3 q
abone	a b " a
adlarla	a d  l a
ajanları	s u  k
akarsular	a k a r r e p e n a r
akşamları	a k S a m  k
alın	o l u n
azaldığı	t r o l d 3 X k
aşıktır	o S u u r
baskısında	b a s k u s u nd~ a
bazılarıdır	b a z u l a r u d 3 r
başarısızlığı	b o S a r u s u s  l 3 k X k
becerilerini	b e z i r i l e r i n i
belgelenmiştir	b e l g e l e n m i S t i r
bestelenen	b e s t e l e n e n
besteleri	b e s t e l e r i
bini	b i n i
birimini	b i r i m i n i
bulunduğuna	b u l u n d u N X u n a
bulunsa	b u l u n s a
buzullar	b u z u y a r
büyükbaş	b u m v 3 k b o S
cezaevine	C E z E e v i n e
davranışsal	d a b r o n  S s a l
dayısı	d a y a u s k
deforme	d e h m e
depresif	d e p r e s i f
devrin	d e b n i n
dikenli	d i k e n l i
dinleyici	d i n l e y i C i
dönüyor	d 3 3 n i o z i
düzenlediler	d 3 z e n l e d i l e r
edinmek	e d i e g w i t a
efektleri	e f e k L e r i
elastik	e l a s t i k
elemanlar	e l e m a n l a r
elementin	l E l E m E n t i n
etkilerine	e t k i l e r i n e
etkileşimler	e t k i l e S i m l e r
ettirmeye	e t i r m e y e
evlenerek	p i r l e n e r a
eğitimleri	e X i t i m l e r i
fethinden	f e t h i n d e n
formlar	f o r m l a r
frekanslı	f r e k a s l 3 k
galaksinin	g a l a k a h i n
geçirdiğini	g  o n X i n i
girişimiyle	g i r i S i m i y l e
gitmekte	g i t k
görevlendirilmiştir	g a r E f l e n d i r i l m i S t i r
görülürler	g a r l 3 l e r
güneyi	N n e y i
hilal	h i l a l
hukuken	h u k u k e n
hükümdarın	t a 7 i k 3 m d a r 3 n
iktidarını	i k t d a r u n
imzaladığı	i m z a l a d 3 X k
irtibat	i r t i b a t
irtifa	i r t i f a
istemedi	i s t E m E d i
istese	i s t e s
iyonları	i y o r o n  k
içerikler	i e r i k l e r
kaldırıp	k a l d 3 r u p
kameralar	k a m E r a l a r
kanaması	k a n a m a k k
kanatlar	k a n a L a r
kararlarını	k a r a r  u n
karbonat	k a r b o n a t
karşılaşmalar	k a r S u l o S b e r m a l a r
kast	k a s
kaydeder	k a y d e d e r
keyif	k e i f
keşfeden	k e S f e d e n
kodlu	k o t l u
kolonileri	k o l o n i l e r i
konumlarını	q o n u m  u n
konuşurlar	q o n u S u r l a r
kulaklık	k u l a k l 3 k
kullanmaktan	k u l u a nz~ a
kullanımları	k u l l o n  m  k
kulüplerinden	k u l u 3 p l e r i n d e n
kurulduktan	k u r u l d u k t a n
kuşatmadan	k u S a t d a n
kuşkusuz	k u S k u s u
kültürlü	k 3 l t 3 r 3 3
maskesi	s k e s i
mektubunda	k u b u n d a
metinde	m e t i n d e
müzisyeni	m 3 a y e n i
müşteriler	m 3 S t E r e l e r
okullara	o k u y a r a
olmadığının	o l m a d 3 X u n  n
