li 	l i
reklamar	r e k l a m a r
riesaq	e s a q
rikreazzjoni	r i k r E t z y a r o n i
sagrificcju	s a g r  k Sx~ u
semmew	s e m i a
sengħa	s e n g a
sintendi	s i n t e n d i
skur	s k u r u
speċjalizzati	s p e q  z z a t i
spluzjoni	s p % i s j o n i
staqsejna	s t a q sx~ e xe n a
suggeriment	s u m e r i m E n t
tattika	t a t t i k a
tgħallmu	t g a ly~ m u
tiddikjara	t i d i k y a r a
timbru	t i b r u
tinhass	5 a s
titħalla	t i t a ly~ a
twasslu	t w a s l u
tħallew	t a l r e w a
tħallsu	t a ly~ s u
wegħdi	w e g d i
wżati	w a t i
xempju	S 3 mp~ C u
zzomm	z m a q 3 m
Ċeka	e k a
ġibna	N g i b n a
ħdanu	d a n u
ħdimna	d i m n a
Anici	n i C i
Cefai	i f a i
Dante	a n t e
Diga	i k a
Dürer	3 r e r
Education	d u k a t i o n 3
Fidi	i d i
Ghada	x a d a
Ghall	h o l
Ilna	L n a n
Iżjed	h e d
Jehtieg	e h t a o g
March	a r
Oppożizzjoni	p p o i z z y a r o n i
Royal	o y a l
Samuel	a m
Sekondarja	e k o n d a r e j a
Snin	n i n
Support	u p p o r
Tim	i m
Toyota	o y o t a
Verġni	e r N g n i
applikat	a p p l a n t i m a
avventura	a b f e n t u r a
aħdar	a d a r
batut	b a t u t
deskrizzjoni	d e s k r i z z y a r o n i
determinati	d e t e r m i n a t i
dikjarat	d i k y a r a t
diski	d i s k i
dmiru	d m i r u
dominanti	b i n a n t i
drapp	ndr$ u t " p
espost	e s p o s
eżemplari	e mp~ l a r i
fallew	f a l r e w a
ghid	w i d
globalizzata	g l o b a l i z z a t a
għamiltu	g a m i l t u
għażiża	g a i a
għonqu	g o n ky~
haddiem	h a d i e m
hajjitha	h a i t h a
halliel	h a ly~ i
harsa	h a r
iddum	i d a u m
indispensabbli	i n d i 8 p e n e ty~ a b a  bl~ i
innu	i n t u
investimenti	i n v e s t i m e n t i
inzerta	z e r t e
ippreparat	i p p r e p a r a t
issues	i s s u e
iwiegħed	i w i e g 3 d
jammira	y a m m i r a
jaħraq	h a r a q
jfassal	h y 7 a l
jghammar	h x a m m a r
jiggverna	h i m e r n a
jimplimenta	h i m p l i m e nt~ a
jinbiegħ	j i n a
jintalbu	j i n t a l b u
jintrabat	h i t r a b a t
jipprotestaw	h i p p r o t e s t a w
jirrapporta	h i r a p p o r t e
jitwassal	h i t w a s s a l
jqassam	h q a s s a m
kejl	k e y l
kera	k e r a
kkunsidrati	k k u s i d r a t
konsekuttiva	q o n i k e k u t i v a
krudili	k r u d i l i
kunsilliera	k u n i l l i e r a
lokalita	l o  a
maghluqa	m a h L b a
maqbud	m a q b u d
meqjum	m e k j u m
messaggi	m e s  m i
midfuna	d f u n a
migbura	m i g b u r a
misjuba	m i s h u b a
mmens	m k a
mpjieg	p n o x e
naċċetta	n a e t t a
nbeda	n b e d a
niffukaw	n i f u g u
nikbru	n i k o* u
nodfa	n o d a n a
nofsu	n o p s u
nqabad	n q a b a d
nqabdu	n o m a r u w d u
nuża	n u a
nħawi	n a w i
penali	p e n a l i
pjanijiet	ph~ a* e
preġudizzju	p r e X i u d i z z y a r u
qabbad	q a b b a d
qabeż	q a b e
rebbieha	r e b a a
ristoranti	r i S th~ o r a n t i
sallum	y u r t " u m
sidu	s i d u
sottili	s o t l t i l i
sploda	s p l o d a
sports	s p o r c
ssegwi	s g i
stabbiltà	s t a b i k a l t 7
state	s t a t e
tesprimi	t e s p l i m i
tfissirx	t f i s s i r 7
tghidilna	t 3 x  dy~ L n a n
tiflaħ	t i f l a
tizdied	t i z d a i e d
tlestew	L e s t i a
tmexxiet	m e S n e t
tmin	m i n
trabbejt	tr~ mp~  j
tħabbret	t a b o*
ulterjuri	u l t E r h u r i
waqghet	w a k h e t
xxandar	T T a n
zamm	z a m 3 n
zammew	z a m i a
Ċipru	i p r u
Ġeneralment	e n e r a l m E n t
ġarrab	N g a r a b "
Żvilupp	v i l u p p
Agħar	g a r
Always	l w a y
Awstraljana	w s t r a l j a n a
Bologna	o l o g n a
Edukazzjoni	d u k a Z z y a r o n i
Eventwalment	f e n t w a l m E n t
Familji	o m e L i
Franċiżi	r a n i
Ghad	h a
Ghalija	h a l i j a
Godwin	o d w i n
Gonzipn	n z i p n
Gran	r a
Għarab	a r a b
Każ	a
Kiteb	i t e
Komunikazzjoni	n i k a Z z y a r o n i
Lejlet	j l e t
Mitlub	i t l u b "
Stafrace	t a f r a k e
Tanti	a n t i
Trigona	r i g o n a
Wirt	i r
access	a k s e s
applikati	a p p l k a t i
aġir	a X i a r
balla	b a ly~ a
camera	k a m E r a
cittadin	C y t a d i n
della	d e l a
dieta	d i e t a
dizabilità	d i z a b i l i t 7
editur	e d i t u r
effiċjenza	e f i y e n z a
emigraw	e m i g l a w
entità	e n t i t 7
favorevoli	f a v o r e v o l i
fdati	f d a t i
flixkun	f l i S k u n
flushom	f l u s o m
gauge	g a u g e
gholjin	x o l j i n
għidna	g i d n a
għotja	g o th~ a
hijiex	h i j i e 7
hutna	h u t n a
iggib	i m Ch~ o
igorru	i g o r u
iharsu	i e n a s u
illejla	i l l E l a
implimentata	i m p l i m e n t a t a
imprenditorjali	i m p r e n d i t o r q
ingħaqdu	i N a q d u
instema	s t e m a
irnexxielna	i r n " n  n a
irrefera	i r e f e r a
isalvaw	i s a l v a w
ismi	i s m i
ja	y a
jaghmilx	h a n a m i l 7
jagħmilhom	h a n k i m  lx~ o m
jargumentaw	h a r g u m e n t a w
jarmu	h a r m u
jaħsibx	y a s i b 7
jeżistix	h e i s t iT
jghodd	h t o d
jikkawżaw	h i k k a w a w
jinqatlu	j i n q a t l u
jintqal	h i t l u k
jinħtieġ	j i n t i e i
jistħoqqlu	h i s t o k " o l u
jithallew	h i l o r e w a
jithallsu	h i t t a ly~ s u
jiċċaqlaq	j i a q l a q
joholqu	j o  q
jurihom	x u r i h o m
kella	k e y a
kiesaħ	k i 3 s a
kisser	k i s e r
korrispondenza	k o r a  d e n z a
kunsillier	k u n i l l i e r
kuntrattur	k u n t r a t t u r
kunċett	k u n e t
kwota	k w o t a
magħqudin	m a h k i a n
maltija	m a l t i j a
marka	m a* r
mingħandhom	m i N a n d o m
minhekk	h e k
miri	m i r i
mwettqa	e t N g a
nawtiku	n a u t i k u
nbiddlu	n b i d a l u
nghix	N i S
nikkummenta	n i k k u m e nt~ a
nirċievu	n i r i b u
nistqarru	n i S th~ q o m i 7 r u
nsemmix	s e m m i S
offruta	o f k a 7 a n
oriġini	u r i NG~ i n i
patt	p a t
policy	p o l i ky~ o
produtturi	p r o C u t t u r i
qalulhom	q a l u L o m
qalx	q a l 7
rappreżentanza	r a p p h r e n t a n c a
resident	r e s i d e n t
risq	r i s
round	r o u nd~
safi	s a f i
sahqu	s e h e u
segwiti	s e gw~ i t i
sieħbu	s a 5 a u
simboli	s i m b o l 3 N
stilel	s t i l e l
support	s u p p o r
suġġeriment	s u X i x l i m E n t
tattira	t a t t i r a
tinqeda	t i n E d a
tipproduċi	t e p p r o C u i
tiġdid	t i NG~ d i d
tiġix	t i X i a 7
tiżgura	t i g u r a
togħma	t o x m a
unanimu	u n a n i m u
ħaqqhom	a k " o o m
ħtiġijiet	t i X i a h i e t
Anqas	n q o s
Arcisqof	r k m i s k
Assunta	s s u n t a
Betlehem	e t l e h e m
Doreen	o r e n
Ghadu	h a t u
Hotel	o t e l
Jafu	a f u
Joanna	o a b a n n a
Joslin	o s l i n
Kemmuna	e m u n a
Leonardo	e o n a r d o
Naxxar	a T T a r
Padova	a d o v a
Qim	i m
Repubblika	e p u b bl~ i k a
Sede	e d e
Senglea	o N l e a
Sitwazzjoni	t w a z z y a r o n i
Stqarrija	t g o r i j a
Sunday	u n d a y
Titlu	i t l u
Transport	r a s p o r
Villa	i l l a
agħmel	y m e l
allat	o l
animata	a n i m a t a
awtorizzati	a w t o r i z z a t i
aċċettaw	a e t 3
battalja	b a t t a l j a
bikri	b i k r i
cari	k a r i
certifikat	C E r t i i S t i m a
daħħlu	d a l u
delikata	d e l k a t a
dinjità	d i n j i t 7
eqreb	e k r e
esaġerat	e s a x n a
front	f r o n s
genituri	g e n i t u r i
ghalikom	x a l i k o m
ghalqa	x a q a
grajjiet	g r a
gurnalisti	g u r n a l i s t i
għajnejk	g a x n j
għixien	g i S i e n
gżejjer	g e h h e r
hamsa	h a m s a
hruq	h r u k
huti	h u t i
iddedikat	i d a b t i m a
ikanta	i k a r a
impressjonat	i m p r e s cx~ o* n a t
imwaqqaf	i m w a k " o a f
indirettament	i n d i r e t e n t
inhobb	h o b
innovattiv	i n n o w a t t i
insaħħu	s a u
introduċa	i n t r o C u a
investigati	i n v e s t i g a t i
inwettqu	i n w e t k
itir	i t i r
jdaħħlu	n d a l u
jibzghu	h i b z x u
jimmaġina	h i m X i a t u
jintlaqtu	h i t a q t u
jinħadmu	j i n a d m u
jitgawda	h i t kh~ o d a
jitħaddmu	h i t a d m u
jitħajru	h i t a r u
jkellem	h k e l l 3 m
jonqsux	j o n k s u S
jċempel	j e m p e l
kantata	k a n t a t a
karita	k a r i t a
kollhu	q u L u
kompetittiva	m i p e t i t i v a
kompetizzjonijiet	m i p e t i z z y a r o* e
kundizzjonata	k u n d i z z y a r o n a t a
kunfidenza	k u n f i d e n z a
kurżità	k u r i t 7
liebsa	l i e b s a
maghzul	m a gh~ z u l
maqtul	m a q t u l
maqtula	m a q t u l a
maġġuri	m a X i N g u r i
mexxew	m e S " e a
mgħarrfa	N a r a n a
miksub	7 s u b
minhom	h o m
mobile	m o b i l e
money	m o n e y
nassigurak	n a s s i g u r a
ndunaw	d u n a w
negozjant	n e g o z y a nt~
nifhimx	n i f i m 7
ningħaqdu	n i N a q d u
nirringrazzjaw	n i r i N X i l z y a w
nivvota	n i v v o t a
nqatel	n q a t 3
onorat	n o r a t
osservazzjoni	o s e r v a z z y a r o n i
poeti	p o e t i
professjoni	p r o f i S cx~ o* n i
progressiv	p r o g r e s s i
prominenza	p r o m i n e n z a
qniepen	q o n i e p e n
rabtiet	r a b t i e t
reliġjonijiet	r e l i NG~ d s i m e
rettur	r e t t u r
sanitarji	s a n i t a r u
setghetx	s e t g h e t 7
sinifikat	s i n i i S t i m a
snajja	s n a a
sorveljanza	s o r v e l o v e j a n c a
soċjalment	s o x a l m E n t
stili	s t i l i
stilla	s t i l l a
strambi	s t r a m b i
suggetti	s u g g e t i
tan	t a n
taqsimiet	t a q m i e t
tevita	t e b i t a
tingħad	t i N a d
tintbagħat	t i n t b a g a t
tinten	t i n t e n
tistrieħ	t i s t r e n
tittiehed	t i t t i e h e d
tixrob	t e S o b
tmurx	t T a n 7
training	tr~ a i n i N
tħabbat	t a mb~
uza	u z a
vapuri	v a p u r i
viżibbli	v i d i b i k l i
waqfa	w a q a n a
waqqfet	w a k " o f e t
wicchom	w i k C o*
xenarju	f e n a r C u
ġenwina	x l a n u i n a
ġismu	X i a h m u
Ħaddiema	a d i e m a
ħejja	j j a
ħruġ	r u X i
Żied	i e d
żviluppata	v i l u p p a t a
Arċipriet	r i p r i e t
Carabott	a r a b o t t e
Daqs	a q
Delia	e l i a
Franġiskani	r a  i s k a n i
Ghamel	h a m e l
Gieli	i e l i
Gross	r o s
Għajnuna	a x n u n a
Issib	s s i
Kapitlu	a p i t l u
Kurt	u r
Lowell	o w e l o
Nature	a t u r e
Nistghu	i s t 3 x
Pajjiżi	a x i
Peace	e a k e
Ramon	a m o n
Sandra	a n d r a
Socjeta	o k j e t a
Stiefnu	t i e f n u
Temi	e m i
University	n i v e r s i t
Valette	a l e t
Venezja	i n i z y a r m
ambizzjuż	a m b i s z y a r u
aptit	a p t i
assoċjat	n i c a t
bagħtet	b o g e th~
baqgħux	b a q g S
bikrin	b i k n i n
dahhal	d a h a l
deherlu	d e i* l u
dehlin	d e h l i n
dejjaq	d e h a j a q
dettal	d e t a l
difiża	d i f i a
digriet	d i g i r i e t
dovuta	d o b u t a
drastikament	d r E s t i k a m E n t
extra	e S
fejda	f e n u* n d~ a
fizzjali	f i z z y a l i
formola	f o r m o l a
għasfur	g a s f u r
għolla	k o r u
hut	h u t
idejja	d e h a j a
ihobbu	i h o b b u
ikopri	i k i n  r i
impjanti	i m p j a n t i
imprezzabbli	i m p r e z z mp~  l i
indikazzjonijiet	i n d i k a Z z y a r o* e
ingawdu	i N a w d u
inghatat	i N a t a t
inkoraġġanti	i n k o r a N g X i a n t i
intima	i n t i m a
investiti	i n v e s t a t i
inwasslu	i n w a s l u
inżidu	i n i d u
ippruvajt	i p p r u b a
iqattgħu	q a l u k t x u
irrispettivament	i r 8 p e n e t i w a* m E n t
irtira	i r t i r a
ispirazzjoni	i s p i r a z z y a r o n i
istituzzjonali	i s t i t u z z y a r o n a l i
itenni	i t 3 n i
iċċelebra	i e l e b r a
jarax	h a r a
jaħbat	y a b a t
jehles	h e L e
jeħodha	h e o d a
jghidlek	h x i d r a
jikkawża	h i k b u k a w a
jikkonsistu	h i k k o s i s t u
jilghab	h i l gh~ a b "
jindaqqu	h i d a k " o u
jintbagħat	h i t b a g a t
jistabbilixxu	h i s t a b i k a C i T T u
jlaħħaq	h l a a q
jogħġbu	j o g NG~ b u
jħaddem	y a d b
kalibru	k a l i b r u
kanzunetta	k a n z u n e t t a
kkalkulat	k k a l c "
kkonfermaw	k k o* f e r m au
klijent	k l i j E n t
laqtu	l a q t u
maqbuda	m a q b u d a
matulhom	m a tw~  lx~ o m
media	m e d i a
mera	m E r a
nghinu	N h i n u
nnota	a n n o t a
ntemm	t E m
oħt	o t
pagan	p a g a n
pagani	p a h a n i
palk	p a l
pika	p i k a
policies	p o l i C y e
pprovduti	p p r o w d u t i
ppubblika	p p u b bl~ i k a
pur	p u r
qabilha	q a b i L a
qaddes	q a d m 3 s
qassam	q a s s a m
qatra	q a t r a
raġonevoli	r a NG~ o n e v o l i
referee	r e f e r a
responsabli	r e s p o i r a r u w l i
resqin	r e s m u a n
reċenti	h r e n t i
reċiproku	r e i p r o k u
riesqa	e s k a
riskji	r i s k u
rispettat	r i 8 p e n e t
salt	s a l t a s
sapport	s a p p o r
saħħet	s a e t
segwew	s e gw~ o
sparat	s p a r a t
spetturi	s p e t w e N i
spezzjoni	s p e z z y a r o n i
splussiv	s p l u s s i
status	s t a t u s
storks	s t u r X
studjat	s t w a j a t
taljani	t a l j a n i
teknikament	t a k n i k a m E n t
tgħidlu	t g i d l u
tifhmu	t i f hm~ u
tilbes	t i l b e sy~ s
tingħalaq	t i N a l a q
tinnota	t i n n o t a
tirrenja	t i r  h u
tistaw	t i s t a w
tisħaq	t i s a q
tneħħiet	t n e e t
ġenwini	x l a n u i n i
ġudizzju	N g u d i z z y a r u
Ħames	a m e
ħamest	a m e s
ħruq	r u k
żewg	t u
Beland	e l a n d
Bir	i r
Burmarrad	u r m a r a d
Catania	a t a n i a
Cert	e r
Debattista	e b E t  s t a
Eluf	l u f
Fava	a v a
Franġisku	r a  i s k u
Gvernatur	e r n a t u r
Għolja	o l j a
Ibni	b n i
Insemmi	s e m m i
Jeżistu	e i s t u
Jinghad	i N h a
Konferenza	o f e r e n z a
Ktieb	t i e
Marisa	a r i s a
Miller	i l l e r
Pio	i o
Qaluli	a l u l i
Qeghdin	g e i n
Queensland	u e n w a n d i g
Ras	a s
Reno	e n o
Rxoxt	S o g
Social	T i a l
Staqsejtu	t a q sx~ e xe t u
Sultan	u l t 3 n
Tali	a l i
Team	e a m
Tinsiex	s e i 7
Vincenz	m a e n z
Wignacourt	i N n i a k o r
akkwista	a k l a w s t a
andi	a n d i
aġenziji	a x cy~ c i
bankijiet	b a n k e
batew	b a t e w
bażika	b a i k a
bnadar	b n a d a r
centrali	C E n tr~ a l i
deciz	d e i
delitt	d e l i t
direttivi	d i r e t i v i
disgħa	d i s g a
distretti	d i s t r e t i
dnubiethom	d hn~ o i e t o m
fażijiet	f a e
fissa	f i s s a
funzjonijiet	f u n z y o* e
ghamla	x a m l a
ghogbu	x o g b u
hassejt	h a s sx~ e xe
hassu	h a s s u
hsibt	h s i b
imqaddes	i m q a d m 3 s
imwiegħed	i m w i e g 3 d
imwielda	i m w i e l d a
inbid	i n py~ i t
intenzjonat	i n t e n z y o n a t
ippruvaw	i p p r u b a w
iqatta	q a l u k t t a
irnexxieli	i r n " n e l i
irrapporta	i r a p p o r t e
ittieħed	i t i e d
jaghtih	h a n a t i h
jagħtix	h 3 g g t iT
jagħtuha	h 3 g g hy~ a a
jaharbu	y a h a r e b u
jamel	y a m e l
jeżamina	h e a m 3 n a
jghidulna	h x i d u L n a n
jgħammar	h g a m m a r
jgħollu	h g o L u
jikkoabitaw	h i k * a w a b i t a w
jintrema	h i t r e m a
jinzlu	j i n z l u
jirrikjedi	h i r k E d i
jisfrutta	h i s f r u t u a n i
jistqarru	h i s t q o m i 7 r u
jixgħel	h i S N g E l
jiġġeneraw	h i N g N g 3 n 3 q l a w
jiżbalja	h i C i C j a
jkopru	h k o p r u
jogħġbok	j o g X i b o k
jokkupaw	j o k k u p a w
joriġinaw	j o r i X i a n a w
jqanqal	h g o n l u k
komunitarju	m i u n i t a r C u
kontrija	k o nt~ r i j a
konvinzjoni	q o n i k v i n z y o n i
konxja	q o n i k j a
lebsin	l e b s i n
link	l i n
mediċina	m e d i i n a
megħjuna	a w a n h u n a
mgħallem	N a l l 3 m
mhedded	m h e d 3 d
milqugħ	l k
missu	m i s s u
mistura	m i s t u r a
muturi	m u t u r i
mxiet	m n e t
nagħtuh	n a g t u h
nazzjonijiet	n a z z y a r o* e
necessarji	d e* k a* b 3 s a  u
nesprimi	n e s p l i m i
ngħidx	N i d 7
nisparaw	n i s p a l a w
nitilqu	n i t i q
nqisu	n g w i h s u
nsemmux	s e m u S
nsista	s i s t a
nħossuna	n o s s u n a
oggett	o g i g e t
papali	p a p a l i
ppreparati	p p r e p a r a t
qatlu	q a t l u
realistiku	r e a l i s t i k u
ressqet	r e s E
reġistrazzjoni	r E X i a s t r a z z y a r o n i
ridtx	r i d 5
rikonoxxuta	r i k o* T T u t a
ristrutturar	r i s t r u t t u r a r
sabux	s a b u S
saghtejn	s a gh~ b 3  n
sajf	v u f
sajjar	s a a r
salvatagg	s a l v a t a h i
separata	s e p a r a t a
sessjonijiet	s 3 s a d s i m e
sinonimu	s i n o n i m u
skopra	s k o p r a
socjeta	s o Sx~ e t a
sold	s o l
solidarjeta	s o l i d a r o x e t a
sptarijiet	s p t a r e
sqaq	s k a q
ssemmiet	s e m m i e t
stress	s t r e s
tabelli	t a b e l l i
tamel	t a m e l
taraġ	t a r a i
termini	t E r m i n i
tinqasam	t i n q a s a m
tippubblika	t e p p u b bl~ i k a
tirrapporta	t i r a p p o r t e
tiskopri	t i s k o p r i
tlajna	L a x n a
tpattija	t p a t t i j a
tpoġġa	t p o NG~ i a
twaqqa	t w a k " o a
uliedek	l i e d e k
umanitarja	u m a n i t a r j a
vasta	v a s t a
xott	S o t
zar	z a r
Ċiniż	i n i
ċaqliq	a q l i q
ġaladarba	N g a l a d a r b a
ġenb	x b u
ħalq	a l
ħaqq	a k " o
ħarab	a r a b
ħierġa	i e r NG~ a
ħriġna	r i X i n a
ħsejjes	s e j i
żvantaġġ	v a nt~ a i i
Angela	g e l a
Bqajt	q a
Deputati	e p u t a t i
Domestiku	e s t i k u
Edgar	d g a r
Edukattivi	d u k a t t i b i
Felice	e l i k e
Fknk	k n
Gal	a l
Institute	s t i t u t e
Justin	u s t i n
Kate	a t e
Klement	l E m E n t
Kunu	u n u
Pjan	y a n
Rafel	a f
Rudolph	u d o l p
Serracino	e r a c i n o
Sidtna	d t n a
Skola	k o l a n e
Urban	r b a n
ahniex	a h n i e 7
allaħares	o l  a r e
applika	a p p l i k a
arkeoloġiċi	a r k e o l o X i a
assoċjazzjoni	n i c a z z y a r o n i
birdlies	b 3 r d l i e
bnadi	b n a d i
cittadini	C y t a d i n i
class	k l a s
detenzjoni	d e t e n z y o n i
dojoq	d o x o q
draw	d r a w
drawwiet	d r a w v i
eleganti	e l e 7 a n t i
enfasizza	e n f a s i z c a
ezamijiet	d o m e
fabbriki	f a b w i
fadlilna	f a d t o n a
fertili	f e r t i l i
ffinanzjati	f f i n a n z y a t i
fortunat	f o r t u n a t
frażi	f r a i
fundatur	f u nd~ a t u r
għani	g a n i
hrigna	h r i x n a
iddeċidew	i d a i d o
ihallu	i h a L u
imdendel	i l a b nd~
imħejji	i m j u
ineħħi	i n e i
infrastruttura	i n f r a s t r u t t u r a
inqabdu	i n o m a r u w d u
insibuh	s i b u
intix	i n t iT
intrapriżi	i n t r a p r i
irriżulta	i r u l t a
isaħħu	i s a u
izur	i r u r
izzomm	i r m a q 3 m
jagħtuhom	h 3 g g o m
jamministra	y a m i n i s t r a
jassumi	y a s s u m i
jaħtar	h a t a r
jegħleb	h e g l e
jesperjenzaw	h e 8 p e n e r o x e n z a w
jghidlu	h x i d l u
jgħinuhom	h g i n u h o m
jibqaw	h i b q a w
jinfluwenzaw	j i n f l u w e n z a w
jinteressa	h i t E r 3 s a
jirkupra	h i r k u p r a
jirregolaw	h i r e g o l a w
jitfakkar	h i t f a k k a r
jitilghu	h i t i l x u
jitwaħħlu	h i t w o l u
jnissel	h n i 7
jsuq	h s u
jħaddnu	y a d n u
kazin	k a Z
kontemporanja	k o nt~ e m p o r a n j a
kritiċi	k r i t i
kwalifikati	k w a r i i S t i m a
magħluqin	m a L b i n
marida	m a r i d a
miksi	7 s i
mingħajrhom	x e r o m
mingħandu	m i N a n d u
mixi	m i x i
miġbur	m i NG~ w u N g i
mniżżla	m n i l a
monumenti	m o n u m e n t i
mportanza	p o r t a n c a
msejsa	m sx~ e xe s a
nbidlu	n py~ i t l u
nghaddu	N a d d u l
nibtet	n i b e th~
nibza	n i b z a
nippubblikaw	pw~ p u b b l k a w
pacenzja	p a k e n z y a
partiġġana	p e r t i i X i a n a
parzjalment	p i z y a l m E n t
perfetti	p e r f e t i
pozittiv	p o  t i
profondi	p r o f o n d i
prudenti	p r u d e n t i
qbilna	q L n a n
qlub	q l u b "
restawrat	r e s t a w n a
saħħithom	s e i t o m
ssofri	s  r i
stazzjonat	s t a z z y a r o n a t
swar	s w a r
tammetti	t a m e t i
taqbdu	t a q b d u
telgħin	t E l g i n
terfa	t E r f a
tibghat	t i b x a t
tikkompeti	t i k i m p e t i
titjira	t i t i r a
tiġġenera	t i X i x n e r a
tost	t o s
tqassim	t q a s s i m
traduzzjoni	tr~ a d u z z y a r o n i
ttrattati	t tr~ a t t a t i
twassalna	t w a s s a L n a n
units	u n i c
verifika	e r i f i k a
virtwali	v i r tw~ a l i
weħidha	w e i d a
wliedu	w l i e d u
xtaqna	S q l a
ġarrbet	N g a r b e t
Afrikan	f r i k a n
Agostinjani	g o s t i n c a n i
Beppe	a p p e
Betlem	e t l 3 m
Castagna	a s t a j
Centrali	e n t r a l i
Dipartiment	i p i t i m E n t
Divin	i v i n
Fatt	a t
Fattur	a t t u r
Franica	r a n i k a
Halli	o l
Inħossni	n o s s a n i l
Kardinal	a r d i n a l
Kmieni	m i e n i
Knejjes	n e i
Kwalunkwe	w a l u h
Lill	i l
Louise	o u i s e
Margaret	a r N a r e t
Massa	n i a
Mediterranja	e d i t e r a n j a
Mercer	e r 5 i r a t
Miss	i s
Nammetti	a m e t i
Nieħdu	i e d u
Nistennew	i s t e i a
Nofs	o f
Notte	o t t e
Paule	a u l e
Plan	l a n
Rjali	y a l i
Roger	o g e r
Romano	a m i a s a
Ronnie	o n i e
Timotju	i m o t C u
Twanny	w a n 5
Twieled	w i e l e d
Vilhena	i l h e n a
Welfare	i x t o a a r e
Zmien	m i e n
applikanti	a p p l k a n t i
arterjali	i t E r q
avvanzata	a b v a n z a t a
awtomatiku	a w t o m a t i k u
biki	b i k i
bnin	b n i n
budget	b u d k
ddahhal	d d a h a l
dejqa	d e h a N g a
dinamiku	d i n a m i k u
distanza	d i s t a n c a
distinta	d i s t i t a
esebiti	e s e b i t i
ezattament	d a t t a m E n t
fabbrika	f a b o* i k a
faraġ	f a r i i
fergħa	f e r g a
feruti	f e r u t i
festival	f e S t i w a l
fid	f i d
filodu	b i l o d u
ghajnejja	x a x n j j a
ghawdex	x a b b 7
għanda	g a n d a
iddikjarat	i d i k y a r a t
idi	i d i
indirett	i n d i r e t
injam	y i n j a m
insomma	s o m a
integrazzjoni	i n t e g r a z z y a r o n i
intilef	i n t i l e f
iqassam	q a l u k 7 a m
irnexxielha	i r n " n e l a
itiru	i t i r u
jiddeciedi	h i d a k 3 r i e d i
jifhmux	h i f hm~ S
jinħassu	j i n 3 s o s u
jippartecipaw	h i p p i t e k i p a w
jirrealizza	h i r  a l i z c a
