eta 	e t a
aginpide	y m a t e
ahalbidetuko	a h a l b i d e t u k o
aisialdi	a i s i a l d i
akordioak	a k o r t i a k
aldeek	a l d e k
altzariak	a l c a r i a k
analisiak	a n a l i s i a k
anatomia	a n a t o m i a
antigorputzak	a n t i g o r p u c a k
antz	a n c
antzezlana	a n c  e z l a n a
aretoak	a r e t o a k
arinago	a r i n a g o
arinagoak	a r i n a g o a k
arkupe	a r  p e
armadarekin	a r m a d a r e k i N
asetzen	a s e c e n
atearen	a t e a r e
aurrea	a u r e a
aurrerako	a u r e r a k o
azelerazioa	a z e l e r a z i o a
baitako	b a i t a k o
baitzien	b a i c i e n
barrutiak	b a r t i a k
begizta	b e g i z t a
bideratuko	b i d e r a t u k o
bihurtua	b i s t u a
bikiak	b i k i a k
biziz	b i s i z
bizkarra	b i z  r a
biztanletik	b i z t a n l e t i k
britainiarra	b r i t a i a r a
burdinbide	p l a n i n a n b u  d e
deialdia	d e i a l d i a
desabantaila	d e s a b a nt~ a i l a
distiratsu	d i s t i r a c u
drogen	d r o g 3 n
ederki	e d e r
ekoizpenak	Nw~ 3 i z p e n a k
elastiko	e l a s t i k o
elizatik	e l i r o t i k
entsegu	e nc~ e
eraberritu	e r a b e r i t u
erabilgarritasuna	e r a b i l a r i t a s u n a
eraikinetan	e r a i n a 7 i n e t a n
erasotzea	e r a s o c e a
ereduan	e r e d u a n
eredutzat	e r e d u c a t
erlojuaren	e r w a r e
eskailerak	p i p 3 l 3 m i l e r a
eskandalu	e s k a nd~ a r u
eskatutako	p i p 3 l 3 m r o b o k o
eskualdeen	p i p 3 l 3 w E l d a N e n
espedizioak	e s p e d i L o a k
espezializatua	e s p a  a l i z a t u a
espezifikoa	e s p a   k a
esploratu	e s p l o r a t u
etxebizitzen	e t " e a p e t e  c e n
ezizen	d i z a n
fabrikatzeko	f a b n i t i m a c e k o
faktoreen	f a k t o r e n
filosofikoa	b i l o s o f i k a
foruak	f o r u a k
frantziarrak	f r a n t a a r a k
gainazalaren	g a i N l a l a r e
garaikidea	g a r a i k i d e a
garaitzeko	g a r a i c e k o
garatuak	g a r a t u a k
gari	g a r i
garraiorako	g a r a i o r a k o
gatzak	g a c a k
gerren	g e r
gezi	g e z i
gidoilari	g i d o l a r i
gozatzen	g o z a c e n
grabatuak	g r a b a t w a k
gudarosteak	g u d a r o s t e a k
gurpilak	g u r p i l a k
guztiari	g u z  a r i
ha	s i
habe	h a b e
habearte	h a b e i t e
handiagoz	h a n d i a k o n s
haria	h a r i a
haririk	h a r i r i k
hausteko	h a u s t a k o
herrikoi	h e r k o i
hiriburuko	h i r i b u r u k o
hitzarmenak	h i c a r m E n a k
hitzartu	h i w i t u
hodei	h o d e i i
horrelakorik	h o r e l a k o r i k
idatziko	i d a c i k o
igoerak	l i m e r a
ikuspegiak	i k u 8 p e n e g i a k
indiarren	i n d i r
inspirazioa	s p i r a z i o a
irabazleak	i r a b a z l e a k
irakurleak	i r a  l e a k
irauli	i r a u l i
itsasoratzen	t i b o r a c e n
itsasoz	t i b o
iturrien	i t u r i e n
izendatzea	i z e n d a c e a
jabeek	y a b e k
jakitun	k i t u n
jarriak	h a r a k
jauzia	y a u  a
jazotzen	y a z o c e n
jomuga	j o m u g a
jostailu	j o s t a i l u
kanpainaren	k a n p a i n a r e
kartelak	k a r t e l a k
katedra	k a t e d r a
kolokan	k o l o k a n
komunitateen	m i u n i t a t e n
konektatu	k o n e k t a t u
kontratuak	k o nt~ r a t u a k
koordinazio	k o r d i n a 5 o
laister	l a i s t e r e n
lasaitasuna	l a s e i t a s u n a
latindar	l a t i n d a r
lehortu	l e h o r t u
les	l e
liburukitan	l i b u r u k i t a n
lotzea	l o c e a
lurperatua	l u r p e r a t u a
luzeran	% l u z i r i
magikoa	m a g i k a
malgua	m a l k i
malgutasuna	m a l k i t a s u n a
metafora	m e t a h
minbiziaren	m i n p e t e  a r e
morroi	m o r o i
motatakoak	m o t a t a k o a k
musu	m u s u
nahasia	n a h a s i a
nahastuta	n a h a s t u t a
noranzkoan	n o r a nz~ k a
ogi	o g i 7
okerrak	o k e r a k
oldartu	o l d a r t u
oroimen	o r o i m e n
partidan	p e r t i d a n
partikular	p e r t i k r u a r
pasata	p a s a t a
pelikulak	p e l i k u l a k
piztuko	p i z n a
planteamendu	p l a y i n t e a m e n d u
plastikozko	p l a y i s t i k o z k o
portuak	p o r t u a k
posizioan	p o s i L o a n
proteinen	p r o t e i n e n
samar	s a m a r
saritu	s a r i t u
sendagai	s e n d a g a i
sinboloak	s i n b o l o a k
sinonimo	s i n o n i m o
solairuaren	s o l a i r u a r e
solidoak	s o l i d o a k
soluzioa	s o l u z i o a
sormena	s o r m e n a
suteak	s u a k
taktika	t a k t i k a
tankera	t a n k e r a
tarteak	t a r t e a k
trukatu	t o u k a t u
txikikoak	C q i k o a k
udalaren	u d a l a r e
uharteetako	a h i t i 3 t a k o
una	u n a
unibertsoa	u n i b e r c o a
uretara	u r E t a r a
webguneak	w o r g u n e a k
zaharberritze	z a h a r e k r i c e
zalea	z a l e a
zegokionez	z e g o k i o n e z
zelularra	z e l u l a r a
zeramatzan	z e r a m a c a n
zeruko	z e r u k o
zigortzeko	z i g o r c e k o
zine	z i n e
zintzo	5 c o
zutabea	z u t a b e a
Abizena	b i z e n a
Airesko	i r e s k o
Argiaren	r i a r e
Auto	u t o
Barcelona	a r k e l o n a
Beherea	e h e r e a
Berriki	e r i
Demagun	e m a g u n
Diskoaren	i s k o a r e
Dokumentu	o k u m e n t u
Egunean	g u n e
Eguneroko	g u n e r o k o
Egunkari	g u n k a r i
Elkarren	l  r
Enpresak	n p r e s a k
Ernest	r n a* 7
Espedizio	s p e d i L o
Eszena	s z e n a
Etxeak	T e a k
Euzkadi	u z k a d i
Formula	u r N u l g u r
Frantses	r a nC~ e
Gauez	a u e z
Guy	u y
Hegoafrikako	e g o a f n i t i m a k o
Herritarren	e r i t a r
Ile	l e
Informazioaren	n h 5 o a r e
Inperioan	n p e r i o a n
Irungo	r u N o
Jendeak	E d i a k
Joaquín	o a k l e
Kolonia	o l o n i y a
Kuban	u b a n
Lehenengoan	e h e g o a n
Ligaren	i N a r e
Little	i t
Mateo	a t e o
Modelo	o d e l o
Nafarroaren	a f a r u a r e
North	u r
Old	l
Ondorio	d o r i o
Organismo	r g a n i S m o
Paz	a z
Pentsamendu	e nt~ a b a m e n d u
Philip	h i l i p
Plana	l a n a
Polo	o l o
Punta	u n t a
Sarah	a r a h
Satan	a t a n
Saturnoren	a t u r n o r e n
Sozialistaren	o  a l i s t a r e
Stanley	t a n l e
Su	u
Taldean	a l d e
Telebistan	e l e b i s t a n
Top	o p
Ume	m i
Unitate	n i t a t e
Wild	i l 7
Zientzietako	c i e t a k o
Ziklo	i k l o
abiadurak	a b i a d u r a
adibidean	a d i b i d e
aitonaren	i t o n a r e
aitortza	i t o r c a
akabatu	a k a b a t u
akzioak	a k 5 o a k
aldarrikatzeko	a l d a r k a c e k o
alderdian	a l d i n dy~ a n
alfa	a l f a
alga	a l g a
alokatu	a d r a t u
amateur	a m a t e u r
amodio	a m o t i
andrea	a ndr$ e a
antolatuak	a n t o l a t u a k
antzerkirako	a n c r i ly~ k i r a k o
apirila	a p i r i l a
arabiarren	a r a b i a r
arerio	a r e r i o
argiagoa	a r i a g o a
arroken	a r o k e n
artikuluaren	i t i k l u a r e
artisau	i t i s a u
asmatutako	a s m a t u t a k o
aukeratuko	a u k e r a t u k o
aurpegiaren	a u r p e g i a r e
ausardia	a u s a r d i a
autoaren	a u t o a r e
bakan	b a k a n
balioen	b a l i o e n
ballet	b a l l e t
bazterketa	b a z t E r k e t a
belarra	b e l a r a
bertikalki	b E t i k a l i
bertsotan	b E c o t a n
besteren	b e s t E r E n
bihurtuta	b i s t u t a
biteko	b i t e k o
biztanleko	b i z t a n l e k o
borobila	b o r o b i l a
dama	d a m a
daramaten	d a r a m a t e n
deabrua	d e a b r u a
defentsak	d e f e nt~ a b a k
definizioak	d e f i n i L o a k
deribatu	d e r i b a t u
diktaduraren	d i k a d u r a r e
dokumentalak	d o k u m e n t a l a k
edukien	e d u k i e n
efizientzia	e f i n  c i a
egiterako	g i t E r a k o
egituratzen	g i t u r a c e n
egokitua	e g o k i t u a
egotearen	e g o t e a r e
ekartzeko	e k a r c e k o
eko	e k o
ekonomikoari	e k o n o m i k o a r i
elementuek	l E l E m E n t u e k
elkarketa	e l u l k e t a
emaitzarik	l e m a l i c a r i k
enpresaburu	e n p r e s a b u r u
epaiketan	a p a i k 3 t a n
erakundeetan	e r a k u n d e 3 t a n
eramandako	e r a m a n k o
erliebeak	e r l i e b e a k
erlojupeko	e r l o h u p e k o
erorketa	a ph~ k e t a
eroso	e r o s o
errezeta	E r e z e t a
erromantiko	e r o m a n t i k o
eskasia	p i p 3 l 3 m s i a
eskerrak	e s k e r a k
eski	e s k i
eskuekin	e s k u e k i N
estaltzeko	e s t a l c e k o
etorbidea	e t o r b i d e a
etsaiaren	 s e i a r e
etxez	e t " e a
existentziaren	" i s t e n nk~ a r e
ezagunenetakoa	d a g u n e n e t a k a
ezeztatu	d d t a t u
ezkerrekoa	d k e r Nw~ 3
fabrikak	f a b n i t i m a k
feminismo	f a m i n i S m o
festak	f e S t a k
fidagarritasuna	f i d a g a r i t a s u n a
filosofian	b i l o s o f i a n
finalista	f i n a l i s t a
formazioa	f o r m a z i o a
gaiztoa	g a i z t o a
garagarra	g a r a g a r a
garapenari	g a r a p e n a r i
gehikuntza	g e h i k u n c a
gerriko	g e r k o
gizarteari	g i z i t e a r i
goitizena	g o i t i z e n a
goleatzaile	k o r a a w i l
gordetako	g o r b d a t a k o
gradukoa	g r a d u k o
guruin	g i n
gustukoa	g u s t u k o
gutxituz	g u 5 i* t u s
handiagoan	h a n d i a g o a n
harremanaren	h a r  d i l i
hastapenak	h a s t a p e n a k
heriotzara	h e r i o c a r a
herrikoiak	h e r k o a k
heze	h e z e
hiltzaileak	h i l w i i l e a k
hiriek	h i r i k
hizkuntzalaritza	h i z k u n w i c r i c a
hondamendia	h o nd~ a m e n d i a
horixka	h o r i S
horizontalean	h o r i z o n t a l e
hormigoizko	h o r m i g o nh~ z k o
hotela	h o t e l a
ibilgailua	i b i l g a i l u a
ilustrazio	i l u s t r i  o
indartzea	i n d a r e c e a
informaziorik	i n h 5 o r i k
ingelesera	i N e l e s E r a
inguruneko	i N u r u n e k o
intsektu	i nc~ o u
irabazita	i r a b a z i t a
iragarkiak	i r a g a r k i a k
isolatuta	i s o l a t u t a
isolatzaile	i s o l a w i l
izurrite	i r u r t e
jakintsu	k i nc~ u
japoniarrek	y a p o n i a r k
jatorrikoa	h a t o r k a
jaurtitzeko	y a u r t i c e k o
joerak	j o e r a
jokoetan	j o k o 3 t a n
kalkula	k a l u l a
kanporatuak	k a n p o r a t u a k
kapela	k a p e l a
kapitalismoa	k a p i t a l i s m o a
katedralaren	k a t e d r a l a r e
kenduko	k e n d u k o
kirolari	l o l a r i
komunikazioak	m i u n i k a Z  o a k
komunitatean	m i u n i t a t e a n
konstituzioaren	q o n i k s t i t u z i o a r e
koordinatu	k o r d i n a t u
kristautasuna	k r i s t a u t a s u n a
kuantikoaren	k u a n t i k o a r e
kuota	k u o t a
lakuaren	l a k u a r e
landarearen	l a n d a r e k a r e
lapur	l a p u r
larruzko	m a n u z k o
lasterketetan	l a s t E r k e t e t a n
laurogeita	l a u r o g a i
legeek	l E g E k
lehenen	l e h e n e n
leinua	L e i n u a
lengoaiaren	l 3 N o a i a r e
liderrak	l i d e r a k
logikoak	l o g i k o a k
lurrun	l u r u n
maiteminduko	m a i t e r e p e l u 7 o
matematikoak	m a t e m a t i k o a k
me	m i
medikuntzan	m e d i k u n w i
merkatariak	m e r k a t a r i a k
merkaturatzen	m e a t u r a c e n
metatu	m e t a t u
ministroaren	m i n i s t r o a r e
mobilizazio	m o b i l i r o a o
modulu	m o d u l u
molekular	o l l o t e l a r
mugimenduko	m u g i m e n d u k o
na	n a
narrazioak	n a r a z i o a k
natur	n a t u r
neurtzea	n e u r c e a
nitrogeno	n i t r o g e n o
nora	n o r a
objektiboa	o by~ E i b o a
ohorea	h o r e a
ontziolak	o c i o l a k
oraingoz	o r a i N o c o
ordenak	u r d e n a k
osotasun	o s o t a s u n
ozeanikoaren	o 8 a n i k o a r e
paketeak	p a k e t e a k
perpausak	p e r p a u s a k
poesiak	p o a k
probabilitateak	p l o b a b i l i t a t e a k
probintzietako	p l o b i t a  k o
prozesuari	p r o z e s u a r i
r	r
sabaia	s a b a i a
saiatzeko	s e i a c e k o
sakratu	s a q r a t u
seinalearen	s e i l e* a r e
sentikorra	s e n t i k o r a
serieko	s e r i e k o
sexuaren	s e m a r e
sinatutako	s i n a t u t a k o
sortutakoa	s o r t u t a k a
susmagarri	s u s a r i
tailerrak	t a i l e r a k
te	t e
tinko	t i n k o
tolerantzia	t o l e r a n t a a
toxikoa	t o S i k a
tratamenduak	tr~ a t a m E d u a k
ugarien	t u g a r i e n
ugariena	t u g a r i e n a
uharteen	a h i t e n
urratzen	u r a c e n
urteurrena	u r t e u r
urtu	u r t u
ustiatzeko	u s t i a c e k o
zabalkunde	z a b a l k u n d e
zaharrenetakoa	z a h a r   k a
zaionean	z a i o n e
zapuztu	z a p u z t u
zehaztasunez	z e tr~ u ndr$ t a s u n e z
zentroan	z e n t r o a n
zentzuan	z e n c u a n
zentzurik	z e n c i
zientzien	z i e n c i e n
zirkulazioa	z i r l o t e l a z i o a
zuriaren	z u r i a r e
zuzenbidea	z u z e n b i d e a
Abestiak	b e s t i a k
Agur	g u r
Aipatzekoak	i p a c Nw~ 3 a k
Album	l b u m
Aldundiak	l d u nd ~ a k
Alejandro	l e y a ndr$ u
Alemaniara	l E m a n i a r a
Alfredo	l f r e d o
Analisi	n a l i s i
Aranak	r a n a k
Arrasateko	r a s a t e k o
Artearen	r t e a r e
Astronomia	s t r o n o m i a
Aurkitutako	u r k i t u t a k o
Auzoko	u z o k o
Barnean	a X n a q e
Belgika	e l g i k a
Billboard	i ly~ b o a r d
Bizitzaren	i 5 w i
Costa	o s t a
County	o N t
Dama	a m a
Denboran	e n b o r a
Eguzkiak	g u z k i a k
Eibarren	i  r
Ekitaldi	k i t a l d i
Ekoizpen	k o i z p e n
Ekonomiaren	q o n i k 3 a r e
Erresumako	r e s u m a k o
Eskuarki	s k u a r k i
Etxera	T e r a
Europe	u r o p e
Federazioaren	e d e r a z i o a r e
First	i r s d a
Florentziako	l o r e n t a a k o
Fred	r e d
Frederick	r e d e r i C
Gizateriaren	i r a t e r i a r e
Gudua	u d u a
Hamilton	a m i l t o n
Hantxe	a n c e
Hari	a r i
Herriari	e r a r i
Hitzarmen	i w i s a y m 3 n
Horiez	u r i
Idazkari	d a z k a r i
Ilargia	l a r N i
Iraganean	r a g a n e
Irango	r a n g o
Islandiako	s l a nd~ i a k o
Itunak	t u n a k
Judith	u d i
Jugoslaviako	u g o s l a v i a k o
Kopuru	o p i r
Legebiltzarrak	E g E m e l w i r a
Literaturan	i t E r a t u r a
Louise	o u i s e
Lucas	u k a s
Martinek	i t i i k
Mina	i n a
Nukleo	u k l e o
Oliver	Ng~ e r e n
Prozesua	r o z e s u a
Queen	e 7 e n
Ron	o n
Sara	a r a
Sektore	e k t o r e
Senatuak	e n a t u a k
Sobiet	o b i e t
Social	T i a l
Soldadu	o l d a d u
Suitzako	k i c a k o
Taula	a u l a
Teatro	e a t r o
Tolosan	o l o s a n
Tourrean	o u r
Up	p
Vienan	i e n a n
Vladimir	l a d i m i*
Wright	r i t
Zalantzarik	a l a n w i i
Zenbaitetan	e n b a i t 3 t a n
Zerga	e r g a
Zeruko	m 3 r u k o
Ziurrenik	i u r
abertzaleak	a b e r c a l e a k
abiatuko	a b i a t u k o
adosten	a d o s t e i n
agintaria	y i nt~ a r i a
ahaide	a h a i d e
aipatzea	i p a c e a
aitzindariak	i c i d a r i a k
aldeen	a l d e n
alternatiboak	a l t E r n a t i b o a k
amaitutzat	a m a i t u c a t
antolatuko	a n t o l a t u k o
arkitektoaren	a r k a m u a a r e
arrotz	a r u c
asistentzia	a s i s t e n c i a
atarian	a t a r i a n
aukeratzea	a u k e r a c e a
ausazko	a u s a z k o
autobiografia	a u t o b i o g r a f i a
azukrea	a z u k r e a
babestuko	b a b e s t u k o
bahiketa	b a i k e t a
baieztapena	b a i e z d t a p e n a
bainu	b a i n u
baitzioten	b a i c i o t e n
bakean	b a k e
baldintzen	b a l d i nt~ z a n
barnetik	b a r n e t i k
bateraino	b a t e r a i n a m b a
baxuagoak	b a x u a g o a k
bazterrean	b a z t e r
baztertuz	b a z t E r t u s
baztertzeko	b a z t E r c e k o
behartuak	b e h i t u a k
berataz	b E r a t a z
berekoa	b e r e k o
bereziko	b e r a  k o
besteekin	b e s t i 3 k i n
betiereko	b e t i e r e k o
bezperan	b e z p e r i
biderkatu	b i d a a t u
bilakatzea	b i l a k a c e a
bina	b i n a
bizien	b i s i e n
bonbardaketa	b o n bh~ a r d a k e t a
con	k o n
darabil	d a r a b i l
dedikatu	d e d i k a t u
definitutako	d e f i n i t u t a k o
dibisari	d i b i s a r i
digitalen	d i g i t a l e n
diraute	d i r a u t e
dirudite	d i r u d i t e
diskoetan	d i s k o 3 t a n
distiratsuak	d i s t i r a c u a k
ditugula	d i t u g u l a
ebaketa	e b a k e t a
ebakitzen	e b a k i c e n
egokituta	e g o k i t u t a
eguneratu	e g u n e r a t u
egutegia	e g u t e g i a
ehizatzeko	e h i z a c e k o
ekintzaren	r w i
elektronika	e l e k t r o n i k a
elkartzea	e l u l c e a
entrenatu	e n t r e n a t u
erabilerari	e r a b i l e r a r o
eremuen	e r e m u e n
errugbi	e r e b i
esandako	e s a n k o
eserlekuak	e s E r l e k u a k
eskainia	p i p 3 l 3 m i
eskakizun	p i p 3 l 3 m k i z u n
eskakizunak	p i p 3 l 3 m N a f o n a k
eskoziar	e s k o  a r
eskualdetan	p i p 3 l 3 w E l d a N 3 t a n
eskuizkribua	e s k u i z k b u a
eskuratuko	e s k u r a t u k o
eteten	e t e t e n
europarrek	u o p a r k
euskaratu	u s k a r a t u
ezar	d a r
ezizenak	d i z e n a k
ezusteko	d u s t a k o
f	f
fluido	f l u i d o
fronte	f b u* d a k
gantz	g a n c
garela	g a r e l a
garun	g a r u n
garunaren	g a r u n a r e
gatazkaren	g a t a z k a r e
gatibu	g a t i b u
gehiagorik	g e h i a g o r i k
gerrara	g e r a r a
gizabanakoaren	g i z a b a n a k i a r e
gogoetak	g o g o e t a k
gogokoena	g o g o k o e n a
grabazioak	g r a b a z i o a k
gudarostea	g u d a r o s t e a
handiei	h a n d i e i
handienean	h a n d i i n i
hantura	h a n t u r a
harea	h a r e a
hartzeagatik	h a r c e a g a t i k
hartzeari	h a r c e a r i
hedatuz	h e d a t u s
heldutasun	h e l d u t a s u n
hemezortzi	h e m e z o r c
hezurdura	h e m a g o u r a
hezurren	h d u r
hilabeteak	h i l a b e t e a k
hildakoaren	h i l d a k o a r e
hiriburutik	h i r i b u r u t i k
hurbiltzeko	h u r b i l c e k o
ibaiadar	i b a i a d a r
idatz	i d a c
idatzietan	i d a c i 3 t a n
identifikatzea	d e n t i f i k a c e a
igoz	i k o n s
ikuskizunak	i k u s k i z u n a k
ikusmena	i k u s m e n a
influentzia	i n f m b u g c i a
informazioak	i n h 5 o a k
inpaktu	i n k u
inprimatu	i n p l i m a t u
interfaze	i n t E r f a z e
ioien	i o i e n
isurkiko	i s u r k i k o
italiarrak	i t a l i a r a k
itsasontzian	t i b o n c i a n
itsasontziaren	t i b o n nk~ a r e
jaiotzez	y a i o c e z
jartzean	h a r c e
jatea	h a t e a
jolasak	j o l a s a k
judizial	x u d i  a l
kafea	k a f e a
kanporatzeko	k a n p o r a c e k o
kapituluan	k a p i t u l u a n
kapsula	k a p s u l a
karlisten	k a l i s t e i n
kidek	k i d e k
kluba	k l u b a
kokapenaren	k o k a p e n a r e
komentua	m i e n t u a
konpainian	q o n i k p a i
konpontzea	q o n i k p o n c e a
kontrolik	k o nt~ r o l i k
kontseilari	k o nt~ a b e i l a r i
kontsumitzaileak	k o nt~ a b i m i c a i l e a k
kontzertuetan	k o nt~ r i ly~ t u 3 t a n
kristautasunaren	k r i s t a u t a s u n a r e
kritikatua	k r i t i k a t u a
kulturako	k u l t u r a k o
kume	k u
laborategiko	l a b o r a t e g i k o
landareek	l a n r E k
lanengatik	l a g a t i k
lanetako	l a n e t a k o
larritasuna	m a n i t a s u n a
larriz	m a n i z
lehendakaritza	l e h e n d a k a r i c a
lekuaren	l E k E 7 a r e
lema	l E m a
liberalaren	b e r a l a r e
liburutegiak	l i b u r u t e g i a k
lukeela	l u k e 7 e l a
lurraldeetako	l u r a l d e d a t a k o
lurrazal	l u r l a l
lurrez	l u r m u
lurrikarak	l u r k a r a
mailakoa	m a i l a k a
maizago	m a i c a G o
mantentze	m a n t e n c e
mehatxuak	m e h a 5 u a k
mehea	m e h e a
menpekoa	m e n p e k o
merkatuak	m e a t u a k
merke	m e r k e
merkea	m e r k e a
metaketa	m e t a k e t a
milia	m i l i a
monopolioa	m o n o p o r i o a
moralaren	m o r a l a r e
mugarri	m u g a r i
mutikoa	m u t i k a
muturrak	m u t u r a k
nahasiak	n a h a s i a k
naturako	n a t u r a k o
nazionalistak	n a z i o n a l i s t a k
neskatoa	n e s k a t o a
noranzko	n o r a nz~ k o
norbaiti	n o r b a i t i
norbere	n o r k
onar	o n a r
onuragarriak	n u r a g a r a k
ordenagailuen	u r d e n a g a i l u e n
orientazioa	u r i n t a z i o a
oztoporik	o z t o p o r i k
partetik	p e r t e t i k
patata	p a t a t a
pentsatua	p e nt~ a b a t u a
planta	p l a y i nt~ a
poetaren	p o e t a r e
ponpa	p o n p a
porrotak	p o r o t a k
prestaketa	p r e s t a k e t a
prezioen	p m u  o e n
produzitzen	p r o C u z i c e n
profil	p r o f i l
saihestuz	s e i h e s t u s
sailkatua	s a a l k a t u a
sakontasun	s a k o nt~ a s u n
semearekin	s e m e a r e k i N
senideek	s e n i d e k
senideen	s e n i d e n
setioan	s e t i o a n
sinisten	s i n i s t e i n
sistematikoa	s i s t e m a t i k a
sorkuntzan	s o r k u n w i
sorreratik	s o r e r a t i k
subjektuak	s u by~ E k E t u a k
sukaldaritza	s u k a l d a r i c a
sumatu	s u m a t u
suntsituz	s u n c i t u s
tokiaren	t o k i a r e
tokitik	t u 7 i t i k
tradizioan	i t r i w L o a n
tradizionalean	i t r i w 5 o l e*
tranpa	tr~ a n p a
trinkoak	t r e nk ~ o b a k
txikiarekin	T i k i a r e k i N
txikiekin	C q i e k i N
txokolatea	T o k o l a t e a
unibertsalak	u n i b e r y u r i
uniforme	u n i f o r m e
urratu	u r a t u
zabalkuntza	z a b a l k u n c a
zaletu	z a l e t u
zenbatekoa	z e n b a t e k o
zerbitzatu	z e r b i E c a t u
zerbitzuetan	z e r b i E c 3 t a n
zeudenean	z e u d i n i
zientzialarien	z i e n t a a l a r i e n
zulatu	z u l a t u
zurixka	z u r i S
zuzenik	z u z e n i k
Adams	d a m
Aldundia	l d u nd ~ i a
Angeles	g e l e
Aristotelesen	r i S th~ o t e l e s e n
Aurkitu	u r k i t u
Auzitegiak	u z i t e g i a k
Barnealdean	a X n a q e a l d e
Barry	a r
Batuaren	a t u a r e
Bay	a y
Behar	e h a r
Bell	E l o
Berari	e r a r o
Bidea	d e a
Bukatzeko	t u k a c e k o
Center	e n t e r
Central	e n t r a l
Claude	l a u d e
Corporation	u r p o r a t i o n 3
Eleberriak	l e b e r a k
Emakumezko	k u m e z k o
Eneko	n e k o
Esparru	s p a r u
Estrategia	s t r a t e g i a
Euri	u r i
Frantziatik	r a n t a a t i k
Galeria	a l e r i a
Garaia	a r a i a
Gaurko	a u r X u
Gaztelu	a z t e l u
Gazteluaren	a z t E l u a r e
Geografia	e o g r a f i a
Hanibalek	a n i b a r a
Heinrich	e i n i cy~
Herrialdearen	e r a l d e a r e
Hezkuntzan	d k u n w i
Hildako	i l 7 a k o
Hitler	i L e r
Honenbestez	o b e s t e z
Ibn	b n
Igor	g o r
Italiara	t a l i a r a
Itzuli	c
Izenaren	z e n a r e
Jaio	a y o
Jokalariak	o k a l a r i a k
Kanpaina	a n p a i n a
Kontrol	o t r o l
Kontu	o nt~ u
Koroaren	o r o a r e
Krisi	r i s i
Liberal	i b e r a l
Lo	o
Maisu	a i s u
Mapa	a p a
Marx	a r 7
Matxinada	a 5 i* a d a
Miller	i l l e r
Negu	e x u
Nicholas	i C o l a
Nilo	i l o
Ondarroako	n r u a k o
Orio	r i o
Orokorraren	r o k o r a r e
Paper	a p u r
Partikula	i t i k u l a
Pieza	i E z E
Plaka	l a k a
Platonen	l a t o n e n
Popular	o p u l a r
Presidentea	r e s i d e n t e a
Preso	r e s o
Printzea	r i nt~ 8 a
Proiektuaren	r o k b t u a r e
Prusiako	r u s i a k o
Suedia	u e d i a
Suitzan	k i w i
Tentsio	e n c i o
Urtarrilaren	r t a r i l a r e
Zaharreko	a h a r e r e k o
Zaila	i l a
Zentroko	e n t r o k o
Ziur	i u r
abokatua	a b " a k a t u a
