an 	a n
Biergerinitiativ	i e r g e r i n i t i E t i
Biographie	i o b o ch~ t a b e
Brasserie	r a s e r i e
Chimie	h i m i e
Compte	i m p t e
Creos	r E o s
Descente	e s k e n t e
Dostert	o s t E r
Däischtert	3 i S t E a
Döhmer	o hm~ e r
Edmond	d m o n d a
Emol	m o l
Enkpäss	k p 3 7 s
Erlaabt	r l a b
Ernährung	r n 3 h r u N
Flora	l o r a
Fola	o l a
Fédération	e d o y a t i o n 3
Gefaellt	i f a e ly~
Gesond	e s o nd~
Girl	i r
Glod	l o d
Halbzeit	a l b z a i
Hate	a t e
Heizung	e i z u N
Hin	i n
Hype	3 p e
Iwwerfall	w w e r f o l
Joy	o 8 a
Julia	l i a
Kategorië	a t e g o r i 3
Klengegkeeten	l 3 N 3 g k e 7 e t e n
Klimaziler	l i m a z i l e r
Kolleginnen	o l l e g i n n e n
Komponisten	i m p o n i s t e i n
Learning	e a r n i N
Liesungen	e s u N 3 n
Lotissement	o t i 7 E m E n t
Lynn	y n n
Memorial	e m o r i a l
Miguel	i g
Moria	u r i a
Märercher	3 r e r x e r
Mënscheliewen	3 n s l a g u r i e u e n
Nationalitéitegesetz	a t i o n a l i t e i t e g 3 s e c
Nepal	a p a l
Nuddelen	u d e l e n
Offere	f e r e
Onofhängeg	n o p h 3 3
Opel	p e l
Perfekt	e r f e k
Phantasie	h a n t a s i e
Phil	h i l
Pokémon	o k e m o n
Prüfung	a s u Ng~ o th~
Psychiater	s i m C i a t e r
Renten	e n t e n
Rhetorik	h e t o r i k
Rover	o v e r i
Salariéë	a l a r i e 3
Schoulbicher	C o l b i C e r
Schrack	C r a k
Scoute	k o u t e
Sozialsystem	o  a l a s t e m
Spa	p a
Spannend	p a n
Spielberg	p y E l p l a y
Subaru	u b a r u
Testauto	e s t a u t o
Thelen	h e l e n
Turner	u r n 3 q
Urbé	r b e
Verbänn	e r b 3 n n
Vic	i k
Vulkan	u l u m
Weimerskirch	e i * s k i dy~ o
Wikipedia	i k i p e d i a
Willi	i l l i
abannen	a b " 3 n n e n
aberuff	a b e r u w f
ausenaner	a u s e n a n 3 q
automateschen	a u t o m a t e s E N
beméien	b e m u i e n
bereed	b e r a 3 d
demokrateschen	d e m o k r a t e s E N
demols	d e m o l
däitscht	d 3 i c t
eeben	e e b e n
eragereecht	e r a g e r e n t
erfuerschen	e r pw~ e r S E N
erméigleche	e r p a u i l e 5
fleit	f l a i
fënnefte	f 3 n n e f t e
gepaakt	g e p a k
hee	h i
iwwerdreiwen	i w w e r ndr$ s e n
iwwerschaffen	i w w e r S f e n
mechs	m e C
my	m 3
ofdecken	o f b S k e n
ofzesécheren	o f z e s e S e r e n
plädéieren	p l a a r e i e r e n
reellen	h r e l l e n
schlëmmst	S l 3 m s d a
scène	s k e n e
stierwe	s t a o r w e
telefonéiert	t e l e f o n e i e r
terribel	t e r b e l
traditionellt	tr~ a d i t i o n 3 m u S
ulafen	u l a f e n
unzeschléissen	u n z i S  l e s e n
ustiechend	u s t i 3 C
verstännegen	e r s t 3 n n e g 3 n
wouhin	w o i n
zougeluecht	z o u g e l u e t
zouhëlt	z o u h E ly~
ënnerhale	3 n a i n  l e
Aarte	i t e
Adobe	d o b e
Agenten	g e n t e n
Akzeptanz	k 8 p t nz~ i
Alleguerten	l l e g e r t e n
Aly	kw~ a
Alzeng	l z i N
And	nd~
Becher	e T u r
Berchem	e r x e m
Bluttdrock	l u t t
Bonus	n u s
Bopa	o p a
Bänken	a* d k e n
Cabaret	a b a d e t
Chantiere	h a n t i e r e
Clairefontaine	l a i r e f o n t a i n e
Crop	r o p
Datenzenter	a t e n z e n t e r
Debatte	e b a t t e
Dierf	i e r f
Dieter	i e t e r
Dohier	h i e r
Dream	r e a m
Excellent	a l
Feieren	e i e r e n
Filet	a l
Flair	l a i r
Frankfurter	r a n k f u r t e r
Fuerpark	u e r a d a n
Funktioune	u n k t o u n e
Fënstere	3 n s t E r e
Gaard	a r d
Gestion	e s t i o n 3
Gläichberechtegung	l 3 i C b e r a t E g u N
Gouvernement	o u e r n i m E n t
Grenzkontrollen	r e n z k o nt~ r o l l e n
Griewer	r i e w e r
Hammelmann	a m e l n
Hausdéier	a u s d a e i e r
Helleg	e l l a
Horror	u r o r
Industrien	d u s t r e i
Inneministesch	a n n i m i n i S th~ i S
Joker	o k a r
Jordan	u r d a n
Kamäin	a m 3 i n
Kierfech	i e r f
Kokain	o a s
Komplexitéit	i m p l " i t e 7 i t
Konklusiounen	o nk ~ l u z e o u n e n
Konservativen	o* s e r v a t i b e n
Konventiounen	o f e n t i o u n e n
Kurt	u r
Kären	3 r e n
Larry	a r
Mallorca	o l  w E L E
Medeziner	p i e d n k a  e r
Meedecher	e n d e C e i r
Melusina	e l u s i n a
Ministerrot	i n i S t E r o t
Mohammed	o h a m t
Mounts	v i c
Museksschoul	u s Nw~ 7 C o u l
Nees	e s
Partië	i t i 3
Pensiounssystem	e ns~ i o u n 7 y s t e m
Plagen	l a g 3 n
Politiken	o l i t i k e n
Proximitéit	r o x i m i t e 7 i t
Pätter	3 t t e r
Quentin	u e n t i n
Quote	u o t e
Rammerech	a m m E r E C
Realitéiten	e a l i t e i t e n
Reebësch	e b e S
Reportagen	a p o r t o g e n
Revanche	p i r a n C e
Ronde	o* d e
Schuster	C u s t e r e n
Servais	e r v a i s
Seyler	b l e r
Solle	o l l e
Spekulatioun	p e k u l a t i o u n
Sponsor	p o Th~ o r
Stabilitéitspakt	t a b i l i t e i c l o
Stemmt	t a m
Stäerkten	t 3 a
Stëmmt	t 3 m
Subsid	u b s i d
Syfel	y f
Tusk	u s k
Ulrich	l i cy~
Vatikan	a t i k a n
Viaduc	i a d u
Villméi	i ly~ p a u i
Wahlsystem	a h l a s t e m
Waldbëlleg	a l d b e l l a
Wiesbaden	e s b a d e n
Zesummeliewe	e s u m e l i e w e
aktivéieren	a k t v e i e r e n
autoritär	a u t o r i t a r
beholl	b e h o l o
berücksichtegen	b E i k a r k s i t E g E n
doucen	t o u s e n
dynamesche	o n a S C e
däerer	d 3 e r a r
däers	d 3 e r
dém	d 3 bw~
ei	e i
ekologesche	e k o l o g 3 s C e
erduerch	e r dw~ o mb~ o
eropgoen	E a z g o e n
eru	e r u
forcéieren	f o r k e i e r e n
formation	f o r m a t i o n 3
fuert	f u e r
gedëllegen	g e d E ly~ l E g E n
gefleegt	g e f l e x
generelle	g e n e r e ly~ e
geschuet	g e S  u e ty~
gesonden	g e s o n d e n
greng	g r i N
hannerfrot	h a n n e r f r o t
heiren	h e i r
iwwerweisen	i w w e r w e i s e n
kalen	k a l e n
knippsen	k pw~ p e n
kommerziellen	m i *
kuerzerhand	k u e r r i ly~ a nd~
magesch	m a g e S
menacéiert	m E n a k e i e r
neiaartege	n e a i t e g e
nodenklech	n o d e Nkw$ l E C
penibel	p e d i b o
réckleefeg	r e S k l e f
saisonal	s e i s o n a l
scheint	S E i nt~
schärft	S r i e f
souwiesou	s o u w e s o u
usetzen	u s e c e n
verfüügt	e r u 3 g
verwierklechen	e r w i e r k l e C e i n
virgeet	v i r g o t a x a
wierzen	v i  z a n
wëssenschaftlechen	w e s e s C a f L e C e i n
zerguttst	z e r g u t c
zesummenhänken	z e s u m i ch~ o t 3 n k e n
Änder	n a r
Absolut	b s o l u t
Ariichtungen	i C t u N 3 n
Aschränkungen	S r a* d k u N 3 n
Audio	u d i o
Aventuren	f e n t u r e n
Berbuerg	e r E a g
Bereich	e r e i C
Beruffsliewen	e r u w f w i e u e n
Bic	i k
Bremen	r E m E n
Carrièren	a r e r e n
Climate	l i m a t e
Desinfektiounsmëttel	e s i n f k t o u s k i S t
Dobei	o b e i
Délai	3 a i
End	nd~
Energië	n e r g i 3
Entlaaschtung	tL~ a nz~ i a S t u N
Ernärung	r n 3 r u N
Feelen	e l e n
Feeling	e l i N
Fräiwëllegen	r 3 w e L e g 3 n
Fundament	u nd~ a m E n t
Geheimnisser	e h e i m n i 7 e r
Gemengt	E m E N
Gillen	i l l e n
Gretsch	r e t S
Grousspapp	r o u s s p a p p
Gustavo	u s t a b o
Hannergronn	a n n e r g r o n n
Hausdier	a u s d i e r
Immigranten	m m i g r a n t e n
Industriezon	u z i e z o n
Jugendtreff	t u g e n d t r e f
Kierchefabricken	i l l a g y o* i S k e n
Klengbetten	l 3 N t t e n
Klo	l o
Kuffer	u f e r
Lamadelaine	a m a d e l a i n e
Lay	a y
Layout	a y o u t
Legaliséierung	g a l i s e i e r u N
Liese	e s e
Maaseik	a e i k
Mantel	a n c
Melodie	e l o d i e
Menagen	e n a g 3 n
Messenger	e s e N e r
Mixer	i S e r
Monopol	n o p o l
Niveaue	Ng~ e r e a u e
Novak	o w a k
Nun	u n
Offäll	f 3 l o
Policegewerkschaft	o l i C E g E w e r k S a f
Probéiert	r o b i e r
Quasi	u a s i
Rekorder	e k o r d e r
Salariat	a l a r i a t
Schantjen	C a th~ i
Schaum	C a u m
Schlussphas	C l u s ph~ a s
Seance	e a*  e
Stäip	t 3 i p
Thionville	h i o n v i l l e
Titelgrupp	i t e l g a m p
Traditionell	r a d i t i o n 3 "
Trauma	r a u m a
Tëscheruff	e s S e r u w f
Undrang	ndr$ a
Unien	n i e n
Waldhaff	a l d a f f
Winkin	i n k i n
Zell	E l o
allermeescht	a l l e r m E k 3 n C t
approuvéiert	a p p r o u v e i e r
bannendran	b a n n e ndr$ a n
beruffen	b e r u w f e n
bestrofen	b e s t r o f e n
dertëscht	d e r y s t
elektronescher	e l e k tr~ u i S E r
erhält	a i 3 t a s
festleet	f e S L o t a x a
flächendeckend	f l 3 E d i C k 3 n d
fräiem	f r 3 i e m
fréiert	f r e i e r
geschleeft	g e S  l e f
gidd	g i d
higeet	h i x o t a x a
initiéiert	i n i t i e i e r
iranesch	i r a n e S
klorer	k l o r e r
maximale	m a S i m a l e
mischii	m i s C i
mëndlech	m E nd~ l E C
mënschlecher	m E Th~ C l e C e i r
noe	n o e
non	n o n
permanenten	p e r m a n e n t e n
regroupéiert	r e g r o m e i e r
stabiliséiert	s t a b i l i s e i e r
strikte	s t r e k t e
syresche	s 3 r e s C e
thematiséieren	th~ e m 3 a t i s e i e r e n
vereent	e r e n t
verweigert	e r w e i g e r
veréiwegt	e r e w e g
vieleicht	v i e l e i t
weidergaangen	w e i d e r g a n g 3 n
widdert	w i d a e r
your	y o u r
Abu	b u
Academy	k a d e m
Affäre	f r i e a
Agrarpolitik	g r a r p o l i t i k
Areal	r e a l
Artiste	r t i s t e
Assistent	s s i s t e n t
Barrièren	a r e r e n
Beat	e a t
Belge	e l g e
Blëtzer	l 3 8 e
Bolivien	o l i v i e n
Brit	r i t
Béi	e i
Caisse	a i s s e
Car	a r
Chassis	h a s s i s
Consdorf	o* s d o r f
Datei	a t e i
Diakon	i a k o n
Dilemma	i l a m a
Eechelen	e T h e l e n
Ei	i
Ekonomist	q o n o m i s
Enseignantë	s e i N n i a n t 3
Esprit	s p r e
Felgen	e l g 3 n
Flank	l a n
Fleegepersonal	l E l o g e p e r s o n a l
Fribourg	r i b o u r
Frisch	r i S
Garcia	a r i a
Gebeier	e b e i e r
Greg	r e
Hierarchie	i e r a r j i e
Huelen	u e l e n
Häerze	3 e L e
Illusioun	L u s i o u n
Inspection	s p E kh~ a m e* t i o n 3
Kadaster	a d a s t e r e n
Kanadier	a n a d i e r
Kinepolis	i n e p o l i s
Leonard	e o n a r d
Läich	3 i C
Manifestanten	a n i f i S t a n t e n
Marokko	a r o k k o
Myriam	y ry~ a m
Märel	3 r e l
Neit	a i
Nodrock	o d r o k
Ongléck	N l e k
Pefferkär	e f e r k a r
Pei	e i
Planet	l a n e t
Pluriel	l u r
Protagonisten	r o t a g o n i s t e i n
Précoce	r e k o k e
Reebou	a p u
Residence	e s i d i n C i e
Satisfaktioun	a t i s f a k t o u n
Schülerin	C k e l e r i n
Soisson	a s o*
Sozialiste	o  a l i s t e
Sozialminister	o  a l m i n i s t e r e n
Supermarchéen	u p e r m a l l e e n
Sängerinnen	a* d g e r i n n e n
Sécherheetsofstand	e S e r h i*  s t a nd~
Thoma	h o m a
Turbo	u r b o
Téiteng	e i c i N
Uklang	k l a N
Ukraine	k r a i n e
Vie	i e
Wëllschwäin	3 L S w 3 i n
Zéisseng	e s o N
agepaakt	a g 3 p a k
alldeeglechen	a ly~ d e x l e C e i n
annoncéieren	a n ndw$ a k e i e r e n
anzebauen	a n z e b a u e n
base	b a s e
deems	d e e m
dekoréieren	d e k o r e i e r e n
diktéiert	d i k n i e r
däischtere	d 3 i S t E r e
eenzelt	e n z e l
eischte	e i S t e
entspriechenden	e n c p r i n  d e n
entsti	e n t s t i
erausstellen	e r a u s s t e l l l e n
follegen	f o l l E g E n
frech	f r E C
frieme	f r i m i
gebilt	g e b i l
gefollegt	g e f o l l e 7
geleiert	g e l e i e r
gelunn	g e l u n n
gewënschte	g e w 3 n S t e
gif	g i f
grenziwwerschreidend	g r e n z i w w e r S r e i d e n d
haate	h a t e
hënneren	h 3 n n e r e n
indispensabel	i n d i 8 p e n e ty~ a b a
israelesche	i s r a e l e s C e
koherent	k o h e r e n t
korrigéiert	k o r x e i e r
manifestement	n i f i S t E m E n t
opfalen	o p f a l e n
provisoresche	p r o i s o r e s C e
rappt	r a p p
resolut	r e s o l u t
rietsextrem	r i e t e S a m
riichte	i C t e
schéinst	S e nsw$ i
souzesoe	s o u z e s o e
sëllegen	o L e g 3 n
ten	t e n
uganks	t u g a g
vergläiche	e r L 3 i C e
veronséchert	e r o s e S e r
vor	v o r
zolitten	z o l i t
zoulässeg	z o l a e S e
Ënnerschrëfte	a n n e r S r e f t e
Adem	d E* m
Airbus	i r b u s
Arsenal	r e n a l
Australier	u s t r a l i e r
Autofestival	u t o f i S t i w a l
Autorisatiounen	u t o r i s a t i o u n e n
Basilika	a s i l i k a
Beatles	E w e L e
Boxen	o f e n
Briefing	r i e f i N
Brown	r o w n
Budgetspolitik	u d  c p o l i t i k
Buvette	u w e t
Crème	r e m e
Daf	a f
Daitschland	a y t i C a nz~ i
Educateuren	d u k a t e u r e n
Eenzegen	e n z e g 3 n
Elvinger	l v i N e r
Enquêten	n ky~ e t e n
Ermesinde	s a y m 3 s i n d e
Friichte	i C t e
Fête	e t e
Gesten	e s t e i n
Grün	r o N
Haas	a
Hamburger	a m b u r g e r
Harris	m a n i s
Hausaufgaben	a u s a u f g a b e n
Helleng	i L i N
Hirsch	i r S
Independanten	d e p e n d a n t e n
Instituter	s t i t u t e r
Iwwerstonnen	w w e r s t o n n e n
Jenny	e 5
Kiew	i e w
Kill	i l
Kléngt	l e N
Kommioun	o f a o u n
Lang	a N
Musse	u s s e
Nobelpräis	o b e l p r 3 i s
Olinger	l i N e r
Organisatiounscomité	r g a n i s a t i o u s k o m i t e 7
Perry	e r
Pesch	3 S
Primoz	l i m o
Realisatrice	e a l i s e i cy~ e
Reich	e i C
Reiter	e i t e r
Reseauen	e s a i a u e n
Schreift	C r e i f
Schreiwe	C r e i w e
Secours	e k o u r
Sergio	e r g i o
Souwisou	o u w s o u
Soziolog	o  o l o
Stadium	t a d i u m
Sträif	tr~ 3 i f i
Term	e r m
Titele	i t e a
Tragedie	r a g e d i e
Triathlon	r i a t L o n
Troun	r o u n
Ultimatum	l t i m a t u m
Wahlprogrammer	a h l p r o g r a m e r
Walter	a l t e r
Warschau	a r S a u
Wuerzel	k i k " L
Zoll	o l o
absolvéiert	a b " s o l v e i e r
aneneen	a n e n e n
anneren	a n n e r e n
appreciéiert	a p p r e m e T i e i e r
areesen	a r e e s e n
asiatesche	a s i a t e s C e
auserneesetzen	a u s E r S i  e c e n
ausgesait	a u s g 3 s a i t
bedenke	b e d e Nkw$ e
beruffleche	b e r u w f l e 5
besëtzt	b e o c
beweise	b e w e i s e
but	b u t
chance	% p i s k a n C i e
chrëschtleche	C r e s C L e 5
commerce	k o m * r e
denn	d e n n
dodrun	t o t n u m
entweckelt	e n t w e k n z a g u r
erlaaben	e r l a b e n
eropzesetzen	E a z 8 e c e n
erwäänt	e r w E a 5 a
geblosen	g e b l o s e n
geblëtzt	g e b l 3 c
geeschteg	g e e S t o g
gerutscht	g e r u c t
gestresst	g e s t r e s s d a
heihi	h e i 7 i
inclus	i n k l u s
intensiver	i n t e n a Ng~ e r e n
knackeg	k n a k 7 o g
komesche	m i y a C e
kënschtlecher	k 3 n S t l e C e i r
lénken	l ky~ k e n
marker	m a* r k a r
moderéiert	m o d e r e i e r
mënschlechen	m E Th~ C l e C e i n
onvergiesslech	o e r Ng~ i e s w t a
onzefridden	n z e f r i d a e n
opfänken	o p f 3 n k e n
opliewen	o p l i e u e n
polnesch	p o l n i S
reegelméissegen	h r e x e l p a u s g e n
regelt	r e  t a s
schwéiert	S wy~ i e r
secondaire	s e k o n d a i r
spéiderhin	s p e i d e r i a n
starte	s t a r t e
tëschen	t e s E N
ugepasste	u g u d o  s s t e
with	w i c
zaart	z a r
zauberen	z a u b e r e n
Ëmweltminister	e l t m i n i s t e r e n
éisträichesche	e % l u z 3 i C e s C e
Accorde	kh~  o r d e
Adapto	d a p t o
Afterwork	f t E r e*
Alan	l a n
Auerzäit	k i k " L 3 i t
Ausbeutung	u s G u t u N
Aviatioun	v i a t i o u n
Bevölkerung	p i r o l k e r u N
Blech	l E C
Brothers	r o th~ e r
Clan	l a n
Cocktail	T i t
Cohen	o h e n
Contributioun	n b u t i o u n
Doublé	o u b l e
Drëpsen	r 3 p e n
Duelem	u e l e m
Ecole	k o l e
Exame	S a m e
Familljeministesch	a m i l l j e m i n i S th~ i S
Fandel	a n d e l
Felten	e l t e n
Freide	r e i d e
Friends	r i e n d
Geschäftsverband	3 S 3 f c e r b a nd~
Gremien	r E m i e n
Heinrich	e i n i cy~
Heischent	e i S E n t
Hike	i k e
Häerzen	3 e r z a n
Hénger	i n g e r
Insider	s i d e r
Kontinenter	n t i n e n t e r
Kënschtlernumm	3 n S t l E a n u m m
Luis	k i s
Maternité	a t E r n i t e 7
Memberskaart	e m k s k a d
Mentalitéit	e n t a l i t e i t
Metten	e t
Michelle	i C
Mobil	o b i l
Munitioun	u n i t i o u n
Natirlech	a t i X l u n
Onmass	n s
Parlamentarier	a r l a m e n t a r i e r
Play	l a y
Protokoller	r o t o k o l l e r
Raphael	a p t a e l
Respektiv	e s p e k t
Richtlinne	i C L e n e
Schons	C o* s
Schouss	C o u s
Schwaarzen	C w a L e n
Staren	t a r e
Ufuerderunge	f u e r d i n u N a
Verschiddenes	e r S i d a i n i
Virschrëften	i r S r e f t e n
Voice	o i k e
Vuen	u e n
Wall	o l
Wimbledon	i m b l e d o n
Wäisswampech	3 i s s o m p n
Zäitche	3 i C e
agezunn	y d u n n
amenagéiert	a m e n a g e i e r
anzeriichten	a n z e r i C t e n
auszeginn	a u s z e g i n n
begleede	b e g l e n d e
broden	b r o d e n
budgetär	b u d g e t a r
bëllege	b e L e g e
deelhuele	d e e l w e l e
desinfizéiert	d e s i n a z E i e r
diagnostizéiert	d i a g n o s t i z E i e r
dropp	d r o p p
déis	d e i s
economesch	e k o n o p i S
erageschéckt	e r a g 3 s C e S k
erbäi	e r b 3 i
erfollegräiche	e r f o l l e g r 3 i C e
erfëlle	e r f E ly~ l e
erweisen	e r w e i s e n
erweist	e r w e i s
erwächen	e r w 3 E N
ewechfalen	a w e C f a l e n
fantastesche	f a nt~ a s t e s C e
folgerichteg	f o l g e r i t o g
fonctionéiert	f o n C i t i o n 3 e i e r
formen	f o r m e n
fotografeiert	f o  b o ch~ f i e r
gefaale	g e f a l e
gläichméisseg	g l 3 i C p a u s e
grausam	g r a u s a m
gëllene	g E ly~ l e n e
humanitärer	h u m a n i t 3 r e r
imposant	i m p o s i
imposéieren	i m p o s e i e r e n
industrieller	i d u s t r i L e r
informéiere	i n h p a u i e r e
kategoresch	k a t e g o r e S
locker	l o k k a r
manifestéieren	n i f i S n i e r e n
matspillt	m a c p i l l
noeneen	n o e n e n
ofhänkt	o f ph~ 3  Nkw$
ofhëlt	o p e t a s
ofzehuelen	o f 8 w e l e n
ophiewen	o p hy~ e u e n
politique	p o l i t i k E
rengen	r E N E n
richtig	r i C t i g
rutschen	r u c E N
schwedesch	S w e d e S
sengt	s 3 N
soins	s o nsw$ i
stattfanne	s t a t f a b a n n e
stramm	s t r a m 3 n
südleche	s 3 d l e 5
vegan	f e g a n
verdrängt	e r ndr$ 3 N
vergaangenen	v e r g a n g 3 n e n
verstaan	e r s t o r
verzeechnen	e L a C n e n
viregte	v i r e g t e
virzeleeën	v i L e l e l e a n
zwësche	z w e s C e
Ëmlaf	m l a f
Akeef	k e n f
Alliéiert	ly~ i e i e r
Amendement	m e n d E m E n t
Bak	a k
Ban	a n
Bauperimeter	a u p e r i m e t e r
Begréissung	g r e i 7 u N
Benotzung	e n o c u N
Berechnung	i d i n n u N
Boni	a
Broschtkriibs	r o S t k r i b
Budgetsminister	u d  c m i n i s t e r e n
Carles	a r l e
Citroën	i t r o a n
Claudia	l a u d i a
Collaboratioun	o l l a b o r a t i o u n
Cyclist	y k l i s
Deier	e i e r
Denke	e n k e
Desch	3 S
Diplomat	i p xy~ u 7
Division	i v i s i o n
Edit	d i
Ell	l o
Enkelkanner	k e l u m n 3 q
Entwéckler	nt~ wy~ S k l e r
Erfindung	r f i d u N
Erhuelung	r w e l u N
Ethik	th~ i k
Fabrick	a b " i cy~
Flotte	l o t t e
Forge	u r g e
Fräiraum	r 3 i r a u m
Gaalgebierg	a l 3 k  a rx~
Gemengefinanzen	e m e N e f i n a n c~ e n
Gil	i l
Giuseppe	i u s e p p e
Grenzregioun	r e n z r e g i o u n
Groussgaass	r o u s t u s
Heen	e n
Highlights	i t l i t
Houston	o u s t o n
Investisseur	n v e s t i s e u r
Jamboree	a m b o r e
Jores	o r e
Judiciaire	u d i k a i r
Kanzlerin	a n z l e r i n
Karate	a r a t e
Kommentare	o m e n t a r e
Koppele	o p p e l e
Leeder	e n d e r
Limitt	i m i t
Liverpool	Ng~ e r e n p o l
Monitoring	q o n i t o r i N
Neutralitéit	u tr~ a l i t e i t
Okay	k a y a
Photographie	h o d o b o ch~ t a b e
Pir	i r
Plans	l a n
Posch	o S
Prabbeli	r a b b e l i
Publik	u b l i k
Rebounds	e b o u n d
Regirung	E k i r u N
Remake	e m a k e
Reservatioun	e s E r v a t i o u n
Resident	e s i d e n t
Restaurante	e s t a u r a n t e
Rise	i s e
Sainte	i nt~ e
Schlëmmst	C l 3 m s d a
Schrëtter	C r 3 t e r e n
Schumann	C o n
Schung	C o N
Sites	i t e
Staatsfinanze	t a c f i n a n z e
States	t a t e
Stellungnam	t e l a u N n a m
Suitten	k i t
Telé	e l e
Usus	s u s
Wues	u e
Wëllem	E ly~ l 3 m
Zant	a n c
Zéckt	e S k
ausverkaaft	a u s e r  a f
bedéngen	b e d e 3 n
berechnen	b e r e C n e n
berouen	b E r o u e n
blatzeg	b l a t 8
brittescher	b r i t t e S E r
ch	C
civil	i v i l
coolen	k o l e n
deens	d e
deiten	d e i t e n
deplacéiert	d e p l a k e i e r
dervunner	d e r b u n n 3 q
dréif	d r e i f i
eemolege	e o* l g e
ervirzehiewen	e r p i t e n 8 hy~ e u e n
experimentell	" p e r i m e n t e l a
festgesat	f e S t g 3 s a t
festhält	f e S th~ 3 t a s
fidderen	f i d a e r e n
flou	f l o u
fräigestallt	f r 3 i g 3 s t a ly~
hongereg	h o N e r a
illegale	i l l e 7 a l e
iraneschen	i r a n e S E N
jéngsten	h e N s t e i n
kompakt	m i p a k
komplexen	m i p l " e n
mai	m a i
mini	m i n i
médical	m e d i k a l
mëttel	m E t
neister	n e s t e r e n
ofgeschoss	o f g 3 s C o s
ofgesi	o f g e s i
ophuele	o ph~ u e l e
opreegen	o p h r e x e n
réicht	r e i t
schleefen	S l e e f e n
verdénge	e r d 3 7 N a
veräntwerten	e r a* d t w e r t e n
villverspriechend	v i l l e r s p r i n
weltwäiter	w e l t w 3 i t e r e n
zefill	z e f i l
zentraalt	z e n t r a a l t a s
zeréckgaangen	z e r e S k g a n g 3 n
zougestanen	z o u g 3 s t a n e n
Ënnerhalung	n a i n  l 3 u N
ëmstriddene	m u z i d a e n e
Aascht	a s t
Ajo	h o
Aline	l i n e
Arena	r e n a
Bay	a y
Bengel	o N
Bereetschaft	e r a  C a f
