on 	o n
suurejooneline	s u r e h o n e l i n e
säilitamist	s i l i t a m i s
säilitanud	s i l i t a n u d
sõnavõtte	s n o* n a b n a k t e
sügavam	s 3 g a v a m
teadsime	t e a d s i m e
teenimist	% t e n i m i s
teenindamise	% t e n a S a m i s e
teeniti	% t e n i t i
terviklik	t E r v i k l i k
tervishoid	t E r i s o i d
tingituna	t i N i t u n a
tohivad	t o h i v a d
toidust	t o d u s
toimumist	t o i m u m i s
tugevamat	t u x e b E m a t
tugevneb	t u x e b n e
tugevnenud	t u x e b n e n u d
tundmine	t u nd~ m i n e
turvalisemaks	t u r v a l i s e m a k
tähti	t E h t i m a
tähtsus	t E h t i m a u s
täpsemad	t 3 p s t u m a d a r
tõstmisest	t e m Sx~ C u w o
tööülesannete	h a t 3 k e l e s a* n e t e
uurimiskomisjoni	u r i m i s k o C u w cx~ o* n i
uurisid	u r i s i d
vaheldumisi	v a h e l d i m i
vahetamise	v a h e t a m i s e
vahetevahel	v a h e t e b E h e l
vaimsete	n a i n e n e t e
valiks	v a l i k
vallutanud	v a l u t a n u d
vastavuses	v a s t a b u e
vastuses	v a s t e
viigiga	v i i g i g a
volikogust	v o l i k o g u s
vähenda	v E h t i e n d a
vähesus	v E h t i % r u s
vähesuse	v E h t i e s u s e
välismaalasi	v 3 C i w a l a s i
värv	v 3 r v
väärtusliku	v E r t u s l i k u
võistlejat	v o i s t j
võlakirjad	v o l a k i r j a d
võlgneb	v o l 3 k n e
võrk	v o* r b i
võõrasse	v o o* r a s s e
äkitselt	3 N  s l 3
ämma	3 m a
ärgem	r i e g e m
õpime	n a k u e
õppemaksu	n a p p e m a k s u
üksmeelne	3 k s m e l n e
üldkoosoleku	l d k o s u k o l e k u
ülemaailmse	u l e m a i t m s e
ülikoolist	l i k o l i s
üürnik	3 3 r n i k
Žürii	3 r i
Ahja	h j a
Aitab	i t a b "
Aprillis	p r e l l i s
Argentiina	r g 3 n t i ly~ o
Direktor	i r e k t o r
Draghi	r a g i
East	s d a
Elame	l a m e
Elekter	l E k E t e r e n
Estonias	s t o n i a s
Hansoni	s o n i
Inna	a n n a
Jacksoni	a k s a b a n c a i
Johnny	o h E 5 n
Jordan	u r d a n
Journal	o u r n a l
Kaibald	i b a l
Kantsler	a n c l e r
Kate	a t e
Kirjas	i r j a s
Klaassen	l a s e n
Konservatiivse	o* s e r v a t i s v s e
Kreekasse	r E k  s s e
Lauljatar	a u l j a t a r
Leemets	e m e c
Lennuki	3 n
Lihulas	i h u l a
ManU	a n
Monaco	o n a k o
Murru	u r u
Mäletatavasti	3 l e t a t a v a s t i
Niipea	i p e a
Parek	a r e k
Piusa	i u s a
Punane	u n a n e
Regina	g i n a
Rikaste	i k a s t e
Roger	o g e r
Saates	a t e
Salumaa	a l u m a
Samsungi	a m s u N i
Sony	5
Taali	a l i
Teel	e k "
Tundus	u n d u s
Tuus	u
Tüür	3 a r
Vaarik	a r i k
Võidupüha	n a d 3 p 3 a
abist	a b i s
ah	a h
aitame	i t a m e
ameteid	a m e t e i d
anonüümne	a n o n 3 3 m n e
arvatust	a r v a t u s
asjaoludest	a s  l u d a* 7
auhind	a u h i n d
ausaid	a u s e i
ava	a v a
avamisega	a b a m i s e N a
demokraadid	d e m o k r a a d i d
demokraatlikud	d e m o k r a L i k u d
dokumendis	d o k u m e n d i s
edasised	e d a s z o
edasiste	e d a s i s t e
edastanud	e d a s t a n u d
edusamme	e d u s a m
efektiivsus	e f e k t i v u s
eiramine	e i r a m i n e
elavalt	e l a v a l
eluolu	e l u o l u
endistest	e nd~ i s t e s
erinevust	r i N u s i k
esinev	e s i n e v
esitades	e s i t a d e
esmajärjekorras	e s E n o x e k o r a s
faasi	f a a s i
fikseerida	f i k s E r e r i d a
harjutab	h a r w a t t a b "
heameel	h e a m i e l
hindamatu	h i n d a m a t u
hoiakuid	h o a k u i
hoovist	h o i s
häälekandja	h 3 l e k a j a
ideaalselt	d e a l s l 3
ilmadega	i l d e g a
iseseisvaks	% l o w i s v a k
joostes	x o 3 s t i
julgeid	x u l 3 k  i d
juuresolekul	x u r e s o l e k u l
juuri	x u r i
järjepidevust	E n h a t u s i k
jõudmise	h o u d m i s e
jõudumööda	h o u d u m o  d a
kaamerate	k a m e r a t e
kahetse	k a h e c " e
kalade	k a l a d e
kassa	k a s a
kaubandus	k a u b a nd~ u s
kellaajal	k e y a x a l
keskkonnateenistuse	k e s k k o % t e n i S t u s e
kiirele	k i r e l e
kirjelduse	l E l d u s e
klientidest	k l i e n t i d a* 7
kodanikuks	k o d a n i k u k
kohtlemist	k o h L e m i s
kokkuleppest	k o k e l e p m i
konverentsile	q o n i k e r E nt~ u  l
kristlikke	k r i s t l i k k e
kunagisest	k u n a g i S a* 7
kurtnud	k u r t n u d
kuulsime	k u L b u p e
käivitamiseks	k a i v i t a m i s Nw~
kärbib	k a r
kättesaamiseks	k a t t e s a m i s Nw~
kõrgust	k o i r g u s
külmade	k 3 l d e
kümnel	k 3 m
küündis	k 3 3 nd~ i s
lagunemise	l a g u n i m i s e
lahendamisega	l a h e n d a m i s e N a
lauldes	l a u l d e
lavastuses	l a v a s t e
liidrit	l i  i t
liinibuss	l i i n i s
linnarahvale	l i n t a r a h v a l e
loenguid	l o g o i
loodusesse	l o d u s 3 s a
loomingu	l o m i Ng~ u
läbiviimine	l 3 b i v i m i n e
lähme	l E h t i m e
maakondliku	m a k o n d l i k u
maalida	m a l i d a
maani	m a n i
maksimaalne	m a k S i m a l n e
meditsiin	m e d i i i n
meeldivat	m e e l d i v a t
meeskondade	m e k 3 n C k o n d a d e
meesterahva	m e k 3 n C e r a h v a
millisest	m i l l i s a* 7
mitmekümne	m i t m e k 3 m n e
moodustati	d u s t a t i
muidki	m u i d k i
määrust	m 3 r u s
mõjuvõimu	m o xy~ v o i m u
naasis	n a s i s
nooremaid	n o r e m e i
nutab	n u t a b "
nädalavahetuseks	n 3 d a l a v a h e t u s Nw~
nägemust	n 3 g e m u s
näpunäiteid	n 3 p u n 3 t e u k a i d
nõudmise	n u u d m i s e
nõudmistele	n u u d m i s t e a
omaaegne	t a g n e
omandi	o m a n d i
ostmas	o s t m a s i
paadis	p a a d i s
pahandas	p a h a n d a s
paigaldamine	p a i g a l d a m i n e
palgatõusuks	p a l g a t 3 u s u k
parajalt	p a r a q
parandusi	p a r a nd~ u s i
pastoraadis	p a s t o r a a d i s
patsienti	p a c i e n t i
pauku	p a u k u
peaksite	p e a k S i t e
pealtnägijaid	p e a l t n 3 g i j e i
peatükk	p e a t 3 k
pikale	p i k a l e
pimeduse	p i m e d u s e
pingereas	p i N e r e a s
presidendist	p r e s i d e n d i s
põgenikku	p o* N g e n i k k u
põllud	p o L u d
põrandat	p o* r a n
pürgiv	p 3 r g i
rahuldatud	y a w a l d a t u d
rahumeeli	y a w a s i n e l i
rahvuslikke	r a h b u s l i k k e
raudselt	r a u d s l 3
ravil	r a w i l
relvadega	r e l v a d e g a
rikutakse	r i k u t a k s e
rindu	r i n d u
räigelt	r 3 i g e l
saavuta	s a a b u t a
seadsid	s e a d s i d
seadusemuudatuse	s e a d u s e m u d a t u s e
seniselt	s e n a s l 3
sissepääsu	s i s e p 3 s u
sobivaks	s o b i v a k
spetsiaalne	s p e i a l n e
sportlik	s p o r L i k
suitsuandur	s u i c u a nd~ u r
sunniti	s u n n i t i
surmanuhtlus	s u r m a n u nth$ l u s
suvaline	s u b a l i n e
särab	s r a b "
särk	s r
sööki	s o  k i
sündmusest	s 3 nd~ s a* 7
süüdistatuna	s 3 3 d i s t a t u n a
taastub	t a s t u b
taimed	t a i m e d
taktikat	t a k 7 o t i m a
taotlemisel	t a o L e m i s
tasud	t a s u d
toimimist	t o m i m i s
totaalselt	t a t a l s l 3
traditsioonilist	tr~ a d i i o n i l i s
trahviga	tr~ a h v i g a
treeningutel	t h r e n i  t e l
triljoni	t r e l x o n i
trollid	t r o l l i d
tuletama	t u l e t a m a
tuletavad	t u l e t a v a d
tulevasele	t u l e b E s e l e
tutvustamine	t u t b u s t a m i n e
tähistavad	t a t i s t a v a d
täpseid	t 3 p e i d
tõik	t e m i k
tööriist	h a t 3 r i s
töötamiseks	h a t 3 t a m i s Nw~
töötatakse	h a t 3 t a t a k s e
töötuna	h a t 3 t u n a
umbusaldamise	u mb~ u s a l d a m i s e
usa	u s a
vahendaja	v a h e n d a h a
vaidlema	v a i d l 3 m a
valdkonnaga	v a l d k o* n a g a
valgeid	v a l g a i d
valges	v a l g e
valige	v a l i g e
valimisnimekirja	v a l i m i s n i m r j a
valmistuma	v a l m i s t u m a
valvab	v a l a a b "
vanameister	v a n a m e i s t e r e n
varandus	v a r a nd~ u s
varjatult	v a r j a t u l
vasaku	v a s a k u
vasakule	v a s a k u l e
vastakaid	v a s t a k a i d
vastastele	v a s t a s t e a
vastastikune	v a s t a s t i k u n e
vastutava	v a s t u t a v a
venis	f e n i s
veteranid	f e t e r a n i d
viieaastane	v i e a s t a n e
viime	v i m e
väiksemates	v 3 i k e m a t e
väljaandmise	v 3 lx~ a nd~ m i s e
väljaränne	v 3 lx~ a r a* d n e
väljaõpe	v 3 lx~ a o p e
värvida	v r i e v i d a
väärteomenetlust	v E r o m E n e  s
võtaksid	v n a k a k S i d
võtate	v n a k a t e
äriga	3 r i g a
öömaja	o  m a h a
üksuste	3 k s u s t e
ülikoolides	l i k o l i d e
ülioluline	l i  l i n e
üllatanud	l l a t a n u d
üritustest	3 r i t u s t e s
Aastaga	a s t a g a
Aaviku	a b i k u
Ainsana	s a n a
Allika	ly~ i k a
Astana	s t a n a
Austraaliasse	u s t r a l i a s s e
Avaldaja	v a l d a h a
EKNi	i
Erastamisagentuuri	r a s t a m i s a g 3 n t u r i
Fjuk	x u k
Foorumi	o r u m i
Heidy	e i d
Helve	3 l i N e
Inglismaalt	N l i s a l t a s
Interneti	t E r n
Iraanis	r a n i s
Jim	i m
Juhtus	a h t u s
Jumalal	u m a l a l
Juulis	u l i s
Kalana	a l a n a
Kalevile	a l e v i l e
Kataloonia	a t a l o
Kedagi	e d a g i
Kohtusse	o h E t u s s e
Konkurents	o k u r E nt~ u
Läbirääkimised	3 p e t e n 3 u m i s 3 d
Madonna	a d o* n a
Mõttus	n a k t u s
Müürsepa	3 3 r p e t e p a
Niina	i i n a
Pauli	a u l i
Pilistvere	i l i s t e r e
Rehe	e e
Roheline	h e l i n e
Rummu	l u m m u
Rutt	u t
Saad	k i m a t o
Samuel	a m
Soov	o N
Suviste	u w i s t e
Suzuki	u z u k i
Televisioonis	e l e i s i o " w i s
Tervis	e r v i s
Tüdruk	3 d r u k
Vanaema	a n a e m a
Vettel	e t
Volmer	o l a m e
Võrkpalli	o* r b i kp~ a ly~ i
aastalt	a s t a l
aastasadu	a s t a s a d u
abinõu	a b i n o* u
ajakirjale	s u l j a l e
ajakirjanikega	s u l j a n i k e g a
aktsepteerida	a k c e p % t e r i d a
alandamist	a l a nd~ a m i s
allikaid	a ly~ i k a i d
allikate	a ly~ i k a t e s
ametiaega	a m e t i a e g a
analüüsides	a n a l 3 3 s i d e
analüütiku	a n a l 3 3 t i k u
arendamisse	a r e n d a m i s s e
aruanded	a r u a n d e d
arvutist	a r b u t i s
asedirektor	a s  r e k t o r
asetas	a s e t o s
ausammas	a u s a m m a s
autoriteet	a u t o r i t a
avalikustatakse	a b a l i k u s t a t a k s e
avar	a b a r
dotsent	d o c e n t
eelnes	e l n i
eestvedajad	E k 3 n C b e d a q d
ehtne	e h t n e
ekspordist	e k s p o r d i s
eluaasta	e l u a s t a
erapooletuks	e r a  o l e t u k
erialade	e r i a l a d e
ettepanekule	e t p a n d o l o t e l e
fänne	f a* d n e
hakkamist	h a k k a m i s
hetkekski	h e t k e k u r
hinnalangus	h i n n a l a n g u s
hulgi	h u l g i
huvitama	h u b i t a m a
igatsus	i g a c u s
ilutulestiku	i l u t u l e s t i k u
investeeritakse	i n v e s t a i n i t a k s e
isikus	i s i k u s
jahe	y a e
jahi	y a h i
jutlustas	x u t l u s t o s
juubeliaasta	x u u b e l i a s t a
kaasaegsed	k a s a g e d
kahekordse	k a h e k o r d  e
kangelased	k a n g e l a s 3 d
karikasarjas	k a r i k a s e r j a s
kasulikke	k a s u l i k k e
keelduvad	k e e l d u b a d
kerkima	k e r  m a
kibestunud	k i b e s t u n u d
kiitus	k i t u s
kindralmajor	k i ndr$ a l C u k u
kingitust	k i N i t u s
kirjast	l  s d a
kividega	k i v i d e g a
klubist	k l u t
kodusid	k o t u s i d
kohtul	k o h t u l
kokkupuude	k o k k u p u d e
kollektsiooni	q u L Nw~ c i o n i
kommentaatorid	k o m e n t a t o r i d
konkurentidest	k o nk ~ u r e n t i d a* 7
korterites	k o r t e r i k m 3 s
kuriteoga	k u r i t e o g a
kuulumise	k u  m i s e
käigust	k a i g u s
käsul	k a e S u l
kõneldakse	k o i n e l d a k s e
kõneluste	k o i n e l u s t e
kõrvaldamine	k o i r v a l d a m i n e
küllaldaselt	k 3 l l a l d a s l 3
küüni	k 3 i i
lahendusega	l a h i e
laudas	l a u d 3 s
liiale	l i a l e
liiklusseaduse	l i i k l u s e a d u s e
linnajuhtide	l i n t u w nth$ i d e
linnaosade	l i n t u o s a d e
loodu	l o d u
lähebki	l 3 b a s k i
majanduslangus	C i d u s l a* x 3 s
maksimaalse	m a k S i m a l s e
maksukoormust	k s u k o r s
mehhanism	m e h a n i S m
moodus	d u s
märg	m a g w 7
mõisted	m o i s t i 3 d
mõnekümne	m o n e k 3 m n e
mõõdukalt	m o o d u k a l t a s
naiselt	n a a s l 3
noortekeskuses	n o r t E k E m E u r  e
nõusolekul	n u u s o l e k u l
ohtudest	o h E t u d a* 7
omase	e s e
omavalitsusel	t a v a l i c u s
orienteeruvalt	u r i n t e r u b a l t a s
pahandust	p a h a nd~ u s
paigutatakse	p a i g u t a t a k s e
pealtvaataja	p e a l t v a t a h a
peatuses	p e a t u e
piimatoodete	p i i m a t o d e t e
pillid	p i l l i d
pisikesed	p i s k i s i k e s 3 d
platvormi	p l a y i t v o r m i
poolsaarel	p o l  a r e l
populaarsemaks	p o p u l a r e m a k
prefekti	p r e f e k t i
profiili	p r o f u i l i
projektidele	p t o n o x e k t d e l e
projektidest	p t o n o x e k t d a* 7
prostitutsiooni	p r o s t i t u c i o n i
põhjenduseks	p o i e k
põlengust	p o l 3 N u s
põrganud	p o* r b i g a n u d
püstitanud	p 3 s t i t a n u d
rabas	r a b a s
rahapoliitika	r a h a p o l i i t i k a
rahuldamiseks	y a w a l d a m i s Nw~
rahulikud	y a w a l i k u d
rase	r a s e
raskendatud	r a s k e n d a t u d
reaalajas	r e a o i c
reaalses	r e a l e
registreerima	r e g % l u z e l i m a
reiside	r e i s i d e
riigikassa	r i g  k a s a
riigireformi	r i g  r e h m i
riiklikus	r i i k l i k u s
riiklikust	r i i k l i k u s
roolijoodiku	r o l i j o d i k u
rumala	r u m a l a
rüppe	a s p p e
saavutab	s a a b u t a b "
sajandite	s a j a n d i t e
selleski	s e l l e s k i
siirdunud	s i r d u n u d
sildid	s i l d i d
sirge	s i r a g e
soodsat	s o j a t
soomlastest	s o m l E s t e s
sotsialismi	c i a l i s m i
strateegilist	s t r a % t e x a C i w
suli	s u l i
sure	s u r e
suurriigi	s u r i g i
sõiduga	s o i d u g a
sõltuvust	s o l t u b u s
sõprus	s o p r u s
südamlik	s 3 d u a b u C o
taastamisel	t a s t a m i s
tabavalt	t a b a b a l t a s
takistused	t a k i s t u s 3 d
tasuvad	t a s u b a d
teadnudki	t e a d n d k i
teadvat	t e a d p a t
tegelen	t e g e l e n
teilt	t e i l
teleekraanil	t e l e n y r a n i l
telefonile	t e l e f o n i l e
teps	t e p
toiduained	t o d u a i n e d
toimingud	t o m i N u d
traditsioonide	tr~ a d i i o " w i d e
trepist	t r e p i s
tublide	t u b l i d e
tuhandele	a n d e l e
tunnetab	t u n n e t a b "
tunta	t u n t a
tutvub	t u t b u b
tuumarelva	t u m a r e l v a
tuvastamata	t u b E s t a m a t a
tähtsamaid	t E h t i m a sw~ i d
tõsidust	t e m i d u s
tõstmisega	t e m Sx~ C u w e
töötutele	h a t 3 t u t e a
tüdrukule	m a n t ndr$ p o l o t e l e
ujumise	a j i m i s e
unustab	u n u s t a b "
unustagem	u n u s t a g e m
uurimistöö	u r i m i s t o
vaatajale	v a t a j a l e
vaestele	v a e s t e a
vahistamist	v a h i s t a m i s
valimistulemusi	v a l i m i s t u  s i
vanglat	v a N l a t
vanima	v a n i m a
venda	f e n d a
viik	v i
vähemal	v 3 h e m a l
väline	v 3 l i n e
välismaalane	v 3 C i w a l a n e
väravaid	v 3 r a v a i d
väärtustab	v E r t u s t a b "
võistlustele	v o i s t l u s t e a
võistlustules	v o i s t l u s t u l e
võites	v o i t e
Ösel	s e l
üleandmist	u l e a nd~ m i s
ütlemine	u t l e m i n e
Afganistanist	f g a n i s t a n i S th~
Ajakirjanduse	k i r y a nd~ u s e
Alice	l i k e
Ani	n i
Ansipil	s i p i l
Arsenal	r e n a l
Arvata	g a r 3 a t a
Associated	a d a m i a t e d
Elan	l a n
Esialgne	s i a l N n i s
Glebova	l e b i v a
Golf	o l f
Heaks	e a k
Helenius	e l e n i u s
Hinrikus	i n r i k u s
Jaanika	a n i k a
Järsku	r i e k u e C a
Järvevana	r i e e v a n a
Keskkonnaameti	p i p 3 l 3 k o a m e t i
Keskkonnaministeerium	p i p 3 l 3 k o m i n i S t a i n i u m
Kiisleri	i s l e r i
Kuskil	u s a q i l
Lugedes	t u g e d e
Marcel	a r k
Mitmes	i t 8 i m 3 s
Moonika	o " w i k a
Märjamaa	r i e  a
Mõnele	h o* 5 e l e
Naiskodukaitse	a i s k o t u k a i 5 u
Nordica	u r d i k a
Näe	a g i
Nääs	3
Otepääle	t e p 3 l e
Paap	u t a l a
Paris	a r i s
Piiroja	i r o h a
Pruul	r u
Punase	u n a s e
Pühavaimu	3 a v a i m u
Raamatus	a m a t u s
Rahvusraamatukogus	a h s i k r a m a t u k o g u s
Rakverre	a k e r
Reigi	e i g i
Setumaa	e t u m a
Smith	m i
Soomel	o m e l
TOPis	i s
Tahad	a h a
Tallinnal	a l l i n t i
Teeb	a p
Tein	e i n
Temal	e m a l
Trivimi	r i v i m i
Tuleva	u l e v a
Vihuri	i h u r i
Vilmsi	i l m s i
abivajaja	a b i v a j a h a
aegne	a e N n i s
ahnus	a h n u s
ajateenijate	s u % t e n i j a t e
analüüse	a n a l 3 3 s e
arenev	a r e n e v
arvutiga	a r b u t i g a
augustikuu	a u g u s t i k u
austus	a u s t u s
ausust	a u s u s
autorile	a u t o r e l e
autorit	a u t o r i t
avaldame	a b a l d a m e
busse	s s e
diagnoositi	d i a g n o s i t i
dpa	d p a
ebakindlust	e b a k i n y l u s
eelistama	e l i s t a m a
eelistasid	e l i s t a s i d
eelkäija	e l k 3 i j a
eelõhtul	e l o nth$ u l
eirata	e i r a t a
eksivad	e k k u b " d
elanikelt	e l a n i k e l
enamvähem	e n a mv~ E h t i e m
erinevast	r i n e b E s
esituse	e s i t u s e
farmi	f a r m i
finantseerida	f i n a n s E r e r i d a
hammas	h a m m a s
headest	h e a d a* 7
helikopter	h e l i k o p t e r
hiina	h i i n a
hindate	h i n d a t e
häbiväärne	h 3 b i v 3 r n
hävitas	h 3 v i t a s
hääletamas	h 3 l e t o m o s
hüdroloogia	t a 7 i l o N i
ideedega	d e n d e g a
igatseb	i g a c e
illegaalse	i l l e 7 a l s e
immigrantide	i m m i g r a n t i d e
iseloomustada	a s l 3 o s t a d a
isiklikest	i s i k l i k a* 7
isiklikus	i s i k l i k u s
istumine	i s t u m i n e
jagame	y a g a m e
jalutas	y a l u t o s
joomine	x o 3 i n e
juhtudest	x u k i d u N a* 7
jumalat	x u m a l a t
jutus	x u t u s
jäme	x o m e
jätk	x o t
jõhker	h o i k a r
kahevõistluse	k a h e b o i s t l u s e
kallilt	k a l l
kannaks	k a k
kasutamisele	k a s u t a m i b s l 3 e
kasvatamisel	k a s v a t a m i s
kaubamärki	k a u b a m 3 r k i
kaupmehed	k a u p m e h e d
keldrist	k e l d r i s
kergitas	k e r g i t a s
keskendutakse	k e s k e n d u t a k s e
kiidetakse	k i  a S i a k s e
klassides	k l a s i d e
kodukandi	k o d i g l i
koguneda	k o g u n e d a
kohapealt	k o h a  a l t a s
kolmandad	k o l m o n d a d
konkreetsest	k o nk ~ h r e c a* 7
kontrollimise	k o nt~ r o l l i m i s e
korjab	k o r a b "
korvpallurid	k o r i t " u r t " u r i d
kroonide	k r o " w i d e
kujundamine	k u h u nd~ a m i n e
kujuneks	k u h u n e k
kultuuriväärtuste	k u l t u r i v E r t u s t e
kulutati	k u l u f n t a t i
kursustel	k u r s u s t e l
kurvis	k u r v i s
kuulsat	k u L s a t
käsitleti	k a s L e t i
käskkirja	k a e S k i r j a
kõrgliiga	k o i r L i g
küsiks	k 3 i k
lahendanud	l a h e n d a n u d
lapsevanemaid	l a p s v a n i m e i
liikumisest	l i k u m i s a* 7
likvideerimiseks	l i k v i d e l i m i s Nw~
linti	l i n t i
lisaeelarvest	l i s a e l a r e s d a
lukustatud	l u k u s t a t u d
läbisaamine	l 3 b i s a m i n e
maadevahetuse	m a y e b E h e t u s e
madalamaks	d a l a m a k
maestro	m a a* 7
manitses	n i t e
margi	m a* r g i
meeli	m e e l i
meenutasid	m e n u t a s i d
ministrina	m i n i u z i n a
missa	m i s s a
missuguseid	m i s s u g u s e i d
motiivid	m o t i i v i d
muretses	r e t e
mäletamist	m a g l e t a m i s
mõjuks	m o b a l
numbrile	n u mb~ r e l e
näikse	n 3 i k s e
nõudmist	n u u d m i s
nõustusid	n u u s t u s i d
odavaid	o d a v a i d
ohustada	h u s t a d a
oksjonile	o k cx~ o* n i l e
oktoobrit	o k % p e g i s r e
olemasolev	o l e m a s o l e v
oskate	o s k a t e s
ostame	o s t a m e
ostjat	o s t y a t
palgaraha	p a l g a r a h a
paljus	p a l h u s
peatreeneriks	p e a t h r e n e r i k
pensionisüsteemi	p e ns~ i o n i s 3 s t a i m i
pigistada	p i g i s t a d a
pinnast	p i s d a
plussi	p l u s s i
poisil	pw~ a s i l
pommid	p o m m i d
pooldas	p o l d 3 s
pressiteade	p r e s i t e u k a a d e
professionaalselt	p r o f e s s i o n a l s l 3
punktile	p u n k t l
pärand	p 3 7 r a n d
põhjustaja	p o h u s t a h a
põrand	p o* r a n d
pühkida	p 3 i k i d a
püüdlusi	p 3 3 d l u s i
rahvahääletus	r a h v a h 3 l e t u s
rahvuslikust	r a h b u s l i k u s
ratast	r a  s d a
reaalsete	r e a l e t e
reitingut	r e i t i N g u t
renti	r e n t i
rinnal	r i n n a l
räppar	r 3 p p a r
rühmituse	a s hm~ i t u s e
saast	s a s d a
sagedasti	s a g a d a s t i
sekku	s a q k u
seriaali	s e r i a l i
sobimatu	s o b i m a t u
sotsiaalhoolekande	c i a a L o l e k a nd~ e
sulest	s u l e s
säärast	s E r s d a
säästab	s 3 s t a b "
