të 	t 3
parashikime	p a r a s i k i m e
partneritetit	p e r t n e r i t e t i
pasioni	p a s i o n i
profesionit	p r o f i S i o n i t
prokurorinë	p r o k u r o r i
përkrahë	a p i r k r a e
përpiqej	a p i p i k a x
reflektohet	r e f l e k t o h e t
rrezikojmë	r m u  k o h m 3
rrugëtim	r e 3 i m
rrëzohet	r 3 z o h e t
sheshet	S  e t
shoqe	S o x e
shpejtësisë	s p e q y s i s 3
shpinën	S p i  n
shtojmë	S t o h m 3
shtyrja	S u h u j a
stomakut	s t o m a k u t
strehim	s t r e h i m
tensionin	t e s i o n i n
themelues	th~ e m 3 e l u e
ushtrimin	u s l i m i n
vendesh	f e n d e S
vjeçarin	v  a r i n
yndyrë	y ndy$ r 3
Akuzat	k u z a t
Alsat	l s a t
Australisë	u s t r a l i s 3
Bahtiri	a h t i r i
Bejrutit	j r u t i
Jozefina	o z e f i n a
Kanadaja	a n a d a h a
Kejvina	j v i n a
Komentet	e n t e
Komisariatin	o m i s a r i a t i n
Muaji	u a h i
Orban	r b a n
Programit	r o g r a m i t
Shaqir	h a q i r
Shqiptarëve	h e i p t a r e v e
Shuma	h u m a
Sinjali	y i n j a l i
Struga	t o u g a
Trepça	r e p a
Zhupa	h u p a
administrimit	a d m i n i u z i m i t
agjenti	y i n t i
atëhershme	a t 3 i* S m e
bijë	b i j 3
dokumentuar	d o k u m e n t u a r
duel	b i
dërgoj	d 3 r g o x
dëshmitari	d e s m i t a r i
ekzistencës	e k a u i n C i 3
fermerëve	f e r * 3 v e
forcon	f o r k o n
gazetare	g a z e t a r e
gjasave	gy~ a s a b e
gjend	gy~
gjyshja	g hy~ S j a
gjëje	gy~ 3 e
globit	g l o b i t
godasin	g o d a s i n
jashtëparlamentare	y a s t 3 p a l a m e n t a r e
konkurruese	k o nk ~ u r e s e
konsideroi	q o n i k i d e r o i
këngëtarët	k 3 n g 3 a r e
lavdishme	l a v d i S m e
llogariten	l l o g a r i t e n
llojeve	l p i r e
llojin	l i n
makineri	k i n e r i
mbulimin	b u l i m i n
mbyllej	b y L a x
modest	m o d a* 7
nderkohe	d i n b o e
ndihemi	n t i h e m i
ndërmarrja	nd~ 3 r m a r j a
ngarkesa	N a r k 3 s a
paralajmëruan	p a r a l a h m E r u a n
pastra	p a s t r a
peshkimit	p e S l o m i t
plotësohet	p l a l i y s o h e t
porta	p o t a
prokurorin	p r o k u r o
provimeve	p r o v i * v e
pushimin	p u S i m i n
përmbledhje	a p i r mb~ l e d e
rezistencën	r a  s t i n C i a n
sekondë	s e k o n d 3
shkas	S k a s
shkoje	S k o x e
shkonim	S l o d a N i m a
shprehja	S p r e h j a
shtresat	S t r e s a t
siklet	s i k l e t
terapisë	t e r a  s 3
thelbi	th~ e l b i
tjerave	ty~ E r a v e
tradita	i t r i w a
varri	v a r i
xhiruar	S b a a r i
zhvillojmë	z h v i l l o h m 3
Çili	i l i
Abu	b u
Arbërie	r b e r i e
Asani	s a n i
Dokumenti	o k u m e n t i
Dybala	y b a l a
Fico	i S
Kosovo	o s o w o
Krishtlindje	r i S L e j e
Ligue	i a
Mesa	e s a
Pagarusha	a g a r u s a
Park	a r
Pogba	o g i b a
Popullor	o p u l l o r
Rozafa	o z a f a n a
Serisë	r i s 3
Skandali	k a nd~ a r i
Un	n
ambulanca	a m b u l a C a
anuloi	a n u l o i
arrestohen	m a n e s t o h e n
artistja	i t i S th~ a
barazisë	b a r 3 a 3
betimit	b e t i m i t
bisedave	b i s 3 d a b e
deklarimit	d e k  m i t
duhan	d u h a n
dëshironin	d e s i r o n i n
filozofi	b i l o z o f i
grupmoshat	g a m y S a t
heshtin	h e S t i m a
infeksionist	i n f k S i o n i S th~
institutit	s t i t u t i
jetësor	h e t e s o r
kampit	k a m p i t
komiteti	k o m i t e t i
kompromisi	m i p r o m i
kursimet	k u r b u p e t
këndon	k 3 n t u n
këngëtaret	k 3 n g 3 a r e t
këshilltarët	k e s i l l t a r e
mbeturina	mb~ e t u r i n a
mbronte	mb~ r o n t e
mld	l
operuar	o p e r u a r
origjinal	u r i x j i n a l
parësor	p e r e s o r
provoi	p r o v o i
përgjigjem	a p i r gy~ i gy~ e m
përkthehet	a p i r k th~ e h e t
përmbajtja	a p i r mb~ a ty~ a
përmirësimit	a p i r m i r e s i m i t
qeshura	q o u r a
reciprocitetin	r E c i p r o k i t e t i n
rrethe	r  e
shembja	S e mb~ j a
shkrimtarit	S k l i m t a r i t
shtresa	S t r e s a
shërohet	e r o h e t
titujve	t i t u h v e
transmetim	i t r i s m e t i m
unitetit	u n i t e t i
universiteti	u n i v e r s i t e t i
vazhdimit	v a z h d i m i t
vrare	v r a r e
vështrim	v E n S t r e m
çerdhet	e r 8 e t
Albini	l b i n i
Autorët	u t o r e
Biznesit	i r n e s i t
Erjon	r cx~ o*
Fejzullahu	j z u y a u
Ftohtë	t o h t 3
Irakut	r a k u t
Khabib	h a b i
Kremlinit	r E m l i n i t
Mane	a n e
Mohamed	o h a m e d
Nikos	i k o s
Petro	a t 3 r o
Rinas	i n 3 s
Tensionet	e ns~ i o n e t
Vazhdon	a z h d o n
Vidal	i d a l
adresimin	a d r e s i m i n
akuzua	a k u z i
analizon	a n a l i z o n
arsyetim	a r S e t i m
atmosferën	a t n o S f e r e n
ballafaqim	b a l l a f a q i m
banojnë	b a n o x n E
bashkëpunojë	b a S i k 3 p u n o x 3
bazës	b a z 3
debutimin	d e b u t i m i n
disiplinore	d i s i p l i n o r e
disiplinë	d i s i p l i
eksperiment	e k 8 p e n e r i m E n t
ekuilibër	e k u i l i b e r
ekzistojë	e k a t o h 3
fluksin	f l u k s i n
fluturimi	f l u t u r i m i
formulë	f o r l 3
forte	f o r t e
fuqimisht	f u g w i m i sC~ t i
gjenerata	gy~ e n e r a t a
grumbullimit	g r u mb~ u L l i m i t
hyrëse	h 3 r e s e
importi	i m p o r t i
infektojnë	i n f k t o x n E
karakterizohet	k a r a k t E r i z o h e t
karburantit	k a r b u r a n t i
kontaktin	k o nt~ a k t n
kopshte	k o p t e
kriminelë	k r i m i n e l 3
kënaqshme	k 3 n a q S m e
këshilli	k e s i l l i
ligën	l i g a n
liqeni	l i k e n i
menaxhojnë	m E n a h o x n E
merita	m e r i k a
nata	n a t a
ndeshet	n a m a k e t
ndjesinë	n d h e s i
ndërhyjnë	nd~ 3 r i L
ndërhyri	nd~ 3 r h 3 r i
pamundurën	p a m u n d u r e n
parametrat	p a r a m E t r a t
poshte	p o s t e
presidenca	p r e s i d e n k a
procedohet	p r o k e d o h e t
pushkë	p u S k 3
përfaqësohet	a p i r f a 7 e s o h e t
rihter	r i k i a r
rrini	r i n i
sezonet	s e z o n e t
shkatërrues	S k a y r m 3 s
shprehim	S p r e h i m
strehë	s t r e e
tane	t a n e
term	t E r m
tjetrës	ty~ E t r e
universitetin	u n i v e r s i t e t i n
ushtrimit	u s l i m i t
veproni	f e p r o n i
zgjedhësve	z gy~ e d e s v e
zvogëlojnë	z v o gw~ 3 l o x n E
Ankarasë	Nk~ a d a C 3
Bidenit	d e n i t
Bylisi	y l i s i
Delegacioni	e l e 7 a c i o n i
Dritës	r i y
Elseid	l e i d
Flamur	l a m u r
Integrimit	nt~ g l i m i t
Marrëdhënia	a r 3 8 3 n i a
Minsk	s k
Objektivi	by~ E k E t i b i
Rashës	a e
Rrahman	r a h m a n
Rrugët	r u g 3
Shëndetësi	h 3 n d e t e s i
Superiorja	u p e r i o r j a
Sërish	3 r i S
Tedi	e d i
Vlerësimi	l E r e s i m i
Yjet	h e t
artikullin	i t i k u l l i n
asnjëra	a s T a r a
bandave	b a n d a b e
bashkëshoqëruese	b a S i k e s o x 3 r u e s e
botua	b o t u h a
bregdetar	b r e g d e t a r
brendësi	b r e n d e s i
celularë	C E l u l a r 3
cilen	i l e n
dakordësi	d a k o r d e s i
dinamike	d i n a m i k e
dinjitoze	d i n j i t o z e
draftin	d r E f t i n
fatalitet	f a t a l i t e
firmave	f E i r m a b e
fishekë	f i S e k 3
forcohet	f o r k o h e t
gjenocidin	gy~ e n o k i d i n
gjethe	gy~ e t e
gjigant	g j E g a nt~
harresë	h a r e s 3
hiç	h i
japoneze	y a p o n e z e
kanabisi	k a n a b i s i
kilogram	k i l o g r a m
konsensusin	q o n i k e s u s i n
kryesia	k r e s i a
kërcënojnë	k 3 r 3 n o x n E
këshillohet	k e s i l l o h e t
lehtëson	l e h t e s o n
lihen	l i h e n
liste	l i s t e
mahnitëse	m a n i t e s e
marta	m i t a
mbarimit	b a l i m i t
mureve	r E f e
ndalojmë	nd~ a r o h m 3
ndjekjes	n d h e k i
ndërmori	nd~ 3 r m o r i
ndërron	nd~ 3 r u
ngatërruar	g a t 3 r a r
ngjit	N j i t
palodhur	p a l o d u r
paqësor	p a q e s o r
paradite	p a r a d i t e
parakusht	p a r a  sC~ t i
parate	p a r a t e
parazgjedhor	p a r a z gy~ e d o r
parit	p a r i t
qeliza	q e l i c a
rreziqeve	r m u  E v e
shemb	S E m o
sheshit	S  i t
shkencë	S k i n C i 3
shpinë	S p i
siriane	s i r i a n e
skandalin	s k a n l i n
synonte	s  b u* d a k
telefonata	t e l e f o n a t a
tentim	t e n t i m
varreza	v a r r E z E
Android	ndr$ u i d
Aviacionit	v i a c i o n i t
Bundesligë	u n d e s l i g 3
Bytyçi	i t i r i
Dhimitër	h i m i y r
Egjipt	gy~ i p
Emergjencave	m e r g i n C i o
Gjyqtari	hy~ k t a r i
Granit	r a n i t
Haftar	a f t a r
InstaStory	s t a t o r
Islam	s l a m
Kapiteni	a p i t e n i
Lavrov	a b r o N
Liqeni	i k e n i
Lukaku	t u k a k u
Maturës	a t u r e
Napolin	a p o l i n
Pamje	a m e
Presidencë	r e s i d i n C i 3
Rimëkëmbjen	i m u k b by~ E n
Roland	o l a n d i g
Shijakut	h i  k u t
Singapori	i N a p o r i
Sonila	q o n i l a
Stafi	t a f i
Tema	3 m a
Teutën	u t e n
Urdhri	r d r i
Vejsiu	j s i u
autostradë	a u t o s t r a d 3
blerjeve	b l e r k u s k
blini	b l i n i
bllokuan	b l l o k u a n
bëheni	b e f e n a
dasmën	d a s m a n
dasmës	d a s m E
ecje	e k j e
etur	e t u r
femërore	f a m E r o r e
frigorifer	f x o r i f e r
gazetat	g a z e t a t
gjenocid	gy~ e n o C i g i
hungarez	h u N a r e z
identitet	d e n t i t e
impakt	i m p a k
interpretuar	i n t E r p r e t u a r
kancelaren	k a n C E l a r e
karakteri	k a r a k t e r i
klasik	k l a s i k
kontinent	k o nt~ i
liga	l i g a
ligat	l i g a t
luhatje	l u a jw~ e
moshuara	n o S w a r a
motivet	m o t i b e t
mëhershme	m E i* S m e
mëtutjeshëm	m E r o b o E e m
ndiqnin	n t i k n i n
ndërhyrjeve	nd~ 3 r h 3 r k u s k
numërimi	n u mp~ 3 l i m i
oksigjeni	o k s i gy~ e n i
operacionale	o p e r a c i o n a l e
paidentifikuar	p a i d e n t i f i k u a r
parimit	p a r i m i t
parqet	p e r X e t
pasluftës	p a s l u v a y
prekjes	p r e k i
propagandën	p r o p a g a nd~ 3 n
përgjegjësit	a p i r gy~ e gy~ e s i t
përgjigjemi	a p i r gy~ i j e m i
përmbytjet	a p i r mb~ 3 t
përqëndruar	a p i r X 3 n d r u a r
quante	k a n t e
repart	r e p i t
seancave	s e 5 u n k a b e
secilës	s e i l 3
shku	S k u
skaduar	s k a d u a r
skenarët	s k E n a r e
supozohet	s u p o z o h e t
talentet	t a l e n t e
thashetheme	th~ a Sy~ o th~ e m 3 n
themeluesit	th~ e m 3 e l u e s i t
thërrasin	th~ 3 r a s i n
tërmetet	y s a y m 3 t e
zbulohen	z l o h e n
zgjidhim	z gy~ i d i m
zymtë	z i m t 3
Bare	a r e
Inspektoratit	s p e k t o r a t i
Jugosllavi	u g o s l l a v i
Lacio	a c i o
Li	i
Linda	i n d a
Lushnjës	u s T a
Marrja	a r j a
Mirela	i r e l a
Motra	o t r a
Pashkëve	a S i k 3 v e
Rajoni	a x o n i
Shijak	h i j a k
Shqetësimi	h E y s i m i
Strategjia	tr~ a t e g a j
Xhaçka	h a
Zërin	3 n i n
analize	a n a l i z e
ankthin	a n k th~ i n
aparate	a p a r a t e
arkivat	a r k i v a t
autoritare	a u t o r i t a r e
botimin	b o t i m i n
botoi	b o t o i
burgjeve	b u r g k u s k
bëhem	b e h e m
degët	d e g 3
dhurojnë	T u r o x n E
diplomatë	d i p l o m a t 3
ditëlindje	d i y l i j e
dyshimeve	o S i * v e
elitare	e l i t a r e
elitë	e l i t 3
fabrikën	f a b r i k a n
fajësuar	f a e s u a r
gjenetik	gy~ e n e t i k
hoq	h o q
indeksi	i n d e k s i
industrial	u z i a l
ironizon	i r o n i z o n
kom	k o m
komenteve	m i e n t e v e
komentojë	m i e n t o h 3
koncesione	q o n i k u s i o n e
kryeparlamentarit	k r e p a l a m e n t a r i t
kurdo	k u r d o
këndshëm	k 3 n d e m
kërkese	k 3 r k e s e
lejimin	j m i n
mungonin	m u N o n i n
naftëtarëve	n a f y t a r e v e
ndërtuara	nd~ 3 r t u a r a
nisa	n i s a
njejta	nj~ j t a
njësitet	T a s i t e
optimistë	a t i m i s t 3
plazhe	p l a y i Z e
prodhuara	p r o t w a r a
pronësinë	p r o n e s i
provokim	p r o v o k i m a
pyeta	py~ e t a
përbënte	a p i r b 3 n t e
përgëzuar	a p i rx~ 3 z u a r
sigurimet	s i g u r i m e t
sondazhi	s o n d a Z i
telefonave	t e l e f o n a b e
themelua	th~ e m 3 e l u a
trajtojmë	a h t o h m 3
transmetojnë	i t r i s m e t o x n E
urtë	u r t 3
vendndodhjen	f e n d n t u c i
xhamive	S a m i v E
zbresë	z o*  3
çantën	a n t e n
Adrian	d r i a n
Bajden	c d e n
Bashkëpunim	a S i k 3 p u n i m
Biznesi	i r n e s i
Dalin	a l i n
Jordan	u r d a n
Karl	a r
Kazakistanit	l a u k a k i s t a n i t
Momenti	e n t i
Mërkuri	3 r k u r i
Street	a
Televizioni	e l e p i t e  o n i
Tokë	o k 3
Tropojë	r o p o h 3
Vuhan	a a n
afërmi	a f 3 r m i
agjencinë	y i n C i i
anijeve	a n i k u s k
argumentin	a r g u m e n t i n
banimi	b a n i m i
barrierat	b a r e r a t
bashkëbisedim	b a S i k e b z o i m a
blihen	b l i h e n
ciklin	T i k l i n
dekretuar	d e k r e t u a r
detyruara	d e t r u a r a
dhënia	dh~ 3 n i a
diktatorit	d i k t a t o r i t
djegie	a j i g i e
elita	e l i t a
emergjencave	E m E r x i n C i o
energjetike	e n e r gy~ e t i k e
formulën	f o r l a n
gjendeshin	gy~ E d i  n
hidhte	i d t e
investojë	i n v e s t o h 3
jan	y a n
kene	k e n e
klientit	k l i e n t i
kombetare	m i b e t a r e
kryeminister	k r e m i n i s t e r e n
kujtimi	k u h t i m i
kursen	k u r e n
lindjen	l i n d h e n
lirie	l i r i e
luash	l u a S
ndalesa	d a l 3 s a
ndikohet	n t i k o h e t
ndërpresë	nd~ 3 p r e s 3
pafundme	p a f u nd~ m e
pankinës	p a n k i
parkuar	p i a kw~ a r i
pjesshëm	ph~ e s e m
pushtimi	p u S t i m i
përcillet	a p i r i l l e t
përjashtimin	a p i r gy~ sC~ t i  m i n
përmbys	a p i r mb~ y
qark	q o m i 7
rishikimi	r i S i k i m i
shfrytëzim	S f hy~ y z i n h o
shfrytëzimit	S f hy~ y  m i t
shpërndajë	S a p i r nd~ a 3
shtesa	S t 3 s a
sjelle	s a q
stili	s t i l i
sundimi	s u n d i m i
udhëheqin	u d e i* m u a n
vargjet	v a r gy~ e t
veshë	e e
Danimarkë	a n i m a r k 3
Gjekmarkaj	h e k n a l i m a
Grenellit	r e n e ly~ i t
Gërxhaliu	3 r h a l i u
Infektivi	n f k t i b i
Kakavijës	a k a v i y 3
Mirosllav	i r o s y a
Muajin	u a j i n
Mësimi	e s i m i
Oriola	r i o l a
Patozi	a t u z i
Pogradecit	o g r a d e k i t
Roza	o y a 7
Rrëfimi	r 3 f i m i
Shehut	h e h u t
Sinan	i n a n
Task	a s k
Zëdhënësja	3 8 3 n 3 s a q
akademisë	a k a d e m i s 3
blertë	b l e r t 3
bllokojnë	b l l o k o x n E
celsius	C E l s i u s
cuar	k u a r
dalësh	d a l 3 S
derivateve	d e r i v a t e v e
destinacioni	d e s t i n a g a o n i
diele	d i e l e
donacione	d o n a g a o n e
dosjeve	d o s k u s k
dritarja	d r i t a r j a
etike	e t i k e
finales	f i n a l e
forcojnë	f o r k o x n E
formalisht	f o r m a l i sC~ t i
fusë	f u s 3
gjurmuar	gy~ u r m u a r
harkun	h a r k u n
hezitim	h e z i t i m
ikte	i k t e
informimit	i n h m i m i t
kapja	k a p j a
kolegu	k o l e x u
kuptonte	k u p t o n t e
kursit	k u r s i t
kërcënuese	k 3 r 3 n u e s e
kërkosh	k 3 r k o S
legjendës	l E g h nd~ 3
letërsi	l E y r S i
ligjshëm	l i gy~ e m
luftes	l u f t e
lëre	l 3
lëshime	l e s i m e
lëshuara	l e s u a r a
markës	m a* r k 3
mbijetesës	b i y e t e o
njëjtët	T a y
optimale	a t i m a l e
organizmi	u r g a n i z m i
pagjeturve	p a gy~ e t u r v e
pallateve	p a l l a t e v e
pastroni	p a s t r o n i
postit	p o s t i
produktit	p r o C u k t i
pronarin	p r o n a r i n
qershorin	E r T u r i n
rindërtimi	r i nd~ 3 r t i m i
sakrificës	s a q  k 3
segment	s e N m E n t
shfuqizuar	S pw~ m u a z u a r
shkuam	S k u a m
shqipes	S m u a p e 7 e s
shqyrtimi	S qy~ r t i m i
shum	S u m
sëmuren	o r e n
talentit	t a l e n t i
tanishëm	t a n i S b
teksti	t a k s t i
territoresh	t e r i t o r e s
trojeve	t r o k u s k
tubimeve	t u b i * v e
uria	u r i a
ushtrim	u s t r e m
vendorë	f e n d o r 3
viziton	v i z i t o n
vlerësoni	v l e r e s o n i
Aleancën	l E a*  a n
Ambasadën	b a s a d a n
Bloomberg	l o m b a rx~
Borxhi	u r h i
Dyshimet	y S i m e t
Etilda	t i l d a
Fusha	u s a
Grupet	n i n e t
Kanye	a n
Kolegji	o l e gy~ i
Koronavirusin	o r o n a b i r u s i n
Kthimi	th~ i m i
Mançester	a n e s t e r e n
Medvegjë	p i e d e gy~ 3
Modeli	o d e l i
Rrugës	r u g 3
Rugovës	u g o v E n
Sabri	a b " r i
Shqiptaret	h e i p t a r e t
Takimet	a k i m e t
Tomini	o m i n i
Vula	u l a
Vushtrri	u s tr~ r i
abuzimet	a b u s i m u e t
administratori	a d m i n i s t r a t o r i
ajrin	c n i n
arrestuarve	m a n e s t u a r v e
ashtuquajtura	n a N t a N s u b a r k t u r a
atin	a t i n
aviacionit	a g o y a c i o n i t
barazinë	b a r a z i
bashkangjitur	b a S k a N j i t u r
dallimi	d a l l i m i
daton	d a t o n
detyrojnë	d e t r o x n E
dominon	b o ndw$ a
dorezat	d o r e z a t
dërguara	d 3 r g u a r a
elektoratit	e l e k t o r a t i
fasoneri	f a s o n e r i
festojmë	f e S t o h m 3
fjalimi	fy~ a dl~ i m i
flenë	f l e n E
formula	f o r m u l a
foshnje	f o S nj~ E
gjetja	gy~  y a
gjoks	gy~ o k
gjykohet	g hy~ k o h e t
importeve	i m p o r t e v e
kafene	k a f e n e
katolik	k a t o l i k
kinema	k i n i m a
konsumatorit	q o n i k s u m a t o r i t
kontribute	k o nt~ b u t e
kornizës	k o r n i z 3
kritikët	k r i t i k 3
kryenin	k r y e n i n
lajmëroi	l a h m E r o i
majën	m a T a n
maleve	m a l e v e
menaxhojë	m E n a h o h 3
monedha	m o n e d a
mysafir	m 3 s a f i r
ngjeshur	N i  u r
nisen	n i S e n
pasigurisë	p a s i g u r i s 3
pasqyruar	p a s qy~ r u a r
pishinë	p i S i
pretendim	p r e t e n d i m a
provinca	p r o v i n k a
përgjigjën	a p i r gy~ i T a n
përpiluar	a p i p i l u a r
qëndrueshmërinë	q 3 n d r u e S k i S r i
reaguan	r e a g u a n
rrëfimi	r 3 f i m i
rrëfimin	r 3 f i m i n
ruaj	r u a x
shkrime	S k l i m e
solemne	s o l e m n e
stadiumet	s t a d i u m e t
thirret	th~ i r
tregtarët	t r e g t a r e
verifikimin	e r i f i k i m i n
vëzhgues	v E n C a
zjarreve	z y a r m e v e
ëndërruar	3 nd~ 3 r a r
Bilanci	i l a n k o i
Bulliqi	u l l i k i
Demokratët	e m o k r a y
Duma	u m a
Fushata	u s a t a
Guterres	u t e r
Kristo	r i s t o
Myrto	y r t o
Paulo	a u l o
Përfaqësuesja	3 r f a 7 e s u e s a q
Saint	i nt~
Shenja	h e n j a
Tëitter	d i t e t e r e n
Viola	i o l a
Xhensila	h e ns~ i l a
Zinedine	i n e d i n e
atmosferike	a t n o S f e r i k e
autobusë	a u  s 3
baktereve	b a k t E r E f e
bashkinë	b a S i k i
bio	b i o
bujqësinë	j k e s i
certifikuar	C E r   a kw~ a r i
civilëve	i v i l 3 v e
dhashë	dh~ a e
dinamikë	d i n a m i k 3
evropianët	p i r o p i a
falsifikuara	f a l s i f i k u a r a
funte	f u n t e
garancisë	g a r a n C i w 3
gram	g r a m
informatat	i n f o r m a t a t
jepja	h e p j a
kardiak	k a r dy~ a k
kontaktojnë	k o nt~ a k t o x n E
kthente	k th~ 3 n t e
kuzhinë	k u C i
marka	m a* r
mbart	b a r
mbash	b a S
mbyllte	b y L t e
menduarit	m e n d u a r i t
naftëtarët	n a f y t a r e
namazit	n a m a z i t
ndodhura	d o d u r a
ofruan	o f r u a n
pensionistëve	p e ns~ i o n i S y v e
planetin	p l a y i n e t i n
poshtme	p o s k i m e
pranimi	p r a n i m i
përafërsisht	a p i r a f 3 s i sC~ t i
përballej	a p i r C i C j
përfaqësim	a p i r f a 7 e s i m
përplasjeve	a p i r p l a n i n s k u s k
përsëritura	a p i r o r i t u r a
riun	r i u n
shiti	S i t i
socialistëve	s o k i a l i s y v e
strukturore	s t r u k t u r o r e
studentore	s t u d e n t o r e
substanca	s u b s t a C a
tend	t a n
theksuara	th~ e k s u a r a
van	v a n
vendbanimit	f e n d b a n i m i t
veshkave	e S k a b e
vetëdijen	e y d i g i y e d o
vezët	v e z d 3
votimet	v o t i e
zbret	z o*
zbriti	z o* i t i
zvogëlon	z v o gw~ 3 l o n
zëvendësimin	z 3 e nd~ 3 m i n
Çitaku	i t a k u
Ambasadorin	b a s a d o r i n
AstraZeneca	s t r a i N o j a
Audi	u d i
Bale	a l e
Baton	a t u n
Dortmundit	u r t nd~ i t
Festivali	e s t i v a l i
Izolimi	z o l i m i
Joshua	o s w a
Kristiano	r i s t i a
Kursimeve	u r b u p e v e
Man	a n
Opozitës	p o  y
Paralajmërimi	a r a l a h m E l i m i
Roberti	o b e r t i
Rritet	r e
Sevilla	p i r i l l a
Shkëndija	h 3 n d i j a
Shërbimin	e r  m i n
Valbona	a l b o n a
Zgjedhja	gy~ e d j a
akorduar	a k o r d u a r
arrestit	m a n e s t i
artistit	i t i s t i
asimptomatikë	a s i m p t o m a t i k 3
bankën	b a n k a n
barazoi	b a r a z o i
bore	b o r e
dendura	d e nd~ i r a
drama	d r a m a
dëshmorët	d e s m o r e
ekuilibrin	e k u i l i b n i n
eurot	u o t
faktorit	f a k t o r i t
famëkeq	f a m e k a q
fokusin	f o k u s i n
grumbulluara	g r u mb~ u L l u a r a
hulumtimi	h u l u m t i m i
identifikohet	d e n t i f i k o h e t
infrastruktura	i n f r a s t r u k t u r a
intelektualë	i n t e l e k t u a l 3
inteligjent	i n t e l i gy~
iranianë	i r a n i a n E
jetosh	h e t o S
kalendarit	k a l e n e
kapiten	k a p i t e n
kombet	m i b e t
kryeministrat	k r e m i n i s t r a t
kryetarë	k r e t a r 3
kurbës	k u r b e
kushti	k u S t i m a
këndvështrimi	k 3 n d v E n S l i m i
licencuar	l i C E n kw~ a r
lumë	l u m 3
mafioz	f i o n s
mat	m a t
mendjes	m e n d h e
minimalisht	m i n i m a l i sC~ t i
mosmarrëveshjeve	n o S r 3 e S k u s k
mërkura	m E r k u r a
n	n
ndoqën	d o x a n
ndryshuan	ndr$ u
ndërpreu	nd~ 3 p r e u
normaliteti	n o r m a l i t e t i
padiskutueshëm	p a d i s k u t u e e m
periudhat	p e r i u d a t
pinë	p i
prekën	p r e k a n
premtues	p r e m t u e
projektligjit	p t o n o x e k L e gy~ i t
