je 	j e
okoliša	o k o l i S a
okružuje	o k r u Z u v i e
oksid	o k s i d
ose	o s e
osoblje	o s o b l a e
osvajanjem	o s v a j a n j e m
ovakve	o v a k v e
ovome	o v o m e
paru	p a r u
plinova	p l i n o v a
pojavile	p o x a v i l e
potok	p o t o k
preživljavanje	p r e Z e i v lx~ a v a n j e
prihvatila	p ry~ h u i l a
prihvaćena	p r i h v a Cy~ e n a
primiti	p l i m i t i
promociju	p r o m o k i j u
radnja	r a d n j a
rasa	r a s a
razgovor	r a z g o v o r
različitog	r a z l i % C i t u
rekorda	r e k o r d a
roka	r o k a
satima	s a t i m a
savladao	s a b l a d a o
seksualnog	s a q s u a l n o g
sestara	s e s t a r a
shvatiti	s a f a t i t i
sindromom	s i n o m
sljedećem	s lx~ e d e Cy~ e m
slojevi	s p i r i
smiju	s m i j u
stabilan	s t a b i l a n
stijenama	s t i j E n a m a
stuba	s t u b a
suprug	s u p r u g
tehničke	t e h n i % C k e
traju	i t r i c u
ubrajaju	u b r  s u
udruženje	u d r u Z e o k o
ulicama	l i k a m a
uništava	u n i S t a v a
unos	u n o s
upravljao	u p r a v x w
uputio	u p u t i o
uspjehom	u s p h o m
ustima	u s t i m a
usvojen	u s v o x e n
vanjsku	v a n j k u e C a
varijable	v a r i j a b l e
vidljiva	v i d l x i v a
vladavinu	v l a d a v i n u
voz	v o
zaliv	z a l i
zanimanje	z a n i m a n j e
zauzeti	z a u z e t i
ću	Cy~ u
članstvo	C nz~ i s t v o
šalju	x o a l C u
šoka	x o k
živote	Z e i v o t e
Bihać	i h a Cy~
Eduard	d u a r d
Hitler	i L e r
Istočne	s t o C n e
Kup	u p
Manje	a n j e
Mastersu	a s t E r s u
Mount	o u n t
Njemački	j e m a C u k i
Odnos	d n o s
Ostrvo	s t r i o
Ovom	v o m
Papa	a p a
Pavla	a b l a
Poljskoj	o lx~ s k o x
Sjedinjene	h e d r o n o x e n e
Voldemort	o l d e m o r
Washington	a S i N r t o n
Zapravo	a p r a v o
aktivnih	a k t Ng~ e n i
atmosferu	a t n o S f e r u
bitci	b i t i
bogati	b o g a t i
dizajnirao	d i z a x n i r a o
dogodila	d u g u 7 d i l a
ekrana	e k r a n a
finansija	f i n a s i j a
gimnaziju	g i m n 3  d u
građena	b o ch~ 8 e n a
grobova	g r o b o v a
imovine	i m o v i n e
inteligencije	i n t e l i g 3 n C i g i y e
ioni	i o n i
jedinstvene	a l  s t f e n e
južnog	x u Z e n o g
kanalu	k a n a l u
karakterističan	k a r a k t E r i s t i % C
karakteristične	k a r a k t E r i s t i % C n e
košarci	S i r i
kratak	k r a t a k
kritičar	k r i t i % C a r
krvne	k r E f n e
listovima	l i s t o w i m a
lošeg	 S e g
maksimalno	m a k S i m o l
metabolizma	m e t a b o l i z m a
međunarodna	m e 8 u n a r o d n a
modele	m o d e l e
napon	a pw~ o n
narodima	n a r o d i m a
nestao	n e s t a o
nikakav	n i k a k a
nominiran	n o m i n i r i
obrađuje	o b r a 8 a j e
odlukom	o d l u k o m
odvodi	o d v o d i
onome	n o m e
optički	o p t i c C u k i
organizacijama	u r g a n i z a C i g i y a m a
ovako	o v a k o
parku	p e r k u
perzijske	p e r a s k e
ploda	p l a l i d a
pobjegne	p o by~ E N n i s
podignut	p o d i g i E 5 u t
podjednako	p o g o n a k o
pol	p o l
pomoćnik	p o m o Cy~ n i k
potpredsjednika	p o t p r e j u n d n i k a
poznatiji	p o z n a t a l w a
početne	p o C e t n e
prateći	p r a t e Cy~ i
predstavljalo	p r e d s t a b l q
predstavljati	p r e d s t a b lx~ a t i
prelaska	p r e l a s k a
prepreka	p r e p r e k a
pretvoriti	p r e t v o r i t i
pritoke	p r i t o k e
proizlazi	p r o i z l a z i
prošla	p S l a
ruda	r u d a
seksualno	s a q s u a l
sirovina	s i r o v i n a
slijedeći	s l i j E d e C u i
slikar	s l k a r
snimljena	s n i m lx~ e n a
spojeve	s p o k u s k
spriječio	s p r i j E C i o
stakla	s t a q
stanicu	s t a n i k u
stoje	s t o x e
stručnjaka	s t r u C nj~ a k a
sudbina	s u d b i n a
svemiru	s Ng~ e r e p e r u
tačkama	t a % C k a m a
temelj	t e m e l x w
temelja	t e m e l x w
udjela	w a j i l a l
uglja	u L j a
unutrašnju	u n u tr~ a S n c u
uranija	u r a n i j a
uređaje	u r E 8 a e
uspostavlja	u s p o s t a b lx~ a
vreme	v r e m e
vrhovni	v r o b n i
zajedničkih	z a x e d n i % C k i
zajedničku	z a x e d n i C k u
zvanom	z v a n o m
čitave	C i t a b e
živ	Z e i
Finale	i n a l e
Holmesa	o l y m 3 s a
Međunarodna	e 8 u n a r o d n a
Moskvi	o s k w i
Murray	u r a y
Nogometni	g o m e t n i
Poljska	o lx~ u r
Razlika	a z l i k a
Rimljana	i m lx~ a n a
Sad	a d
Skoro	k o r o
Srbiju	r b i j u
Srednja	r e d n j a
Walter	a l t e r
alge	a l g e
bod	b o d
borili	b o r i l i
boriti	b o r i t i
domaćem	b a C u e m
dostići	d o s t i Cy~ i
državnim	d r Z e a b n i m
epitela	a p i t e l a
htjeli	h ty~ E l i
istina	i s t i n a
izazov	i r a z o N
izazvala	i r a z v a l a
izašla	i r a S l a
izbjeći	i r by~ E Cy~ i
jasna	y a s n a
klasičnog	k l a s i C n o g
komandu	k o m a n d u
komercijalno	k o * r i j a l
komora	k o m o r a
mehanizama	m e h a n i z a m a
miru	m i r u
monarhije	m o n a r i j e
mozaika	m o z a i k a
mrežnjače	m r e Z e nj~ a % C i
nacionalnu	n a g a o n a l n u
najpopularnijih	n a x a p o p u l a r n i j i
naoružanja	n a o r u Z e a n j a
nesreći	n e s a x i
oblaka	o b l a a k a
oboljenja	o b o l x e n j a
oksida	o k i d a
ostacima	o s t a k i m a
otvaraju	o t b a r a C u
podloge	w a b l a l i g e
pogodak	pw~ a k a t a k
poslovne	p o s v e l o v n e
postavila	p o s t a b i l a
potpisivanja	p o t s p i s i v a n j a
potpredsjednik	p o t p r e j u n d n i k
preuzeli	p r e u z e l i
prostorijama	p r o s t o r i j a m a
radije	r a d i j e
razina	r a z i n a
režiji	r E Z e a ly~ w a
rješavanje	r h S a v a n j e
ruskom	r u s k o m
samostalna	s a m o s t a L n a n
sastojaka	s a s t o x a k a
sačuvan	s a C u w a n
selekcije	s e l e k C i g i y e
silom	s i l 3 m
skupova	s k u p o v a
slab	s l a b "
slaba	s l a b a
sljedeća	s lx~ e d e C u a
sredina	s r e d i n a
starijim	s t a r i j i m
sudbine	s u d b 3 n i 7
svjedoče	s v u n d o C e
svrha	s v n
televizije	t e l e p i t e  dy~ e
ulogama	u l o g a m a
uzastopnih	u z a s t o p n i
verzijama	e r  c a m a
većom	e Cy~ o m
vlage	v l a g e
vlastitih	v l a s t i t i h
zahtijevao	z a h t e p i r a o
zglob	z g l o b
zlatni	z l a t n i
zvane	z v a n e
čitati	C i t a t i
Carl	a r
Chris	h r i s
Edvard	d v a r d
Gornje	u r nj~ E
Kraljevstvu	r a l k u s Sx~ b u
Oblik	b l i k
Popis	o p i s
Prvoj	g a r 3 n d a
Roland	o l a n d i g
Svake	v a k e
Uloga	l o g a
Vrhovni	r o b n i
bosanskohercegovački	s a s k o h e r e g o b a % C k i
crnom	k r n o m
di	d i
domaćeg	b a Cy~ o g
drvenih	d r f e n i
dublje	d u b l a e
januar	h a n u a r
jednostavna	h e d n o s t a b n a
kanale	k a n a l
kineski	k i n a e s k i
kiselinu	a s l 3 i n u
kolo	k o l o
koncentraciju	q o n i k C E n tr~ a c i j u
krenula	k r E n u l a
lijevu	l i j E b u
lični	l i % C n i
loze	l o z e
meso	m e s o
mnogobrojnih	m n o g o b r o x n i
mostova	s t o w a
muzičkoj	m u z i % C k o x
namjene	n a m E n E
namjerom	n a m E r o m
napadaju	n a p a d a u
napasti	n a p a s t i
naseljenih	n a s l 3 E n i
nastave	n a s t a b e
nastupe	n a s t 3 p i
neuspjeha	n e u s p h a
nikakvu	n i k a k b u
nogomet	n o g o m e t
obuku	o b u k u
odigrale	o d i g r a l e
odluči	o d b % C i
odvajanje	o d v a j a n j e
organizira	u r g a n i z i r a
otoku	k o t o k u
pjevačica	ph~ p i r a C i k a
planirano	p l a y i n i r o
plazmi	p l a y i z m i
pobjednici	p o by~ E d n i C i
poeziju	p o a  d u
pomogla	p o m a m l a
potpuni	p o t p u n i
premijerno	p r e m i y E a n o
preći	p r e C u i
pristaje	p r i s t a e
producirao	p r o C u l a o
radija	r a d i j a
radnih	r a d n i
rastom	r a s t o m
razinu	r a z i n u
razna	r a z n a
repa	r e p a
revolucija	r E f o b e l i j a
saradnika	s a r a d n i k a
saznanja	s a z n a n j a
sjedištem	s a q  S t e m
sjeme	s a q e m e
sjevernog	s k u s k r n o g
snažne	s n a Z e n e
sovjetskih	s o w h c k i
specifičnim	s p e k  % C n i m
spojeni	s p o x e n i
sportske	s p o r c k e
središnji	s r e d i S nj~ i
stigne	s t i N n i s
stvarni	s t v a r n i
trgovačke	tr~ g o b a C k e
tumači	t u m a C i
uništio	u n i S t u o e
uspijevaju	u s p i p i r a C u
utvrde	u t v r d e
uvid	u w i d
višeg	v i S e g
viših	v i S i
vojnike	v o x n i k e
zapis	z a p i s
Ćelije	e l i j e
četvrte	C e t v r t e
čuti	C u t i
Život	i v o t
željezo	Z e n lx~ d o
životnih	Z e i v o t n i
Amerikanci	m e r i k a n C i
Crvene	r f e n e
Kipar	i p a r
Makedoniji	a k e d o* a l w a
Me	e
Muslimani	u s l i m a
Nadimak	a d i m a k
Nagrada	a g r a d a
Otprilike	t p r i l i k e
Pritom	r i t o m
Službeni	l u Z e b e n i
Tvrđava	v r 8 a v a
arheološki	a r u o r S k i
cvjetove	k v E t o w e
dalo	d a l o
datuma	d a t u m a
definiciji	d e f i n i C a l w a
dvora	d v o r a
ekonomskim	e k o n o m s k i m a
električnu	e l e k t r e % C n u
funti	f u n t i
glavnoj	g l a v n o x
gnijezda	g n i y e z d a a
greška	g r e S
imanja	i m a n j a
ispravno	i s p r a v n o
istoimene	i s t o i m E n E
izgrađeno	i r b o ch~ 8 E n o
izloženi	i r L o Z e n
klavir	k l a v i r
ključnu	k l xy~ C n u
kontroli	k o nt~ r o l i
kvalificirala	k v a l i f i l a l a
lišća	l i S Cy~ a
ljudsku	L w a k u e C a
maksimalni	m a k S i m a l
muslimanima	s l i m a n i m a
najmanji	n a x a
napredovanje	a pw~ r e d o v a n j e
nazvano	n a z v a n o
negativni	n e g a t i b n i
neprijateljskih	n e p r i j a t e l X s k i
nikako	n i k a k o
obaveze	o b a v e z d e
odgovarajućih	o d g o b a r a h u C u i
odsustvo	o d s u s t v o
ograničeno	o g r a n i % C i n o
općeg	o p Cy~ o g
osamdesetih	o s a l a b e t i h
ostaviti	o s t a b i t i
partiji	p e r t a l w a
pasa	p a s a
planirao	p l a y i n i r a o
platiti	p l a y i t i t i
ples	p l a m 3 s
pokrivaju	p o k r e  s u
poljoprivrede	p o lx~ o p r i v r e d e
popularni	p o p u l a r n i
porasta	p o r a s t a
poraženi	p o r a Z e n
povuče	p o b u % C i
počast	p o C s d a
pravima	p r a w i m a
pravljenje	p r a v lx~ o k o
prašine	p r a S i n e
prenijeti	p r e n i y e t i
preostale	p r e o s t a l e
prepoznaju	p r e p o z s u
primjenom	p l i m E n o m
princeze	p r i n k d e
protesta	p r o t e s t a
proširenja	p S i r e n j a
prošli	p S l i
punih	p u n i
pustinje	p u s t i n j e
radna	r a d n a
reputaciju	r e p u t a k i j u
rijedak	r i j E d a k
rimskom	l i m s k o m
savezna	s a v e z d n a
serijala	s e r i j a l a
služiti	s l u Z e i t i
spomenuti	s p o m E n u t i
srpskim	S p s k i m a
stazi	s t a z i
strategije	s t r a t e g i j e
stupio	s t u p i o
susjedne	s u s u n d n e
susreću	s u s r C u u
svjedoči	s v u n d o C i
tad	t a d
teret	t e r e t
trajanje	i t r i j a n j e
trenutni	w a m i n u t n i
učestvovale	u C e s t v o w a l e
učinili	u % C i n i l i
valuta	v a l u t a
valute	v a l u t e
visinama	v i s i n a m a
vremenskom	v r E m E n s k o m
zatvaranja	z a t b a r a n j a
zidina	z i d i n a
čvrste	C v s t e
šahu	x o a u
Adam	d a m
Alice	l i k e
Američka	m e r i % C
Brzina	L i n a
Davis	a v i s
Jugoslaviju	u g o s l a v i j u
Južna	u Z e n a
Kanade	a n a d e
Karijeru	a r i j E r u
Konstantina	o s t a n t i n a
Međunarodnog	e 8 u n a r o d n o g
Nacionalna	a c i o n a L n a n
Put	u t
Sjevernog	p i r E a n o g
Turaka	u r a k a
alat	a l a t
baca	b a k a
boravio	b o r a w i o
bočno	b o C n o
današnja	d a n a S n j a
desetine	d e s e t i n e
djed	g o
drugačija	d r u g a % C i j a
drvenim	d r f e n i m
duhu	d u h u
elektroni	e l e k tr~ u
eventualno	p i r 3 n t u a l
evropskom	p i r a z s k o m
internet	i n t E r n
intervencije	i n t E r f e n C i g i y e
ion	i o n
izbjeglica	i r by~ E g l i k a
izdvojiti	i z d a v o h i t i
iznosu	i r n o s u
izrađena	i r r a 8 e n a
izuzetak	i r u z e t a k
izvoz	i z v o
književne	k nTy$ E Z e n v n e
komad	m i d i b
komedija	m i e d i j a
komponovao	k o m p o n o w a o
komunista	m i u n i S th~ a
konferencija	q o n i k f m i n C i g i y a
koristilo	k o r i s t i l o
kriza	k r i c a
kugle	k u g r e l e
lancu	l a n k u
lobanje	l o b a n j e
manifestacija	n i f e s t a k i j a
medicinski	m e d i k nsw$ i s i
međunarodnu	m e 8 u n a r o d n u
molekuli	o l k u l i
muških	m u S k i
nalazimo	n a l a z i m o
nedaleko	n e d a l e k o
neutrona	n e u t r o n a
obilježje	o b i l q Z e e
ocjenu	T E n u
onoj	r o n o x
osiguranja	o s i g u r a n j a
ostatke	o s t a t k e
otišli	o t i S l i
očigledno	o C i l e d n o
pismu	p i s k i s m u
planetu	p l a y i n e t u
plodova	p l o d o v a
pojavljivanje	p o x a b l x i v a n j e
poljoprivrednih	p o lx~ o p r i v r e d n i
porez	p o r e z
potpuna	p o t p u n a
potragu	p o t r a g u
pouzdano	p o u  d a
preimenovan	p r e i m E n o w a n
prihvati	p r i h v a t i
prijateljima	p r i j a t e l j i m a
primjerci	p l i m E r i
proizvođač	p r o i z v o 8 a C
prosječne	p r o s h C u n e
proteinima	p r o t e i n i m a
radnji	r a d nj~ i
rastao	r a s t a o
ratnim	r a t n i m
ravnice	r a w n i k e
sadržajem	s a d r Z e a x e m
saradnik	s a r a d n i k
serijama	s e r i j a m a
setu	s e t u
sjaja	s a q a h a
snimanju	s n i m a n j u
spontano	s p o nt~ a
sposobni	s p o s o b n i
svakodnevno	s v a k o t N u s n o
svemir	s Ng~ e r e p e l
takozvani	t a k o z v a n i
tereta	t e r e t a
trend	w a m i n d
trojica	t r o h i k a
uha	a a
umjetničkog	u m E t n i C u kp~ i N
uređenje	u r E 8 o k o
uzoraka	u z o r a k a
vijekovima	v i y e k o v i m a
zabilježeni	z a b i l h Z e n
zadnja	z a d n j a
zaključuje	z a k l xy~ C a j e
zapisa	z a p i s a
zatvorene	z a t v o r e n e
željela	Z e n l r o n o x e l
željeznička	Z e n lx~ d n i % C
Ahmed	hm~ 3 d
Billy	i ly~
Clark	l a r
Dobio	o b i o
Doduše	o d u S e
Fakultet	a k u l t e
Football	o t b o l
Igrač	b o ch~ C
Količina	o l i C i n a
Lewis	e w i s
Michaela	i C a e l a
Njihovi	h i h o w i
Save	a b e
Spomenik	p o m E n i k
Starog	t a l u
Svojim	v o h i m a
Visokom	i s o k o m
Zapadni	a p a d n i
bivšim	b i v S i m a
bliski	b l i s k i
bolešću	b o l e S Cy~ u
budućeg	b u d u C u o g
crveno	k r f e n o
dama	d a m a
debljina	d e b lx~ i n a
definitivno	d e f i n i t i b n o
divljini	d i b l j i n i
dovoljna	d o v o l x n a
dođu	d o 8 u
državnu	d r Z e a b n u
elektronske	e l e k tr~ u s k e
epizodu	a p i z o d u
festivalima	f e S t i v a l i m a
fond	f o n d i
fotografija	f o t o g r a f i j a
funkcionira	f w o m i a r a
inhibira	h i b i r a
izdavanja	i r d a v a n j a
izgradnjom	i r b o ch~ d nj~ o m
iznutra	i r n u t r a
jedu	h e d u
katolika	k a t o l i k a
kičmenjaka	k i C m E nj~ a k a
koledž	k o l e d Z e
komedije	m i e d i j e
komitet	k o m i t e
koža	k o Z e a
lijepo	l i j e p o
lovac	l o v a k
muslimanskih	s l i m a s k i
nadzorom	n a d z o r o m
naizgled	n a i z g l e d
najvećem	n a x a e Cy~ e m
napravljeno	a pw~ r a v lx~ E n o
naslijediti	n a l i j E d i t i
nastupila	n a s t u p i l a
neophodna	n e o f o d n a
obilježava	o b i l q Z e a v a
oblikom	o b l a i k o m
odigranih	o d i g r a n i
ogromna	o g i r o m i a
opcija	o p C i g i y a
orbitale	u r b i t a l e
osjećaja	o s h x a h a
oslobađaju	o s l o b a 8 s u
otok	k o t o k
pohod	p o h o d
pokrenut	p o k r e n u t
polazi	p o l a z i
političara	p o l i t i C a r a
političkoj	p o l i t i % C k o x
poremećaji	p o r E m E Cy~ h a u
poslala	p o s l a l a
poslužiti	p o s l u Z e i t i
postupno	p o s t u p n o
potvrdila	p o t v r d i l a
poveća	p o p e m u Cy~ a
pozitivna	p o z i t i b n a
presjeka	p r e s o x e k a
pretpostavke	p r e t p o s t a b k e
prijevodu	p r e p i r o d u
prikazivanje	p r i* kh~ a z i v a n j e
proglašava	p r o g l a S a v a
proizvodima	p r o i z v o d i m a
rub	r u b
rudnika	r u d n i k a
saveznici	s a v e z d n i C i
seksualne	s a q s u a l
sestrom	s e s t r o m
simboli	s i m b o l 3 N
soba	s o b a
sočiva	s o C i v a
spasi	s p a s i
spojevima	s p o p i r i m a
srži	s r Z e i
stalne	s t a l
stambenih	s t a m b e n i
standarde	s t a n r d e
staro	s t a r o
susjednim	s u s u n d n i m
tajno	t a h n o
topova	t o p o v a
trofeja	t r o f e h a i
ujedinjenje	u h e d i nj~ o k o
ukupnim	u k u p n i m
ulaganja	u l a g a n j a
uočiti	u o C i t i
uzgoj	u z g o x
učenju	u % C i n c u
važnim	v a Z e n i m
vezanih	v e z d a n i
vlastitom	v l a s t i t o m
vremenima	v r E m E n i m a
zadatke	z a d a t k e
zapadnih	z a p a d n i
zatvoreni	z a t v o r e n i
zbivanja	z b i v a n j a
Čelik	e l i k
četvrto	C e t v r t o
Gradina	r a d i n a
Ibrahim	b r a h i m
Igrači	b o ch~ % C i
Istočni	s t o C n i
Jones	o i
Ligu	i x u
Male	a l e
Niko	i k o
Odatle	d a
Prethodno	r e t h o d e n o
Ray	a y
Rio	i o
Simptomi	i m p t o m i
Stanovnici	t a n o w n i C i
Ugarske	g a r S k e
biatlonu	b i a t l o n u
biskup	b i s k u p
dešavanja	d e S a v a n j a
djecom	d h e k o m
djelom	d h e l o m
djelovao	d h l o v e l o v a o
du	d u
evropska	p i r a z u r
glumila	g l u m i l a
govoru	g o b o r u
gradsko	b o ch~ j k o
hemije	h e m i j e
hrvatskom	h r v a c k o m
istočnog	i s t o C n o g
izdvajaju	i z d a v a q C u
izotopi	i r u t u p i
izražena	i r r a Z e n
jedra	h e d r a
kakva	k a k v a
kiša	k i S a
ključne	k l xy~ C u n e
koncertu	q o n i k z i r t u
kvalitete	k v a l i t e t e
latice	l a t i k e
lijekovima	l i j e k o v i m a
ljeti	l x e t i
lošem	 S e m
masovno	s o w n o
modifikacija	m o d i f i k a c i j a
naselili	n a s e l i l i
neovisno	n e o v i s n o
objave	o by~ o
odustao	o d u s t a o
ogledala	o g i l e d a l a
olakšava	o l a k S a v a
opremljena	o p r e m lx~ e n a
organizuje	u r g a n i z a j e
osobi	o s o b i
ostavila	o s t a b i l a
otpornost	o t p o r Ng ~ o n o 8
otvorenim	o t v o r e n i m
pacijente	p a k i y e n t e
padinama	p a d i n a m a
podjedinica	w a b u n d i n i k a
pojavom	p o x a v o m
ponavljanja	p o n a b l j a n j a
posjeti	p o s o x e t i
povjerenje	p o w E r E nj~ E
prelazak	p " l a k
preostali	p r e o s t a l i
prepoznatljiv	p r e p o z n a t lx~ i
prethodni	p r e t h o d e n i
preživjela	p r e Z e i v r o n o x e l
prijestolja	p r i y e s t o l j a
prisiljeni	p r i s i l x e n i
prođe	p r o 8 e
ranijim	r a n i j i m
razgovora	r a z g o v o r a
region	r e g i o n
samostana	s a m o s t a n a
savjetnik	s a b E t n i k
segmenata	s e N m E n a t a
sekvenca	s a q f e n k a
slijedeće	s l i j E d e C u e
slikara	s l k a r a
sličnost	s l i % C Ng ~ o n o 8
sljemenjaka	s l E m E n j a k a
snimke	s n i m k e
standardima	s t a n r d i m a
strukturom	s t r u k t u r o m
stvori	s t v o r i
tradicionalnih	i t r i w C i w r o n a l n i
tragove	tr~ a g o b E
trebale	t r e b a l e
ukupan	u k u p a n
und	u n d
uspije	u s p i j e
uspješne	u s p h S n e
vitamina	v i t a m 3 n a
vojnoj	v o x n o x
vozi	v o z i
zaključka	z a k l xy~ C u
zamjenjuje	z a m E nj~ a j e
znala	z n a l a
čest	C e s
četvrtfinala	C e t v r t f e f i n a l a
čiju	C i j u
čvorova	C v o r o v a
šećera	S e Cy~ e r a
živac	Z e i v a k
Cezar	d a r
Cijeli	g i y e l i
Diplomirao	i p l o m i r a o
Dobro	o b r o
Elizabeth	l i r o t
Evropskom	v a z s k o m
Grka	m a
Group	r o u p
Johnson	o h E 5 o*
Liverpool	Ng~ e r e n p o l
Madrid	a d r i d
Mađarskoj	a 8 3 y s k o x
Mehmed	e h y m 3 d
Naročito	a r o C i t o
Ostaci	s t a k i
Pobjednici	o by~ E d n i C i
Ponovo	n o w o
Porijeklo	u r i y e k l o
Primjeri	l i m x e r i
Problem	r o b l 3 m
Rumunije	u m u n i j e
Steve	t e v e
Suncu	u n k u
Yahoo	a h o
Zeus	e u s
akademija	a k a d e m i j a
akademiji	a k a d e m i h i
aminokiseline	a m i n o k a s l 3 i n e
blisko	b l i s k o
brzog	b r t
datoteke	d a t o t e k e
distribuciju	d i s t r i b u k i j u
diviziju	d i p i t e  d u
dobrih	d o b r i
dodati	t o t a t i
dodatnu	t o t a t n u
donjoj	d o nj~ o x
dosad	d o s a d
duboke	d u b o k e
