va 	v a
etishgan	e t i S g a n
fazoviy	f a z o v i
fikrni	f i k r n i
granit	g r a n i t
guruhlarga	g L a r g a
hisob	h i s o b
hurmat	h u r m a t
insonlar	s o n l a r
ishladi	i s L a d i
isloh	i s l o
jamiyatda	y a m i y a t d a
jamiyatining	y a m i y a t i n i N
joyiga	j o y i g a
ketish	k e t i S
kismi	k i s m i
kotib	k o t 3
koʻtarib	k o 7 t a r i b a
kunlik	k u n b u C o
kuzgi	k u z g i
lugʻat	t u 7 a t
mablagʻ	m a b l a g u
magmatik	m a h m a t i k
manfiy	n f i
materik	m a t e r i k
maydonlari	m a y d o n l a r i
miqdoriga	m i k d o r i g a
moddaning	m o d d a n i N
muammolarini	m u a m l a r i n i
munosib	m u n o s i
namunalar	n a m u n a l a r
nobud	n o b u d
noqulay	n o k l a y
oksid	o k s i d
otliq	o t l i q
oyoqlari	o y o q
pasayishi	p a s a y i S i
qaraladi	q a r a l a d i
qiroli	q i r o l i
qissasi	g w i h s s a s i
qoʻrgʻoshin	q o 7 rx~ 7 o s i n
qudratli	k dr~ a L i
rivojlanayotgan	r i v o h a nz~ a y o t g a n
rivojlanmoqda	r i v o h a nz~ m o x d a
sharqqa	S a r q o
shoyi	S o y i
sinf	s i n f
taqsimoti	t a q b u p o t i
tizimlar	t i s i m u l a r
tizmasi	t i z m i s i
togʻlarining	t o x 7 l a r i n i N
tolalari	t o l a l a r i
topishi	t o p i S i
toʻqimalar	t o 7 g w i m a l a r
toʻrtta	t o 7 r t t a
turlar	t u r l a r
umurtqali	u m u r t q a l i
xotira	S o t i r a
xususiyatga	S u s u s i y a t g a
yalligʻlanish	a l l i g 7 l a n i S
yerlarini	y e r l a r i n i
yillardagi	y i l l a r d a g i
yoʻgʻon	y o 7 g 7 o n
yuborish	y u b o r i S
yuradi	y u r a d i
yurtida	y u r t i d a
yuzasida	y u z a s i d a
zid	z i d
Aslida	s l i d a
Bank	n
Bemor	e m o r
Elektron	l E k E tr~ u n
Erkin	r k i n
Gʻulom	7 u l o m
Kimyo	i m y o
Magnit	y n i t
Pul	u l
Sport	p o r
Viloyatda	i l o y a t d a
Xuddi	u d i
adabiyotda	a d a b i y o t d a
aloqador	a l o x a d o r
apparatlari	a p p a r a L a r i
arafasida	a r a f a s i d a
aralashma	a r a l a S m a
atigi	a t i g i
aylantirish	a y nz~ i  r i S
ayrimlari	a y l i m l a r i
bakteriyalar	b a k t e r i y a l a r
bargi	b a r g i
borilmoqda	b o r e l m o x d a
buta	b u t a
dostonlar	d o s t o n l a r
eritma	e r i k m a
filmlarda	b i l m l a r d a
goʻshti	g o 7 S t i m a
grafikasi	g r a f i k a s i
harakatlarini	h a r a k a L a r i n i
hisobda	h i s o b d a
inqilobi	i n m u a l o b i
jarayonlarini	h a r a y o n l a r i n i
kabilar	k a b i l a r
kitoblari	k i t o b l a a r i
larda	l a r d a
lavlagi	l a v l a g i
loyihasi	l o y i h a s i
magʻlub	m a h 7 l u b "
maqomi	m a q o m i
marosimi	m a* r o s i m i
metro	m e t r o
mikroorganizmlar	7 o r g a n i z m l a r
mintaqasida	m i n t a q a s i d a
moʻgʻul	m o 7 g 7 u l
namligi	n a m l i g i
natijalari	n a t i j a l a r i
nav	n a
nomzodi	n o m z o d i
ogʻirligi	o g i i l i g i
olimlarning	o l i m  n i N
olov	o l o N
organizmlarning	u r g a n i z m  n i N
oshdi	o S d i
ovozli	o v o z l i
oyda	o y d a
qilishning	q i l i S n i N
qirrali	q i r a l i
qoʻshildi	q o 7 S i l d i
respublikaning	r e s p u b l k a n i N
resurslar	r e s u r w a r
rivojida	r i v o h i d a
rivoyat	r i v o a t
sentabr	s e n t a b r
sernam	s E r n a m
shular	S u l a r
stansiya	s t a s i y a
strukturasi	s t r u k t u r a s i
suyagi	s u y a g i
taqsimlash	t a q b u p p i S
tasvirlash	t a s p i t e n p i S
taxtga	t a x t g a
tillarning	t i l l a r n i N
tilning	t i l n i N
tish	t i S
toʻplab	t o 7 p l a n a b "
toʻr	t o 7 r
tuzishda	t u a m d a
xilmaxil	S i l m a s o
xosdir	S o s d i r
xossalariga	S o s s a l a r i g a
yaqini	y a q i n i
yerni	y e r n i
yodgorliklardan	y o d g o r l i k l o r d a n
yordami	y o r d a m i
yuqoridagi	y u pw~ o r i d a g i
zonasi	z o n a s i
Bitta	i t t a
Farhod	a r o d
Kurash	u r a S
Metall	e t o l
Oʻtgan	7 t g a n
Quyoshning	u y o S n i N
abadiy	a b a d i
asoslarini	a s o s l a r i n i
atagan	a t a g a n
bagʻirlari	b o g i l a r i
batafsil	b a t a f s i l
berishda	b e r i S d a
bez	b e z
bilimlar	b i l i m l a r
bora	b o r a
borildi	b o r e l d i
boʻlganida	b o 7 l g a n i d a
boʻlimida	b o 7 l i m i d a
boʻlinishi	b o 7 l i n i S i
davlatni	d a b l a t n i
dengizga	i s u r i z g a
dengizlar	i s u r i r L a r
doyr	d o e r a
foiz	f o i z
gap	g a p
haq	h a q
harf	h a r f
hisoblaydi	h i s o b l a y i l d i
hosilalari	h o s i l a l a r i
inqilobiy	i n m u a l o b i
ion	i o n
isitish	i s i t i S
ixtiyoriy	i S j o r e
jahonda	y a h o n d a
kamayishi	k a m a y i S i
kapitali	k a p i t a l i
kenja	k E nj~ a
ketishiga	k e t i S i g a
kiritiladi	k i r i t i l a d i
koʻrinishlari	k o 7 r i n i S l a r i
mamlakatdagi	m a m l a k a t d a g i
manbalar	n b a l a r
masofaga	s o f a g a
mavjudligini	m a b b u d l i g i n i
maydonlar	m a y d o n l a r
mazmunini	m a z m u n i n i
miniatyura	m i n i a t u r a
mintaqalarida	m i n t a q a l a r i d a
miqdorida	m i k d o r i d a
molekulalar	o l l o t e l a l a r
molekulyar	o l k u r a r
narxi	n a r x i
navbatda	n a b b a t d a
neolit	n e o l i t
odat	o d a t
orqaga	u r q o g o
oshirgan	o s i r g a n
oʻrnatgan	o 7 r n a t g a n
qarash	q a r a S
qonuniy	q o n u n i
qoʻllagan	q o 7 y a g a n
qoʻshilishi	q o 7 S i l i S i
quvurlar	k b u r l a r
quvurlari	k b u r l a r i
rahbarlari	r a h b a l a r i
rejasi	r e y a s i
respublikada	r e s p u b l k a d a
rozi	r o z i
sharoitlar	S a r o i L a r
silindr	s i l i ndr$
sirtida	s i r t i d a
soʻzlashadi	s o 7 z l a S a d i
taalluqli	t a ly~ b l i
takomillashtirish	t a k o m i l l a  t i r i S
taraqqiyotiga	t a r a k " o i y o t i g a
taxta	t a r a
tayyorlagan	d a t a y o r l a g a n
temperaturada	t e N p e r a t u r a d a
termik	t E r m i k
tillarga	t i l l a r g a
ultrabinafsha	u l t r a b i n a f a
universal	u n i v e r s a l
ustidagi	u s t i d a g i
voqealarni	v o E a l a r n i
xato	S a t o
xodimlar	S o d i m l a r
zali	z a l i
zaxiralari	z a s o n a l a r i
zona	z o n a
Afrikadagi	f n i t i m a d a g i
Argentina	r g 3 n t i n a
Balx	a l 7
Barglari	a r L a r i
Belgiya	e l g i y a
Biz	i z
Butun	u t u n
Iqlimi	q l i m i
Iskandar	s k a n
Kengash	g a S
Mevasi	e b E s i
Misrda	i s r d a
Oʻzining	7 z i n i N
Qurolli	u r o l l i
Sharqshunoslik	h a r X S u n o s b u C o
Shvetsiya	h e c i y a
Tohir	h i r i
Vaqt	a q
Yunoniston	u n o n i S th~ o n
almashinuvining	a l S i n u b i n i N
ammiak	a m a k
aniqlashga	a n i k l a S g a
asarlarining	a s a l a r i n i N
asarlarni	a s e r  n i
asbobi	a s b o b i
bagʻirlarida	b o g i l a r i d a
birlashmalari	b 3 r l a S b e r m a l a r i
birliklar	b 3 r l i k a r
bn	b n
boʻlmasa	b o 7 l m e a
devoriy	d e v o r e
energetik	e n e r g e t i k
fanga	f a Ng~ a
hisoblab	h i s o b l a a b "
holatdagi	h o l a t d a g i
imkoni	i m k o n i
import	i m p o r
integral	i n t e g r a l
investitsiya	i n v e s t i i y a
ishlatilishi	i S l a t i l i S i
kelishiga	k e l i S i g a
koʻli	k o 7 l i
koʻprik	k o 7 p r i k
larning	l a r n i N
mahorati	m a h o r a t
maktablarda	k t e y a n u s  d a
man	m a n t a
manfaatlarini	n t a u t a l L a r i n i
maydonida	m a y d o n i d a
minglab	m i N l a b "
munosabatlarini	m u n o s a b a L a r i n i
muzeylari	m u z e y l a r i
narsalarni	n a r s a l a r n i
navi	n a v i
olishgan	o l i S g a n
omillari	o m i l l a r i
operatsiya	o p e r a c i y a
organizmida	u r g a n i z m i d a
oxiriga	o S i r i g a
oʻrganib	o 7 r g a n i
oʻyib	o 7 y i b a
oʻzgarishiga	o 7 z N a r i S i g a
oʻzlari	o 7 z l a r i
oʻzlashtirish	o 7 z l a S t i r i S
poʻsti	p o 7 s t i
qahramonlar	kp~ a h r a m o* l a r
qamoqqa	k " a m o q o
qatnaydi	q a t n 3 y d i
qirol	q i r o l
qiymat	q i m a t
qonunga	q o n u N a
qonuniyatlarini	q o n u n i y a L a r i n i
qoʻltigʻi	q o 7 l t i g i
rassomi	r a s m i
romantik	r o m a n t i k
rudalar	r u d a l a r
ruh	r u
saralash	s a r a l a S
sarf	s a r f
shifobaxsh	S i f o b a x S
shogirdlari	S o g i r d l a r i
siyrak	s i y o r a
sohalar	s o h a l a r
soxta	s o r a
surdi	s u r d i
tadbirlari	t a d p e t e n l a r i
talaffuz	t a l a f u
tarixidagi	t a r i S i d a g i
tasdiqlangan	t a s d i k l a N a n
tayyorgarlik	d a t a y o r a r b u C o
telegraf	t E l E g r a f
tillarini	t i l l a r i n i
tovushlar	t o w u s L a r
toʻplam	t o 7 p l a m
tuzumi	t u z u m i
unvoniga	u n v o n i g a
urushdan	u r u S d a n
uslubda	u s l u b d a
uslubiy	u s l u b i
vazni	v a z n i
yetishib	y e t i S i
yopishib	y o p i S i
yoyilgan	y o k i l g a n
Afina	f i n a
Bokuda	o k u d a
Britaniyada	r i t a n i y a d a
Madrasa	a d r a s a
Motors	k o t o r
Musulmon	u s u l m o n
Relyefi	E l y e f i
Savdo	a b d o
Shveysariya	h e y s a r i y a
Sobiq	o b i 7
Tanasi	a n a s i
Tektonik	e k t o n i k
Turon	u r o n
Vatan	a t a n
Xavfsizlik	a b f s i z b u C o
aeroporti	a e r L o k t i
aholisini	a h o l i s i n i
amiri	a m i r i
atashadi	a t a S a d i
barglari	b a r L a r i
bizga	b i z g a
boqish	b o x i S
botanika	b o t a n i k a
butalar	b u t a l a r
deganda	d e g a n d a
dekabr	d e k a b r
diplomatiya	d i p xy~ u 7 i y a
egri	g r i
eritmalar	e r i k b e r m a l a r
etmoqda	e t m o x d a
favqulodda	f a b k l o d a 7
fikriga	f i k r i g a
gips	g i p
guruhning	g n i N
gʻarbdan	g 7 a r b d a n
hayotda	h a y o t d a
huzuridagi	h u z u r i d a g i
ishdan	i S d a n
ishlay	i s L a y
istilosi	i s t i l o s i
jarayonda	h a r a y o n d a
javoban	y a v o b a n
jihatlari	h i h a L a r i
keramika	k e r a m i k a
koʻrinish	k o 7 r i n i S
koʻrsatmoqda	k o 7 s a t m o x d a
koʻtarildi	k o 7 t a r i l d i
kurashga	k u r a S g a
madrasasi	d r a s a s i
maydoniga	m a y d o n i g a
miqdorining	m i k d o r i n i N
miqdoriy	m i k d o r i
miqyosda	m i k o s d a 7
munosabatda	m u n o s a b a t d a
na	n a
nuri	n u r i
oshirib	o s i r i
oydan	o i 8 a n
oʻgʻil	o 7 g i
oʻrinli	o 7 r i n l i
oʻtkazdi	o 7 t kh~ a z d i
p	p
prinsipi	p r s i p i h
proton	p r o t o n
qavati	q a b a t i
qilar	q i l a r
qobiliyatini	q o b i l i y a t i n i
qoʻyiladigan	q o 7 i l a d i g a n
qurgan	k r g a n
rangda	r a N d a
romanida	r o m a n i d a
sabablari	s a b a b l a r i
sh	S
shaffof	S a f
sohilidagi	s o h i l i d a g i
strategik	s t r a t e g i k
talabi	t a l a b i
taqdiri	t a q d i r i
tasodifiy	t a s o d i f i
tayanib	d a t a y a n i
tillaridan	t i l l a r i d a n
tomir	t o m i*
tubi	t u b i
tuproqqa	t u p r o q o
unsur	u n s u r
vokal	v o
voqelikni	v o x e l i k n i
yahudiy	y a 3 d i
yarmidan	y a r m i d a n
yoʻqotish	y o 7 pw~ o t i S
yulduzlarning	y u l d a z l a r n i N
yura	y u r a
zotlari	z o t l a r i
Abdullayev	b d u y a y e v
Abdulloh	b d u l l o
Afrikaning	f n i t i m a n i N
Alpomish	l p o m i S
Amerikaning	m e r i k a n i N
Gon	o n
Ipak	p a k
Italiyada	t a l i y a d a
Kattaqoʻrgʻon	a t t a q o 7 rx~ 7 o n
Kompaniya	p a n i y a
Navroʻz	a b r o 7
Okean	k e
Otasi	t a s i
Oʻtkir	7 t k i r
Shusha	h u s a
Vena	e n a
Yevropadagi	p i r a z a d a g i
almashtirish	a l S t i r i S
amaliyotida	a m a l i y o r o t i d a
aprelda	a p r e l d a
atomlar	a t u m l a r
bajarilgan	b a j a r i l g a n
banklar	b a n k l a r
bitim	b i t i m
bogʻlari	b o N 7 l a r i
borligini	b o r l i g i n i
bosimli	s i z d a
davlatlarida	d a b l a L a r i d a
dengizining	i s u r i z i n i N
dollar	d o l l a r
dollari	d o l l a r i
egadir	g a d i r
ekvatorial	e k v a t o r i a l
fazo	f a z o
fermentlar	f e r m E n a r
harakatiga	h a r a k a t i g a
ibodat	i b o d a t
ijaraga	u j a r a g a
iktisodiy	i k t s o d i
imkoniyatlarini	i m q l o l x a L a r i n i
iqtisod	i k  s o d
iz	i z
jahondagi	y a h o n d a g i
kanallari	k a n a l l a r i
kasalliklarga	k a s a ly~ i k l o r g a
kesish	k e s i S
ketib	k e t i
koʻpayish	k o 7 p a y i S
kredit	k r E d i t
kristallar	k r i s t a y a r
kumir	k u m i*
kuniga	k u n i g a
mavzudagi	m a b z u d a g i
metallarni	m e t a l l a r n i
molekulalari	o l l o t e l a l a r i
mustaqilligini	s t a q i l l i g i n i
nazorati	n a z o r a t
oqilona	o m g w i l o n a
orkestri	u r X % r u z i
ostidan	o s t i d a n
oʻlkashunoslik	o 7 l u S u n o s b u C o
oʻrganildi	o 7 r g a n i l d i
oʻtilgan	o 7 t i l g a n
oʻtmishda	o 7 t m a S a S d a
oʻxshaydi	o 7 S a y d i
plastik	p l a y i s t i k
qarorgohi	q a ph~  h i
qismlardan	g w i h s m l a r d a n
qobiq	q o b i 7
qurishda	q u r i S d a
qutb	k t
reaksiyalari	r e a k S i y a l a r i
relyefi	r E l y e f i
savdogarlar	s a b d o g a l a r
sharqida	S a r q i d a
shiddatli	S i d a 7 L i
shoirning	S o i r n i N
silliq	s i l l i q
slavyan	s l a v y a n
soʻzning	s o 7 z n i N
sust	s u s
suvining	s u b i n i N
taraqqiyotida	t a r a k " o i y o t i d a
tarmoqlar	t a r m o q
tayangan	d a t a y a N a n
tekisliklar	t a k i w i k a r
tishlari	t i S l a r i
toshdan	t o S d a n
toʻlgan	t o 7 l g a n
toʻsiq	t o 7 s i
turini	t u r i n i
turtki	t u r t k i
tushirildi	t u s i r i l d i
uglevodorodlar	u L e v o d o r o t l a r
umurtqa	u m u r t N g a
veterinariya	f e t e r i n a r i y a
xoli	S o l i
yerlari	y e r l a r i
yozgi	y o z g i
yutuqlari	y u s u b l a r i
yuzi	y u z i
zoti	z o t i
Berlin	e r l i n
Diniy	i n i
Ford	u r d
Majnun	a x n u n
Nobel	o b e l
Oyning	y n i N
Qrim	r E m o
Sanoatda	a n o a t d a
Soʻng	o 7 N
Soʻz	o 7
Tabiat	a b i a t
Temurning	e m u r n i N
Yaponiyada	a p o n i y a d a
Yillik	i ly~ i k
askar	a s k a r
aylantiradi	a y nz~ i  r a d i
balandlik	b a l a nd~ b u C o
belgilash	b e l s e p i S
biroz	b 3 r o
bogʻlaydi	b o N 7 l a y d i
bolaning	b o r a n i N
boshqariladi	b o S k  e l a d i
devon	d e v o n
doʻstlik	d o 7 Sx~ b u C o
filmlari	b i l m l a r i
fizigi	f i z i g i
harakatlanadi	h a r a k a L a n a d i
hayotiga	h a y o t i g a
hukumatining	h u k u m a t i n i N
insonga	s o n g a
ionlar	i o n l a r
ishgʻol	i S g 7 o l
izdan	i r d a n
jismlarning	h i s m  n i N
kasalliklarning	k a s a ly~ i k l o r n i N
kengroq	k e n g r o q
komediya	m i  y a
koʻrinishga	k o 7 r i n i S g a
limfa	b u r a n a
litsey	ty~ y o y
maktablarida	k t a b l a r i d a
malaka	m a l a k a
mansabdor	i r a r u w d o r
maqbara	m a q bh~ a r a
materiali	m a t e r i a l i
mavsumiy	m a b s u m i
mehnati	m e h n a t i
mohir	o* h i r i
musika	s i k a
narsani	n a r s a n i
narx	n a r 7
oldidan	o l d i d a n
olmadi	o l d i
oqimining	o m g w i m i n i N
oraligʻidagi	o r a l i g i d a g i
ordeni	u r d e n i
oshirdi	o s i r d i
ovlanadi	o b l a n a d i
oxiridan	o S i r i d a n
oyining	o y i n i N
oziklanadi	o z i k l o n a d i
oʻldirilgan	o 7 l d i r i l g a n
oʻrmonlari	o 7 r m o* l a r i
oʻyinlar	o 7 i n l a r
palatali	p a l a t a l i
podsholigi	w a b C o l i g i
portlash	p o r L a S
qilsa	q i l s a
qoida	q o m i i d a
qolmay	q o l m o y
qoplab	q o p l a b "
qoʻriqxonasi	q o 7 r i k S o n a s i
radioelektronika	r a d i o e l e k t r o n i k a
radiosi	r a d i o n o 8 i
rayoni	r a y u n i
salqin	s a q i n
sezgir	s e z h i r i
seziladi	s e z i l a d i
shahrini	S 3 r i n i
sharti	S a r t i
shaxsga	S a x s g a
singib	s i N i
suvlaridan	s u b l a r i d a n
tanlanish	t a n l a n i S
tarixda	t a r i S d a
tarqalish	t a r q a l i S
tayyorlaydi	d a t a y o r l a y d i
teatrlar	t e a t r l a r
tezlikda	t e z l i k d a
tizimga	t i s i m g u
tizimning	t i s i m u n i N
tolasi	t o l a s i
tuzi	t u z i
uskunalar	u s k u n a l a r
uzatiladi	u z a t i l a d i
vazifa	v a z i f a
vitamin	v i t a m i n
xolos	S o l o s
xonalar	S o n a l a r
xoqonligi	S o q o n l i g i
yozuvlar	y o m a g a n l a r
yoʻllarining	y o 7 y a r i n i N
yuzasining	y u z a s i n i N
zarralarning	z a r a l a r n i N
Bahor	a h 3 r u
Don	o n
Gʻ	u
Hamma	a m a
Hayot	a y o t
Hisor	i s o r
Ijroiya	h r o y a
Ilgari	l N a r i
Muso	u s o
Oʻrmon	7 r m o n
Qadimda	a d i m d a
Real	e a l
Samarqandga	a m a r q a nd~ g a
Toshkentga	o S k e nt~ g a
Turkiyada	u r k i y a d a
Xususiy	u s u s i
Yon	o n
Yulduz	u l d u
adabiyotning	a d a b i y o t n i N
aniqlagan	a n i k l a g a n
aniqlandi	a n i k l a n d i
ansambl	s a m b l
atomlari	a t u m l a r i
avgust	a b g u s
baholash	b a u p i S
belgilariga	b e l g i l a r i g a
bezlar	b e r L a r
birlashib	b 3 r l a s i b
bolalari	b o l a l a r i
bozorida	b o z o r i d a
bronza	b r o n c a
etila	e t i l a
fakat	f a k a t
gʻoya	g 7 o y a
gʻoyalarini	g 7 o y a l a r i n i
hosili	h o s i l i
imkoniyatiga	i m a q " b a l i y a t i g a
indeys	i n d e y
intilish	i n t i l i S
iqtisodiyotning	i k  s o d i y o t n i N
iyunda	i y u n d a
jamiyatlari	y a m i y a L a r i
janubda	h a n u b d a
jurnali	x u r n a l i
kVtsoat	k c u a t
kasal	k a s a l
kelish	k e l i S
kompaniyalar	m i p a n i y a l a r
koʻriladi	k o 7 r i l a d i
koʻrsatadigan	k o 7 s a t a d i g a n
mahalla	m a h a ly~ a
mahsulotining	m a 7 s u l o t i n i N
mamlakatlarga	m a m l a k a tL~ a X n a g a
mashxur	m a Ch~ b r
meros	m e r o s
minora	m i n o r a
mintaqalarda	m i n t a q a l a r d a
mollar	o l l a r
muskullar	s k u y a r
musobaqa	s o b a N g a
muzliklar	m u z l i k a r
notekis	n o t t e k i s
olmay	o l m o y
oʻzgargan	o 7 z a r g a n
pishadi	p i S a d i
poya	p o y a
qadim	q a d i m a
qalay	q a l a y
qandaydir	q a n y d i r
qaragan	q a r a g a n
qatnashib	q a t n 3 s o
qilinayotgan	q i l i n a y o t g a n
qirilib	q i r i l i
qoʻshilishidan	q o 7 S i l i S i d a n
respublikasi	r e s p u b l k a s i
sathidan	s a th~ i d a n
sersuv	s e r s u
shahzoda	S a h z o d a
shakllana	S a k y a n a
shulardan	S u l a r d a n
sistemalar	s i s t e m a l a r
sistemasini	s i s t e m a s i n
sonining	s o n i n i N
stansiyalari	s t a s i y a l a r i
tadbirkorlik	t a d b i r k o r b u C o
taqdirlangan	t a q d i r l a N a n
tarjimasi	t a l j i m a k i
tarmoqlarida	t a r m o q  i d a
tarqaldi	t a r q o l d i
tayinlaydi	t a y i n l a y d i
tebranish	t e b r a n i S
toʻgʻon	t o 7 g 7 o n
toʻsqinlik	t o 7 s m u a t u b u C o
tuproqda	t u p r o x d a
turgʻun	t u r g 7 u n
turizm	t u r i z m
tutish	t u t i S
tuzilishida	t u z i l i S i d a
x	7
yarmida	y a r m i d a
yoʻlidagi	y o 7 l i d a g i
yuzida	y u z i d a
zarra	z a r a
Asarlari	s a l a r i
Bakr	a k r
Belorussiya	e l o r u s s i y a
Dindorlari	i d o r l a r i
Harry	a r
Hayvonlar	a y v o n l a r
Hukumat	u k u m a t
Indoneziya	d o n a  y a
Ittifoq	t i f o q
Jamiyat	a m i y a t
Moskvada	o s k v a d a
Neftni	i f t n i
Shahrisabz	h a h r i s a b
Tashkiloti	a S i k i l o t i
Xorazmiy	o r a z m i
Yu	u
Zelandiya	e l a n d i y a
agrar	y r a r a
analitik	a n a l i t i k
aniklanadi	a n i k l o n a d i
anorganik	a n o r g a n i k
aralashmalar	a r a l a S b e r m a l a r
arboblari	a r b o p l a r i
arpa	p a
asarlarning	a s e r  n i N
ashyosi	n a N t a N o s i
asrlarga	a s r  g a
avtobuslar	a s l a r
bildirgan	b i l d i r g a n
birlashtirish	b 3 r p i S t i m a i r i S
bizning	b i z n i N
boʻrtma	b o 7 r m a
eriydigan	e r i y d i g a n
etadilar	e t a d i l a r
farzandi	f a r o n d i
gazning	g a z n i N
geliy	g e l i
global	g l o b a l
harakatni	h a r a k a t n i
hodisalarning	h o d e i s a l a r n i N
holatida	h o l a t i d a
ijodiyoti	i j o d i y o t i
janglarda	y a Ng~  d a
jarayonning	h a r a y u n n i N
kelishib	k e l i S i
kengayishi	k e N a y i S i
komissiya	k o m i s s i y a
konsentratsiyasi	q o n i k e n t r a c i y a s i
kulollik	k u l o l l i k
lavozimida	l a v o  m i d a
malakasini	m a l a k a s i n
markazdan	m a* r kh~ a z d a n
mashqlar	m a Ch~ q
mintaqaviy	m i n t a q a v i
modellari	m o d e y a r i
molik	o l i k
mukofotiga	m u k o f o t i g a
muskullari	s k u y a r i
mustamlaka	s t a m l a k a
muvozanat	m u b o y a n a t
namuna	n a m u n a
nashriyoti	n a S r i y o t i
navlarini	n a b l a r i n i
nazardan	n a z a r d a n
nisbat	n i s b a t
odamlarga	o d a m l a r g a
odatdagi	o d a t d a g i
okeanining	o k e a n i n i N
oladilar	o l a d i l a r
oyi	s o* h i
oʻqishga	o 7 g w i S g a
oʻsmirlar	o 7 s m i X l u a r
pedagog	p E d a
poliklinika	p o l i k l i n i k a
qatlamlar	q a t l a m l a r
qonunda	q o n u n d a
qotishmalar	q o t i S b e r m a l a r
qoʻli	q o 7 l i
qul	q u l
qurti	q u r t i
relyef	r E l y e f
rimliklar	l i m l i k a r
saqlanish	s a q l a n i S
saroylar	s e r o y l a r
savdosi	s a b d o s i
sellyuloza	s e m u S y u l o y a 7
sezgi	s e z g i
shaklli	S a k L i
soz	S o z
statistik	s t a t i s t i k
struktura	s t r u k t u r a
suzib	s u z i
tanga	t a n g a
tarixan	t a r i S a n
tarixga	t a r i S g a
tashlaydi	t a S l a y d i
tasvirlanadi	t a s p i t e n l a n a d i
temuriylar	t e m u r i y l a r
terish	t e r i S
tishli	t i S l i
tonna	t o n n a
tuban	t u b a n
tubida	t u b i d a
tushuntirish	t u S u n t i r i S
tuzilishga	t u z i l i S g a
ulardagi	b e r d a g i
umrining	u m r i n i N
