te	t e
Kuaha	u a h a
Kumara	u m a r a
Kunenga	u n i Ng~ a
Kāpehu	a p e h u
Kōrerotia	o r e r o t i a
Maimoatanga	a i m o a t a n g a
Manakotanga	a N k o t a Ng~ a
Mangakāhia	a N a l i a
Mangere	a N e r e
Maramataka	a r a m a t a k a
Matthew	a t t a o
Mina	i n a
Momo	o m o
Moteatea	o t e a t e a
Māmoe	a m o e
Mātāmua	a t a a
Nathan	a th~ a n
Ngahuru	g a h u r u
Ngaitai	g a i t a i
Ngāmotu	g a m o t u
Nihoniho	i h o n i h o
Niwa	i w o
Norman	o r m a n
Ohia	h i a
Opera	p e r a
Oreore	r E o r e
Paeko	a e k o
Panuku	a n u k u
Paraparaumu	a r a p a r a u m u
Part	a r
Pehi	e h i
Pena	e n a
Pene	e n e
Pipitea	i p i t e a
Poihana	o i h a n a
Puia	k i a
Pāwhiri	a wh~ E i r i
Pēke	a N k e
Rakaumangamanga	a k a u m a N a m a n g a
Ratapu	a t a p u
Reri	e r i
Ripoata	p o a t a
Rona	o n a
Rongomai	o N o m a i
Rongomātāne	o N o m a t a n e
Ruka	u k a
Rāapa	a a p a
Rākaipaaka	a k a i p a a k a
Taiaroa	a y a r o a
Tangihōro	a N i h o r o
Tangotango	a N o t a n g o
Tararua	a r a r u a
Tarata	a r a t a
Tatou	a t o u
Taurahere	a  i*
Tautoru	a u t o r u
Tawhito	a w h i t o
Teira	e i r a
Tiakina	i a k i n a
Tihei	i h e i
Tira	i r a
Tireiniamu	i r e i a m u
Toia	o i a
Tokaanu	o k a n u
Tokorima	o k o r i m a
Tokowhitu	o k o w h i t u
Tonu	n u
Tuahiwi	u a h i w i
Tumatauenga	u m a t a u e n g a
Tāwhai	a wh~ E a i
Tēna	a N n a
Uara	a r a
Uira	i r a
Wa	a
Waimakariri	a i m a k a r i r i
Waitematā	a y t e m a t a
Wanaka	a n a k a
Whakanoho	h a k a n o h o
Whakarae	h a k a r a e
Whakawhetai	h a k a wh~ e t a i
Whena	h e n a
Whiria	h i r i a
Whiu	h i u
Work	u r
aana	a n a
ahopae	a h o p a e
ahotakakame	a h o t a  k a m e
angiangi	a N i a N i
arapū	a r a p u
aromatawaihia	a r o m a t a w a i h i a
hahau	h a h a u
haoa	h a o a
harakore	h a r a k o r e
hoari	h o a r i
hopua	h o p u a
horu	h o r u
hotu	h o t u
huraina	h u r a i n a
hurumanu	h u r u m a n u
hängai	h 3 N a i
hāpara	h a p a r a
hēkona	 k o n a
hōngere	h r 3 n g e r e
hōtera	h o t E r a
ihupuku	i k u p u k u
ita	i t a
kahanga	k a h a Ng~ a
kaiarataki	k a i a r a t a k i
kaiuiui	k a i k k u i u i
kaiwawao	S i r 3 a o
kaiwhaiwāhi	S i r i r a
kaiwhakatakoto	S i r k a t a k o t o
kakahi	k a k a h i
kakapa	k a k a p a
kakati	k a k a t i
kaokao	k a k a o
kapakapa	k a p a k a p a
kapene	k a p e n e
kaporeihana	k a p o r e i h a n a
karakara	k a r a k a r a
kauanga	k a u a Ng~ a
kawai	k a w a i
kaweake	k a w e a k e
kina	k i n a 7
kinotia	k i n a o t i a
koanga	k o a Ng~ a
koeko	k o e k o
koikoi	k o i k o i
konumohe	q o n u m o h e
kotikoti	k o t 3 k o t i
koukou	k o u k o u
kunenga	k u n i Ng~ a
kāpā	l p
kōwhatu	k o w h a t u
mahea	h e a
mahuetanga	m a w e t a Ng~ a
mahuta	m a h u t a
maiangi	m a i a N i
makatea	m a k a t e a
manatū	m a n a t u
manukanuka	m a n u k a n u k a
mapu	m a p u
marohi	m a o 7 i
matamata	m a t a m a t a
matawā	m a t a a
mauherea	m a u h e r e a
maurea	m a u r e a
mimi	m i m i
motuhenga	m o t u X 3 N g a
māhaki	m a a k i
māraurau	m a r a u r a u
māro	m a r o
ngao	N a o
ngārahu	N a r a h u
niao	n i a o
oanahi	o a n a 7 i
oioi	o i o i
ori	o r i
oropuare	o r o p u a r e
paari	p a m i
pahūtanga	p a h u t a Ng~ a
paitia	p a i t i a
paitini	p a i t i n i
pakia	p a k i a
panuitia	p a n u i  a
paparahi	p a p a r a h i
papānga	p a p a Ng~ a
paramanawa	p a r a m a n a w a
piritahi	p i r i t a 7
poitūkohu	pw~ a t u k o h u
poutama	p o u t a m a
pukai	p u k a i
puranga	p u r a Ng~ a
purere	p u r e r e
puri	p u r i
pāhi	p a
pāuna	p a u n a
pēhitanga	l u a N h i t a Ng~ a
pīpīwai	p o i w a i
pōnānā	p o n nj~ 3
pōuritanga	p o u r i t a Ng~ a
pūhuruhurutanga	p u t a Ng~ a
pūtoi	p u t o i
raparapa	r a p a r a p a
ratarata	r a t a r a t a
raupatunga	r a u p a t u N a
remu	r E m u
rerekore	r e r e k o r e
rewena	r e e n a
ronaki	r o n a k i
ruirui	r u i r u i
rukuruku	r u k u r u k u
taaea	t a e a
tahuritanga	t a h u r i t a Ng~ a
tainga	t a i Ng~ a
takatāpui	t a k a t a p u i
takinga	t a k i Ng~ a
takune	t a k u n e
taote	t a o t e
tapae	t a p a e
tapoi	t a p o i
taupā	t a u p
tautika	t a u t i k a
tauāki	t a w a k i
tawatawa	t a w a t a w a
tawhiri	t a l i r i
teneti	t e n e t i
tineia	t i n e i a
tioro	t i o r o
tiria	t i r i a
tiu	t i u
tokohia	t o k o h i a
tongi	t o N i
tonohia	t o n o h i a
torea	t o r e a
torokaha	t o r o k a h a
totohe	t a t o h e
tuarangi	t u a r a N i
tuhipoka	i p o k a
tukupū	n a p u
tutukitanga	t u t u k i t a Ng~ a
tërä	y r
tāmia	m a m i a
tāmure	m a r e
tātarihia	m a t a r i h i a
tāwhai	m a wh~ E a i
tōpūtanga	a p u t a Ng~ a
tūemi	t u e m i
tūhāhā	t u h a h a
tūmāia	t u m a i a
tūrama	t u r a m a
tūtae	t u t a e
waikura	w a i k u r a
warowaihā	w a r o w a i h a
wawetia	w a w e t i a
whaanau	wh~ E a n a u
whaanui	wh~ E a n u i
whaikiko	wh~ E a i k i k o
whakaahuahanga	wh~ E k a a w a h a Ng~ a
whakaakongia	wh~ E k a k o N i
whakahihiko	wh~ E k a h i i k o
whakahoa	wh~ E k a h o a
whakahuatanga	wh~ E k a w a t a n g a
whakahēngia	wh~ E k a  N i
whakairohia	wh~ E k a i r o h i a
whakangao	wh~ E k a N a o
whakanoa	wh~ E k a n o a
whakanōhia	wh~ E k a n o i a
whakapiripiri	wh~ E k a p i r i p i r i
whakapotonga	wh~ E k a p o t o n g a
whakapāho	wh~ E k a p a h o
whakapākehā	wh~ E k a p a k e h a
whakarōpūtia	wh~ E k a r o p u t i a
whakatara	wh~ E k a t a r a
whakatatū	wh~ E k a t a t u
whakatenatenahia	wh~ E k a t e n a t e n a h i a
whakateraki	wh~ E k a t e r a k i
whakatupatohia	wh~ E k a t u p a t o h i a
whakatuu	wh~ E k a t u
whakawhenumi	wh~ E k a wh~ e n u m i
whawha	wh~ E a l a
whawhaitanga	wh~ E u f 3 i t a Ng~ a
whākōkī	w h a k  i
witi	w i t i
ïnanga	3 n a Ng~ a
āwhinatanga	a wh~ E i n a t a n g a
ē	a N
īpae	o a e
ōritetanga	o r i t e t a Ng~ a
Akaroa	k a r o a
Akau	k a u
Akomanga	k o m a n g a
Amohau	o h a u
Anahera	n a h r a
Anne	a n n e
Aoniwaho	q o n i w a h o
Ararau	r a r a u
Arataki	r a t a k i
Arthur	r t u r
Awanui	w a n u i
Awanuiārangi	w a n u i a r a N i
Awhina	wh~ E i n a
Haami	a m i
Harata	a r a t a
Hekeretari	e k e r e t a r i
Hema	3 m a
Hore	u r e
Horoi	o r o i
Hāpara	a p a r a
Hāpuku	a p u k u
Hāriata	a r i a t a
Hēoi	a N o i
Iron	r o n
Karu	a r u
Katia	a t i a
Kereama	e r e a m a
Kereone	e r e o n e
Kohimarama	h i m a r a m a
Konohi	o n o h i
Koohi	h i
Koroki	o r o k i
Kuhuna	u h u n a
Kākāriki	a k a r i k i
Kōwae	o w a e
Mahaki	a h a k i
Manaakitanga	a n a k i t a Ng~ a
Manawanui	a n a w a n u i
Mangōroa	a N o r o a
Mapi	a p i
Marangaranga	a r a N a r a Ng~ a
Marine	a r i n e
Matatika	m a t a t i k a
Maungatautari	a u N a t a u t a r i
Mereana	e r e a n a
Miramar	i r a m a r
Mita	i t a
Moko	o k o
Moore	o r e
Murirangawhenua	u r a N a wh~ e n u a
Māia	a i a
Ngaa	g a
Ngarimu	g a r i m u
Ngaruawahia	g a r u i nt~ a
Ngātoroirangi	g a t o r o i r a N i
Ngāwai	g a w a i
Niue	i u e
Nohinohi	h i n o h i
Nākahi	a k a h i
Orion	r i o n
Paerau	a e r a u
Panoni	a n o n i
Panuitia	a n u i  a
Para	a r a
Patea	a t e a
Pirīmia	i r i m i a
Poto	o t o
Pouherenga	o u h e r e n g a
Pourangahua	o u r a N a w a
Pumi	r u m i
Pārongo	a r o n g o
Pōwhiri	o wh~ E i r i
Rahoroi	a h o r o i
Rangihīroa	a N i h i r o a
Rangimarie	a N i m a r i e
Rangitukia	a N i t u k i a
Rangitīkei	a N i t i k e i
Rangiuru	a N i u r u
Rapa	a p a
Raukōkore	a u k  o r e
Ripeka	i p e k a
Riu	i u
Ruapekapeka	u a p e k h a p e k a
Ruatāhuna	u a t a u n a
Rukuhia	u k u h i a
Runga	u N a
Taiohi	a i o h i
Taipa	i p a
Tamehana	a m e h a n a
Tangihanga	a N i h a Ng~ a
Tatari	E t E d i t o
Tekapo	e k a p o
Temara	e m a r a
Temi	e m i
Tinana	i n a n a
Tipa	i p a
Tipu	i p u
Tirotiro	i r o t i r o
Tohaina	o h a i n a
Tohutoro	h u t o r o
Toihau	o i h a u
Tokowaru	o k o w a r u
Tomokanga	r a Ng~ a
Turanganui	u r a N a n u i
Turangawaewae	u r a N a w a e w a e
Tāia	a i a
Tōia	o i a
Waahi	a h i
Waikare	i k a r e
Waimamaku	a i m a m a k u
Waiorua	a i o r u a
Whaiaro	h a i 7 r o
Whakaingoatia	h a k a i N o a t i a
Whakairia	h a k a i r i a
Whakatauiratia	h a k a t a u i r a t i a
Whakatauritea	h a k a t a u r i t e a
Whakatu	h a k a t u
Whakaurua	h a k a u r u a
Wheke	h e k e
Whenuanui	h e n u a n u i
Whitireia	h i t i r e i a
Whitu	h i t u
Whāngārei	h a N a r e i
Whāngārā	h a N a r
Winiata	i n i a t a
akitu	a k i t u
aromatawaitanga	a r o m a t a w a i t a Ng~ a
ati	a t i
awenga	a w e n g a
awhitia	a w h i t i a
ei	e i
hainahia	h a i n a h i a
haumako	h a u m a k o
haurongo	h a u r o n g o
hauropi	h a u r o p i
hekeretari	h e k e r e t a r i
hoahoatanga	h o a h o a t a n g a
hohoko	h o h o k o
huakore	w a k o r e
hunuku	h u n u k u
hēneti	 n e t i
hūmarie	h u m a r i e
hūware	h u w a r e
iana	i a n a
iranga	i r a Ng~ a
iringa	i r i Ng~ a
iroiro	i r o i r o
ito	i t o
kaikiri	k a i k k i i r i
kaingia	k a i N i
kaipāho	k a i p a h o
kaitango	k a i t a n g o
kaitaunaki	k a i t a u n a k i
kaituhituhi	k a i t u h i t u h i
kaitukumahi	k a i k k n k u m a h i
kani	k a n i
kapia	k a pw~ i a
kapiti	k a p i t i
kapoa	k a p o a
kaponga	k a p o N a
kareti	k a r e t i
karia	k a r i a
katipoo	k a t i p o
kauaka	k a u a k a
kauta	k a u t a
kirirarau	k i r i r a r a u
koeke	k o e k e
kongakonga	k o N a k o N a
kono	q o n o
koropuku	k o r o p u k u
koropupu	k o r o p u p u
koru	k o r u
ku	k u
kōhure	k o u r e
kōkiritanga	k  i r i t a Ng~ a
kōkōwai	k  o w a i
kōnui	k o n u i
kōtahi	k o t a h i
maamaa	m a m a
mahimahi	m a i m a h i
mahingia	m a i N i
maihea	m a i h e a
manaia	m a n a i a
manomanotia	m i a s a s a l a p t i a
marathon	r a th~ u n
mariko	m a r i k o
matapakia	m a t a p a k i a
matapakihia	m a t a p a k i h i a
mataurangamaori	m a t a u r a N a m a o r i
maumaharatanga	m a u m a h a r a t a n g a
miere	m i e r e
mitia	g i v a
mohe	o h e
mokowhiti	m o k o wh~ E i t i
märama	m a g r a m a
māhana	m a a n a
ngangahu	N a N a u
ngangare	N a N a r e
ngangau	N a N a u
ngaringari	N a r i N a r i
ngeetehi	g e e t e h i
ngote	N o t e
ngoto	N o t o
ngāhau	N a h a u
ngō	N o
noo	n o
oha	h e
paiheneti	p a i h e n e t i
paina	p a i n a
pakitau	p a k i t 3
pakoko	p a k o k o
papaka	p a p a k a
papaku	p a p a k u
papatau	p a p a t a u
parakatihi	p a r a k a t i 7 i
pehia	p e h i a
pekepeke	p e k e p e k e
penihana	p e d i* 7 a n a
piana	p y a n a
pine	p i n e
pokapu	p o k a p u
pokepoke	p o k e p o k e
poroa	p o r o a
porohe	p o r o h e
porotaka	p o r o t a k a
pukohu	p u k o h u
pukuhohe	p u k u h o h e
pumanawa	p u m a n a w a
punanga	p u n a Ng~ a
pungapunga	p u a p u N a
pura	p i r a
purenga	p u r e n g a
purotu	p u r o t u
purutia	p u r u t i a
pütea	p 3 t e a
pāka	p a k a
pātahi	p a t a h i
pērātia	l u a N r a t i a
pīataata	p i a t a t a
pōraruraru	p o r a r u r a r u
pūmahara	p u m a h a r a
rangapū	r a N a p u
raumata	r a u m a t a
raurau	r a u r a u
raurēkau	r a u r a N l 3 m
rautō	r a u a
reia	r e i a
rengarenga	r a t i r e n g a
rongona	r o N o n a
rore	r o r e
rīpeka	r o e k a
rōpere	r o p e r e
taera	t a e r a
tahanga	t a h a Ng~ a
tahere	t a h e r e
tahuti	t a h u t i
taitai	t a i t a i
taituarā	t a i t u a r
takakau	t a k a k a u
takatakahi	t a k a t a k a h i
takupu	t a k u p u
taotu	t a o t u
tapiritia	t a p i r i t i a
tapā	t a p
tarewa	t a r e w a
taumanu	t a u m a n u
taumarumaru	t a u m a r u m a r u
tauraro	t a u r a r o
tautitotito	t a u t i t o t i t o
tauwhitiwhitinga	t a w wh~ E i t i wh~ E i t i Ng~ a
tewhatewha	t e w a t e w a
tiimata	t i i m a t a
tiko	t i k o
toheroa	t o h e r o a
topa	t o p a
tukupara	n a p a r a
tumeke	t u m e k e
tupuranga	t u p u r a Ng~ a
tāpiripiri	m a p i r i p i r i
tētē	t a N t a N
tūhonoa	t u h o n o a
tūtei	t u t e i
tūtuki	t u n k i
tūturutanga	t u t t a Ng~ a
ukauka	t u k a u k a
waahana	w a a h a n a
waerehe	w a e r a e
waihonga	w a i h o n g a
wairākau	w a i r a k a u
wanawana	w a n a w a n a
wawatatia	w a w a t a t i a
we	w i
weroa	w e r o a
wetereo	w e t e r a o
whaihanga	wh~ E a i h a Ng~ a
whaiāipo	wh~ E a i a i p o l a
whakahautia	wh~ E k a h a u t i a
whakahere	wh~ E k a h e r e
whakahiki	wh~ E k a i k i
whakairinga	wh~ E k a i r i Ng~ a
whakamaoritanga	wh~ E k a m a o r i t a Ng~ a
whakamauru	wh~ E k a m a u r u
whakamātūtū	wh~ E k a m a t u t u
whakamōmona	wh~ E k a m o m o n a
whakapakaritia	wh~ E k a p a k a r i t i a
whakapoke	wh~ E k a p o k e
whakapumau	wh~ E k a p u m a u
whakapāha	wh~ E k a p a a
whakapūmautanga	wh~ E k a p u m a u t a Ng~ a
whakarerekēngia	wh~ E k a r e r e k a N N i
whakarākai	wh~ E k a r a k a i
whakatapu	wh~ E k a t a p u
whakatapua	wh~ E k a t a p u a
whakatenetene	wh~ E k a t e n e t e n e
whakatepe	wh~ E k a t e p e
whakaterea	wh~ E k a t e r e a
whakatewhatewha	wh~ E k a t e w a t e w a
whakatūpatotanga	wh~ E k a t u p a t o t a Ng~ a
whakatūranga	wh~ E k a t u r a Ng~ a
whakawaia	wh~ E k a w a i a
whakawehenga	wh~ E k a w e h e n g a
whakawhāitihia	wh~ E k a w h a i t i h i a
whakawākia	wh~ E k a w a k i a
whakawāngia	wh~ E k a a  N i
whanautanga	wh~ E a n a u t a Ng~ a
wharepukapuka	wh~ E a r e p u k a p u k a
whika	wh~ E i k a
wiriwiri	w i r i w i r i
wākena	w a k e n a
wānangatia	w nj~ 3 a N a t i a
Ānō	n o
āhuarangi	a w a r a N i
ākene	a k e n e
āmati	a m a t i
āraitia	a r a i t i a
īmera	i *
Ōhinemutu	h i n e m u t u
